odour stim;30/10/2020 Male1;30/10/2020 Male7;02/11/2020 Female1;02/11/2020 Male10;03/11/2020 Male7;04/11/2020 Male1;04/11/2020 Male7;25/02/2021 Female1;25/02/2021 Female2;25/02/2021 Male3;25/02/2021 Male7;25/02/2021 Female8;25/02/2021 Female10
;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V
0;4.9998;8.0532;4.6583;5.7079;3.4605;6.5737;5.6377;4.1654;6.7118;8.0579;10.1344;5.1301;3.3359
0;4.7881;8.153;5.2337;5.5841;4.1193;6.3319;5.6736;4.4611;6.9956;7.2169;9.6264;5.2814;3.241
0;4.8179;7.6553;4.909;5.6973;4.2412;6.2856;6.1131;3.8869;7.2348;7.1585;9.2536;5.0366;3.3911
0;4.7238;7.4497;4.5303;5.3676;4.4038;6.1671;5.041;4.1948;6.5365;6.6713;9.224;4.9503;3.329
0;4.3147;7.5736;4.3566;5.7037;4.3699;5.6829;5.3335;4.4883;6.6429;6.7602;8.4883;4.4152;3.027
0;4.1285;7.2483;3.8736;5.9827;4.1659;5.4379;4.8651;4.0659;6.4934;6.9544;8.2766;4.2171;2.8978
0;3.5216;6.6383;3.9513;5.6878;4.2085;5.0627;4.6908;3.9982;6.1422;7.1707;7.637;3.7364;2.6318
0;3.6977;6.4622;3.5865;6.1488;4.1139;4.9606;4.8165;3.8292;6.1027;6.4063;7.2718;3.3914;2.4239
0;3.6158;6.3512;3.8244;6.003;3.7626;4.7451;4.1999;3.9005;5.8117;6.1079;6.8056;3.7889;2.1623
0;3.5016;6.1389;3.6872;6.0175;3.6562;4.6917;4.5767;4.008;5.6965;6.4061;6.9218;3.8405;2.2964
0;3.2892;6.3851;3.7955;5.4164;3.2557;4.7154;4.3538;3.8698;5.7605;6.1644;6.6262;3.915;2.3574
0;3.5882;6.5074;4.0552;5.8589;3.2631;4.7388;3.9413;4.0136;5.4346;6.5433;6.3734;4.348;2.1148
0;3.1402;7.1866;4.074;6.2327;3.3014;4.5729;4.3517;4.086;5.5578;6.013;6.288;4.6694;2.0671
0;3.0252;7.1121;4.2786;6.1241;3.2832;4.5805;4.172;4.1325;5.352;6.2544;6.2555;4.7237;2.2591
0;3.3437;6.8596;3.992;5.938;3.3791;4.6892;4.1744;4.3217;5.309;5.7659;6.2712;4.7811;2.254
0;2.9706;6.8582;3.8235;6.1253;3.2365;4.309;4.0355;4.1678;5.3433;6.1721;6.1314;4.3884;1.915
0;2.9642;6.9412;3.6326;6.3274;3.3398;4.2687;3.7006;3.8474;4.9966;6.0681;5.997;4.7564;2.0168
0;2.6872;7.0784;3.5968;6.3855;3.5015;4.295;3.3166;3.3141;5.3274;6.6548;6.4471;4.8106;2.0787
0;2.7338;6.8734;3.2233;6.2038;3.1764;4.1434;2.9642;3.5718;5.2451;6.6657;6.297;4.8086;2.0278
0;2.9621;7.5114;3.261;6.467;3.3201;4.1205;3.3669;3.438;5.196;6.859;6.189;5.0091;2.313
