odour stim;30/09/2020 Female3;30/09/2020 Male8;30/10/2020 Female2;30/10/2020 Male9;02/11/2020 Female2;02/11/2020 Male9;02/11/2020 Female11;03/11/2020 Male2;03/11/2020 Male8;04/11/2020 Female2;04/11/2020 Female8;04/11/2020 Female9;25/02/2021 Female9
;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V
0;7.8948;9.6617;3.8632;16.2918;6.8035;6.2236;4.2043;2.2353;6.9225;5.3902;8.8901;6.9632;10.356
0;8.1495;9.7807;3.5471;15.2477;6.3089;6.4594;4.0767;2.4641;6.9417;4.8352;9.8397;6.7305;10.1779
0;7.4802;8.8334;3.6501;13.663;6.3206;6.0474;3.8347;2.5266;6.9031;4.1943;9.4004;5.952;9.3819
0;6.8811;7.6963;3.4679;11.2329;5.9909;6.1802;3.243;2.8282;6.5149;3.7668;8.7912;5.5425;8.8466
0;6.8229;7.6215;3.4708;9.4749;5.6681;5.9946;3.2958;2.9668;6.3438;3.2237;7.9301;4.8751;7.9077
0;6.2382;7.8863;3.5643;7.3972;5.3261;5.8583;3.0777;2.9895;5.7197;3.2401;6.8674;4.5296;7.5815
0;6.2199;7.9053;3.3636;6.8371;5.087;6.136;3.0171;3.3351;5.1523;2.9302;6.2691;4.441;6.6518
0;5.3229;7.352;3.3332;5.8835;4.4194;6.1736;2.8923;3.5103;4.9749;2.7245;5.7823;4.3614;6.3967
0;5.2222;6.8612;3.4728;5.3927;4.2711;5.9147;2.7459;3.7399;4.9897;2.4545;5.9408;3.8831;5.5601
0;4.9879;5.9106;3.437;4.3928;4.1543;5.8112;2.7763;3.6617;4.5765;2.5099;6.7939;3.7828;4.9855
0;4.7999;6.553;3.3015;4.1732;4.1527;6.2534;2.463;3.472;4.8053;2.2471;7.0156;3.5675;5.1292
0;4.5209;6.5557;3.3226;4.1302;3.7763;6.0868;2.6954;3.6124;4.8636;1.9685;6.9913;3.4727;4.5097
0;4.3426;5.7605;3.0862;3.6353;3.3912;6.1783;2.7467;3.5233;4.8393;1.9732;6.9035;3.4074;4.7047
0;4.4945;5.3198;3.1439;3.3357;2.8192;6.1288;2.4321;3.9428;5.0948;1.957;6.6951;3.4875;4.4058
0;4.5028;5.299;3.1689;3.1742;2.9893;6.2037;2.9393;3.897;5.1568;1.7101;6.934;3.2884;3.8055
0;4.529;4.854;3.0271;2.9882;2.8521;6.3059;2.4964;3.6939;5.1724;1.7856;6.4743;3.6088;3.9547
0;4.3881;4.8968;2.6161;3.0078;2.9234;6.6117;2.6504;3.878;4.9555;1.6628;5.7949;3.5911;3.5464
0;4.4778;5.2365;2.6916;2.5942;2.4288;6.6707;2.4742;3.7443;5.0668;1.9226;5.0468;3.2329;3.7107
0;4.5154;4.6904;2.5599;2.8045;2.6373;6.2738;2.6522;3.8258;4.5463;1.8177;4.7192;3.4305;3.6253
0;4.3351;4.9535;2.7103;2.6764;2.9876;6.8456;2.406;3.8283;4.354;1.927;3.834;3.2744;3.4099
0;4.1093;4.7671;2.3176;2.2963;2.7594;6.9726;2.6104;3.5395;3.9765;2.154;3.4618;3.5251;3.1697
0;4.2789;4.4464;2.5076;2.464;2.5876;6.8522;2.4124;3.9249;4.0064;1.9825;2.7468;3.3628;3.2572
0;3.8182;4.2382;2.4729;2.4885;2.6268;6.7614;2.3205;3.6316;4.1678;2.2718;2.4455;3.2777;3.1196
0;4.1058;4.3612;2.4407;2.1951;2.3424;6.9412;2.6191;3.3882;3.6134;2.0337;2.1588;3.3018;2.9059
0;4.0398;4.6307;2.3922;2.1584;2.4203;7.0856;2.4656;3.3886;3.597;2.0655;1.8223;3.442;3.0016
0;3.8555;4.4731;2.3785;2.2138;2.2041;7.3097;2.4693;3.1007;4.0229;1.9605;1.9473;3.335;3.2765
0;4.0821;4.8009;2.4765;2.2936;2.2234;7.097;2.3402;3.1269;3.5107;1.9423;2.1013;3.0736;3.0242
0;4.1426;4.9088;2.6947;2.1412;2.436;7.5527;2.6088;2.9977;3.5502;1.9094;2.0092;3.4015;3.0088
0;3.806;4.9758;2.4114;2.0075;2.4765;7.1861;2.2532;2.6799;3.6466;1.8153;1.8442;3.3607;2.995
0;3.7117;4.9467;2.4693;2.123;2.5032;7.1698;2.264;2.5377;3.7916;1.9246;1.7097;3.5356;3.5437
0;3.8879;4.9923;2.8112;2.1847;2.1181;6.5966;2.3533;2.3484;3.443;1.6508;1.7591;3.3902;2.8175
0;4.0074;4.9085;2.9614;2.1334;2.2513;6.9638;2.4173;2.1575;3.4353;1.4462;1.9541;3.4046;2.7202
0.5;3.6724;5.0613;3.0471;2.221;2.4064;6.8469;2.5042;1.9683;3.5116;1.3912;1.5583;3.5181;2.7374
0.5;3.9988;4.5867;3.1331;2.2898;2.3926;6.8065;2.1354;2.2545;4.206;1.3785;1.6362;3.7906;3.0029
0.5;3.7049;4.8003;3.265;2.1865;2.1135;6.1433;2.0827;2.5575;3.9663;1.3675;1.7667;3.9799;2.8166
0.5;3.9131;4.913;3.4811;1.9068;2.1472;6.1993;2.3883;2.6346;4.0623;1.4571;1.7273;3.808;3.0765
0.5;3.8245;4.8173;3.3507;1.9615;2.4259;6.2601;2.2842;2.6206;4.1601;1.5252;1.3919;3.9485;2.848
0.5;3.7946;4.2806;3.2621;1.9122;2.3108;6.1073;2.1279;3.096;3.9904;1.5365;1.3816;3.9863;3.0113
0.5;3.7337;4.9923;3.0055;1.902;2.2895;6.1121;2.0446;2.6215;4.2325;1.6328;1.4228;3.9191;2.8687
0.5;3.7883;4.9412;2.8771;2.0057;2.2798;6.0474;2.0857;2.7269;4.4531;1.6591;1.6005;4.0396;3.1785
0.5;3.5757;5.2592;2.5449;1.8835;2.4868;6.2034;2.2527;3.0784;4.2422;1.5224;1.4253;4.3623;2.9942
0.5;3.6887;5.0086;2.571;1.814;2.2564;6.2873;2.3508;2.9742;4.2679;1.5963;1.3644;4.0202;3.2974
0.5;4.1426;4.915;2.2856;1.9741;2.3712;6.3769;2.4499;3.1441;4.5421;1.5889;1.5146;4.0445;3.4062
0.5;3.8536;5.2454;2.3716;2.2083;2.5264;6.1875;2.5473;3.0477;4.5758;1.8011;1.5055;4.1822;3.3183
0.5;4.0776;4.7891;2.3149;1.8887;2.6028;5.9952;3.2369;3.1859;4.6116;1.6637;1.3527;3.7482;3.2384
0.5;3.8795;4.931;1.8642;1.6121;2.5776;6.169;3.0497;2.9139;4.5968;1.4248;1.3162;4.0677;3.5378
0.5;3.7547;4.8839;1.9985;1.8423;2.5133;6.2356;3.7579;2.8924;4.6642;1.3827;1.43;4.2561;3.1587
0.5;4.046;4.8255;1.8167;2.0114;2.2324;5.8744;3.9991;2.7534;4.5219;1.5351;1.5607;4.3308;3.4185
0.5;3.7054;4.5806;1.815;1.9157;2.3882;5.5337;4.7589;2.8251;4.4284;1.5877;1.4935;4.7586;3.2993
