odour stim,29/09/2020 Female4,29/09/2020 Male6,30/09/2020 Female2,30/09/2020 Male4,30/09/2020 Female7,16/10/2020 Female4,21/10/2020 Female3,16/10/2020 Female4,30/10/2020 Male3,02/11/2020 Female3,08/11/2020 Female5,25/02/2021 Male5
,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V
0,4.293,10.921,8.1921,3.683,5.0929,3.889,13.0434,7.0713,6.5273,5.6252,3.5997,4.0254
0,4.263,9.3825,7.3409,3.3888,5.082,4.4602,13.7889,6.4687,6.5256,5.8012,3.2575,4.1651
0,4.023,8.1593,6.2281,2.9552,4.6593,4.1716,13.5309,6.2881,6.1243,5.0089,3.4228,3.7578
0,3.6994,7.6357,5.448,2.5928,4.1791,3.6255,12.9325,5.8488,6.0774,4.2219,3.1568,3.738
0,3.2408,6.9608,4.8589,2.1666,3.5963,3.3471,11.6746,4.83,5.8401,3.8077,2.6241,3.2886
0,3.1228,6.6097,4.353,1.984,3.608,2.9258,11.0627,4.2815,5.6182,3.4743,2.9215,3.4286
0,2.9091,6.3619,4.0023,1.6125,3.3103,2.7482,10.5029,4.098,5.391,2.9723,2.6524,3.7542
0,2.727,6.1109,4.01,1.6917,2.8507,2.5712,10.0675,3.7433,5.1458,2.8464,2.6535,3.4369
0,2.5495,6.1715,3.7825,1.607,2.6939,2.3552,9.0867,2.9894,5.5193,2.5046,2.4703,3.4971
0,2.5235,6.3558,3.1796,1.4392,2.5616,2.187,9.3521,3.6421,5.3886,2.3722,2.3877,3.1804
0,2.6304,6.2316,3.6066,1.3879,2.2639,2.3064,9.0478,3.4879,5.0626,2.1707,2.3726,3.1614
0,2.9555,5.955,3.2188,1.4006,2.4959,2.1842,8.5409,3.2725,5.178,2.0423,2.1812,3.1715
0,3.1784,5.8836,3.2816,1.3528,2.3691,2.3317,8.7306,3.4595,4.7529,1.9975,2.2228,3.0761
0,3.2884,6.1757,3.0257,1.3556,2.6094,2.2384,7.838,3.2345,5.0008,1.9585,2.2376,3.3746
0,3.359,6.1375,2.8748,1.2617,2.3656,2.1566,8.3044,3.1588,4.7276,1.7631,2.1325,2.9831
0,3.3844,6.2881,2.7374,1.5508,2.7644,2.2641,7.7353,3.306,4.8507,1.8615,2.1941,3.3336
0,3.5063,6.1847,3.0542,1.3977,2.568,2.0376,7.9053,2.8775,4.6896,1.6274,2.1571,3.1336
0,3.1503,6.3428,2.8506,1.5377,2.6547,1.6465,7.8099,2.658,4.8,1.6704,2.3035,3.0497
0,2.8228,6.1389,2.9149,1.6239,2.6685,1.9267,8.2325,2.6424,4.7376,1.7751,2.3095,3.1513
0,2.5345,6.1021,2.7819,1.5877,2.5002,1.6247,7.9609,2.366,4.7269,1.9505,2.1871,3.0289
0,2.2897,5.8524,2.777,1.4295,2.0498,2.0866,7.6523,2.9811,4.5519,1.8031,2.1101,2.816
0,2.0363,5.2047,2.6099,1.7,2.3265,2.4788,7.6432,2.7883,4.6291,1.7916,1.7988,2.9632
0,2.0909,4.8662,2.927,1.5574,2.4413,2.2791,6.9494,2.2288,4.5309,1.9954,1.9773,2.9435
0,1.961,6.0415,2.8128,1.4787,2.2411,1.9691,7.7615,2.4434,4.5316,2.1887,2.0428,3.1993
0,1.9567,6.5354,2.8321,1.3474,2.5896,2.1638,7.8406,2.678,4.6223,1.9683,2.026,2.8778
0,1.8711,6.1372,2.7309,1.5093,2.5922,2.0328,7.9887,2.4346,4.9771,1.9229,2.0227,2.9224
0,1.608,6.2198,2.7946,1.6343,2.5205,1.9774,7.9907,2.7835,4.5993,1.9843,2.0596,2.9077
0,1.7198,5.8546,2.8466,1.4725,2.2944,1.9076,8.4065,2.2622,4.5804,1.8381,1.9264,2.7051
0,1.7413,6.2266,2.6599,1.5331,2.5402,2.0008,7.4858,2.1683,4.9695,1.765,1.9231,2.96
0,1.5892,6.1711,2.7554,1.3214,2.361,1.9349,8.6706,2.3831,4.6685,1.6917,2.0097,3.2929
0,1.7919,6.3218,2.4488,1.4242,2.1918,1.9148,7.0733,2.7878,4.5087,1.6233,1.8687,3.1826
0,1.588,6.5781,2.6701,1.2857,2.4829,1.7445,7.3876,2.0094,4.7341,1.5886,2.1203,3.0997
0.5,1.4957,6.6922,2.8136,1.3453,2.3607,1.6859,7.7416,2.5208,4.32,1.5776,2.1459,3.3993
0.5,1.503,6.2182,2.7632,1.4528,2.5421,1.5375,8.2135,2.206,4.3223,1.6497,2.0705,3.3441
0.5,1.4429,6.2254,2.3698,1.5599,2.5388,1.6951,7.9417,2.6427,4.7688,1.4052,1.9946,3.0135
0.5,1.2107,6.1215,2.6275,1.5071,2.5271,1.7517,8.5911,2.1851,4.6607,1.4736,2.0589,2.9362
0.5,1.5069,5.5795,2.4491,1.2778,2.4309,1.6764,8.512,2.3701,4.5964,1.4142,1.8882,2.6992
0.5,1.4252,5.6182,2.2726,1.3097,2.3747,1.6027,8.6846,2.6386,4.2088,1.5871,1.9017,2.6248
0.5,1.3912,5.708,2.5058,1.3307,2.3887,1.6355,9.1187,2.6575,4.0816,1.5553,1.5951,2.78
0.5,1.4523,5.3741,2.5523,1.3491,2.4654,1.7965,8.5941,2.9384,4.2899,1.3811,1.4781,2.7226
0.5,1.3773,5.7361,2.4027,1.469,2.6338,1.7757,9.1019,2.5647,4.406,1.5493,1.5061,2.9041
0.5,1.377,5.9915,2.5612,1.5054,2.6377,1.7315,9.9145,2.5479,4.6103,1.442,1.3405,2.829
0.5,1.4684,5.7489,2.5965,1.322,2.7343,1.7896,10.3184,3.1743,4.4262,1.6591,1.9401,2.6916
0.5,1.3148,5.9126,2.2613,1.6873,2.8827,1.7136,10.2532,2.8403,4.6138,1.4536,1.8852,2.6757
0.5,1.36,5.5315,2.6298,1.6368,2.5522,1.8535,10.5497,2.3725,4.4113,1.5405,1.8224,2.7104
0.5,1.4459,5.7955,2.4783,1.6146,2.8731,1.5778,10.3576,3.0406,4.4392,1.4409,1.9672,2.9419
0.5,1.1509,6.1994,2.3965,1.2416,2.7236,2.0043,9.8612,2.8908,4.7426,1.5145,1.8525,2.9109
0.5,1.3254,6.1311,2.5089,1.3953,2.6345,2.5527,9.859,2.4486,4.4852,1.4981,1.8347,2.5769
0.5,1.0857,5.9524,2.321,1.1451,2.707,2.9921,8.9645,2.2695,4.4067,1.4652,1.7807,3.0436
0.5,1.2305,6.029,2.5089,1.1324,2.5447,2.668,8.5441,2.8679,4.4201,1.3003,1.7692,2.9429
0.5,1.2314,5.8799,2.5561,1.1331,2.4511,2.983,8.7229,2.8505,4.3554,1.4182,1.5401,2.8267
