odour stim;30/10/2020 Female4;30/10/2020 Female10;21/10/2020 Male5;02/11/2020 Female4;02/11/2020 Female8;02/11/2020 Male12;03/11/2020 Female3;03/11/2020 Female9;04/11/2020 Female6;04/11/2020 Male3;08/11/2020 Male3;08/11/2020 Male4;25/02/2021 Male4
;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V
0;5.1681;3.1846;11.4398;3.7358;0.6803;7.0803;5.9355;5.7573;4.5726;10.7953;6.1729;13.2911;14.0863
0;4.6359;3.3834;11.7853;4.1382;0.6678;7.7462;5.4115;5.4534;4.5147;9.7552;5.8731;13.8543;13.4628
0;4.2543;3.4683;9.0961;3.3507;0.6289;8.1237;4.8556;4.993;4.1154;9.4208;5.6726;13.939;12.3339
0;3.568;3.1569;9.0167;3.2411;0.432;7.5786;4.3118;4.7723;3.9602;8.6808;5.0722;13.1382;11.612
0;3.1525;2.9138;7.2416;2.6343;0.52;7.5907;3.8502;4.1358;3.8104;8.4081;4.8228;11.9981;10.7442
0;2.6076;2.7314;6.8107;2.6369;0.242;7.5225;3.4139;3.6513;4.2562;7.4794;4.8519;11.522;9.6842
0;2.5992;2.9311;7.1783;2.2124;0.2227;7.2321;3.4392;3.4054;4.1886;6.8383;4.6501;10.7314;9.2827
0;2.5916;2.7882;6.3247;2.1137;0.244;7.3264;3.623;3.159;3.8454;5.8477;4.5351;9.7209;9.2075
0;2.5939;2.8806;6.6135;2.3017;0.01968;6.7745;3.719;2.3448;3.8854;5.9813;4.1028;9.3398;8.9278
0;2.3132;2.9735;6.8746;1.8647;0.05045;6.8361;3.4235;2.7207;3.6282;5.7398;3.5214;8.8804;8.8327
0;2.2326;3.0447;5.8773;2.0408;0.05472;6.2283;3.4598;2.5071;3.6321;5.3063;3.3363;8.8146;8.2809
0;1.8919;3.1127;5.4291;1.9072;-0.02311;6.6404;3.7016;2.5183;3.7062;5.2839;2.9705;8.6384;8.104
0;2.1039;2.9145;5.6707;1.7211;0.004483;6.5567;3.6184;2.5545;3.7117;4.9208;2.8783;8.3623;7.7863
0;1.7766;2.7927;5.3737;2.1107;0.1496;6.7123;4.0839;2.6935;3.6962;4.5568;2.7234;7.9477;7.6824
0;2.0486;2.6776;5.3818;1.9973;0.198;6.4547;4.1793;2.7069;3.7521;4.4941;2.6955;8.399;7.9878
0;1.9827;2.484;4.9352;1.9847;0.2598;6.4686;4.2312;2.4761;3.5882;4.4537;2.6573;8.1536;7.767
0;1.8217;2.5157;4.6555;2.0298;0.3235;6.4962;4.3979;2.4369;3.4676;4.5545;2.6039;8.1838;7.3699
0;1.9408;2.6451;4.6646;2.105;0.2483;6.0809;4.1247;2.3598;3.2633;5.0703;2.4072;7.8841;7.3535
0;2.0575;2.7961;4.7651;1.9576;0.1085;6.356;4.1518;2.0895;3.4676;4.9923;2.5133;7.5686;7.2024
0;1.6131;2.656;6.0284;1.8831;0.1367;6.4611;3.8948;2.2168;3.0624;5.2349;2.4312;7.8625;7.4482
0;1.7851;2.6309;4.8998;1.7067;0.09553;6.4371;3.7686;2.0964;2.8109;5.0203;2.5142;7.6251;7.1602
0;1.9496;2.4106;5.8165;1.7095;0.2815;6.4327;3.8397;2.0687;2.771;5.016;2.3314;7.4234;7.3671
0;2.0472;2.1434;4.4591;1.7318;-0.128;5.4519;4.2794;2.1459;2.8523;5.1482;2.3995;7.6331;7.3511
0;1.7508;2.6232;5.3863;1.6772;0.04241;5.744;4.1655;1.9095;2.6843;5.0319;2.5267;7.5774;7.1274
0;1.7221;2.7974;5.2881;1.8627;-0.006789;5.8093;4.1179;1.9392;2.5925;5.2303;2.6477;7.7751;7.8109
0;1.7791;3.0296;5.1274;1.48;0.1198;5.8141;4.0465;2.1099;2.5237;4.8325;2.5357;7.7776;7.1274
0;1.9616;3.166;4.8218;1.7198;0.06086;5.5306;3.5573;2.0795;2.3609;5.2441;2.5847;7.2407;7.062
0;1.9861;3.2402;4.2218;1.8242;0.2497;5.6517;3.4648;1.9554;2.0652;5.4672;2.5866;7.2616;7.4253
