odour stim;29/09/2020 Female1;29/09/2020 Male3;29/09/2020 Female5;30/09/2020 Female1;30/09/2020 Male5;30/09/2020 Male6;21/10/2020 Male1;21/10/2020 Male2;30/10/2020 Male5;02/11/2020 Male5;03/11/2020 Male4;06/10/2020 Male1;06/11/2020 Female2;06/11/2020 Female3;11/11/2020 Female4;11/11/2020 Male5;11/11/2020 Female6
;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V
0;2.683;4.3247;3.8213;3.3949;5.8226;9.2188;3.0418;7.9331;10.7953;8.0399;7.0628;5.8331;4.7212;8.1682;9.2046;14.2803;6.543
0;2.4118;4.2482;3.1636;3.4303;5.4805;9.0815;3.1261;7.4405;10.5814;7.5115;6.7254;5.976;4.8842;8.9337;8.0996;13.1129;6.4908
0;1.9886;3.9996;3.3981;2.9556;5.2577;7.9964;3.2811;7.5941;9.9449;6.9113;6.5661;5.5424;4.7996;7.6959;7.7051;13.1028;5.801
0;2.4389;4.0152;3.3646;2.9848;4.5517;6.8869;2.7197;7.6912;9.0954;6.0772;5.9292;5.6592;4.4769;6.7883;7.2011;11.3069;4.8942
0;2.1961;3.6225;3.2228;2.4213;4.0842;7.092;3.5064;7.7341;8.281;5.3865;5.3691;5.1426;4.4098;6.0388;6.03;11.1225;5.0279
0;2.2019;3.4979;2.8808;2.0601;4.4089;6.4378;2.872;8.6281;8.8828;5.2511;4.8266;4.9279;4.237;5.459;6.2306;9.4678;4.4473
0;1.8699;3.4851;3.162;1.9406;3.9241;6.3502;3.2858;8.2874;8.2425;5.0854;4.0848;4.331;3.5561;5.5079;4.5928;9.4006;4.0804
0;2.0762;3.6383;3.1512;1.6762;4.0768;6.019;2.9527;8.9625;8.2286;4.8087;3.9844;4.5168;3.1799;5.2201;4.8652;9.0984;3.5062
0;2.166;3.1903;3.4465;1.4388;3.6384;6.1414;2.8057;8.3779;7.9016;4.5266;3.3642;4.3603;2.7149;5.4773;3.9746;8.3168;3.2639
0;2.1834;3.4102;3.287;1.1767;3.6141;5.8231;3.4463;8.0464;7.6629;4.8304;3.5509;4.1699;2.5176;4.3574;4.1051;8.5317;3.0021
0;2.1303;3.4293;3.4113;1.4155;3.2853;5.8118;2.7932;9.0768;7.7444;4.7737;3.1988;3.9146;2.4104;4.09;3.0473;7.8469;2.9911
0;1.9954;3.2288;3.8441;1.1651;3.4422;5.8303;3.5585;8.7281;7.1318;4.985;3.2609;3.9021;2.0768;3.4632;3.1969;7.8116;2.8936
0;2.1309;3.7387;3.3501;1.2273;3.6057;5.8098;3.3729;8.6561;7.0172;5.0635;3.1502;3.9509;2.3579;2.6674;2.7694;7.5929;2.9133
0;2.3247;3.4818;3.8794;1.1468;3.3226;5.5909;3.0981;7.422;6.8505;5.075;3.1929;3.6311;2.6205;2.7152;2.9368;6.7508;2.9177
0;2.1723;3.8606;4.0659;1.0168;3.703;5.1915;2.7517;7.5958;6.6913;5.233;2.9658;3.7517;2.8419;2.6582;2.8424;7.4774;2.8661
0;2.0645;4.1135;4.1695;1.2069;3.7969;4.7977;3.0637;6.9804;6.7695;5.6088;3.1757;3.6945;3.0097;3.0316;2.8485;6.9865;2.97
0;2.0988;4.1236;3.9172;1.0555;4.2734;4.8952;3.5164;6.4331;6.4453;5.4695;3.2793;3.3913;3.3796;2.6282;2.2005;6.9257;2.8492
0;2.1554;3.5368;3.8095;1.3016;4.0911;5.3926;3.1463;6.0488;6.5672;5.5871;3.0723;3.4987;3.4085;2.6448;2.6953;6.7005;2.7899
0;2.1007;3.4084;4.0446;1.2525;4.0635;4.9544;2.9808;5.8891;6.2025;5.7795;3.1654;3.2937;3.5556;2.9413;2.2926;6.3273;2.8465
0;2.18;3.1095;3.7633;1.4253;4.4288;4.8119;3.2351;5.3781;6.6647;5.7989;2.9756;3.4636;3.3808;2.6114;2.6082;6.8877;2.9455
0;1.8998;2.4437;3.5096;1.5417;3.8001;4.9716;2.8826;5.1594;6.7191;5.6081;3.2433;3.2496;3.3199;2.7565;2.6201;7.3488;2.5902
0;1.8922;2.5428;3.142;1.7199;4.3642;4.976;3.1342;4.5752;7.2032;5.8513;2.9442;3.4522;3.152;2.8399;2.5019;6.6709;2.8302
0;2.0451;2.6375;3.5106;1.4878;4.3325;4.7123;3.1603;5.0865;7.2433;5.939;2.8697;3.3131;3.1164;2.6158;2.2445;7.4532;2.9518
0;2.1253;2.2661;3.2623;1.5579;4.6054;4.6325;3.6013;4.1114;7.6957;5.6453;2.802;3.5912;3.5444;2.5631;2.4764;7.3579;2.7208
0;2.5212;2.2726;2.6918;1.3375;4.1901;4.8896;3.7342;5.2411;7.1512;5.5203;2.7491;3.564;3.5583;2.6305;2.4466;6.5887;2.6175
0;2.517;2.1983;3.361;1.4132;4.4174;4.8117;3.7453;4.7425;7.1215;5.8246;2.762;3.3823;3.7315;2.5809;2.4778;6.6092;2.8481
0;2.4522;1.8486;3.2993;1.4736;4.4524;5.1337;3.6688;5.5781;6.9341;5.5825;2.8199;3.6547;3.4072;2.4883;2.0394;6.585;2.8146
0;2.3329;1.8263;3.1295;1.4891;4.8603;4.9186;3.8936;5.9803;7.3868;5.4249;2.8137;3.7878;3.0044;2.6085;2.1559;6.1485;2.7221
0;1.995;2.1475;3.7181;1.4743;4.3642;4.8844;3.8285;5.6616;7.084;5.2118;2.9544;3.6426;2.8186;2.4003;2.2232;6.8126;2.5768
0;2.0145;1.9044;3.3085;0.9417;4.6449;5.1262;3.8565;5.0375;6.4958;5.0617;2.8794;3.3716;2.5521;2.6808;3.0148;7.1374;2.8486
0;1.8892;2.0109;3.2732;1.1938;4.1924;4.8651;4.348;5.6505;5.8492;4.9734;2.9117;3.4581;2.5397;2.5013;2.6162;6.5992;2.5595
0;1.793;1.8128;3.148;0.9278;4.5473;4.5591;4.2079;5.2331;6.4044;5.3579;2.8352;3.3394;2.1701;2.5307;3.1299;7.7349;2.6051
0.5;1.6032;2.176;3.0095;1.3626;4.7421;4.2882;3.9637;4.7953;5.9926;5.1136;2.7865;3.3729;2.1145;2.5563;2.1702;6.8979;2.5763
0.5;1.525;1.9643;3.5692;0.9395;4.791;4.6672;4.1936;5.6293;5.8058;5.325;2.6239;3.1779;1.815;2.4524;3.1584;7.2667;2.6607
0.5;1.4941;1.9367;2.9432;0.9867;4.1017;4.3345;4.5535;5.1003;6.0079;5.1948;2.7244;3.4135;1.6105;2.6874;2.4286;7.11;2.9237
0.5;1.4041;1.8111;3.4488;1.0379;4.4853;4.6273;3.8248;5.0703;5.858;5.0892;2.8433;3.6734;1.6521;2.6903;3.0088;7.0857;2.6192
0.5;1.6436;2.2011;3.0965;0.9793;4.4373;4.4725;3.9672;4.8324;6.4058;4.8493;2.789;3.4273;1.5191;2.7355;2.8402;6.6447;2.7956
0.5;2.023;2.2066;3.039;0.9449;4.2008;4.5112;4.0239;5.4676;6.0161;4.661;2.7303;3.3134;1.4335;2.7919;3.1111;7.705;2.5201
0.5;2.401;2.0948;3.3886;0.8963;4.5407;4.308;4.0547;5.6035;5.9714;4.7742;2.701;3.4721;1.3385;2.7976;2.1874;7.2974;2.7616
0.5;2.5844;2.0313;3.257;1.0596;4.581;4.3002;4.2826;5.0472;5.1862;4.8092;2.8458;3.4017;1.4355;2.8213;2.366;8.0277;2.7018
0.5;2.5614;2.278;3.6571;0.9082;4.4494;4.4328;4.3954;4.8879;5.2522;4.8507;2.7072;3.432;1.4352;2.7846;2.6767;8.308;2.698
0.5;2.44;2.0234;3.2558;1.0938;5.0628;4.1959;4.3896;4.6861;5.6601;4.8952;2.556;3.4083;1.3042;2.8051;2.9481;8.1066;2.5896
0.5;2.5916;1.7993;3.2203;0.9195;5.2051;4.091;4.439;5.0385;5.8413;4.8598;2.6792;3.4784;1.3324;3.0527;2.5414;7.7353;2.7445
0.5;2.8947;1.8734;2.8519;1.012;4.8598;4.377;4.2081;4.8014;6.2824;5.0739;2.8246;3.7188;1.3556;2.9502;2.5866;8.8006;2.8125
0.5;3.862;2.2255;3.4016;1.0086;4.9725;4.4697;4.3323;4.2748;6.6052;4.7921;2.7341;3.7284;1.2781;2.9738;2.7764;8.7407;2.9331
