odour stim;16/10/2020 Male3;30/10/2020 Male6;30/10/2020 Male9;02/11/2020 Female7;02/11/2020 Female8;03/11/2020 Female5;03/11/2020 Male6;03/11/2020 Male10;04/11/2020 Female4;04/11/2020 Female5;08/11/2020 Male1;08/11/2020 Female2;11/11/2020 Female1;11/11/2020 Female2;11/11/2020 Male3
;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V
0;8.7044;4.7178;6.279;5.5447;8.4705;2.7339;9.6293;9.3686;4.467;6.276;4.961;3.1535;3.946;10.1197;4.56
0;8.2429;4.3781;5.9868;5.5968;7.7211;2.5219;9.0485;8.54;4.5927;5.3469;4.4688;2.8508;3.872;9.6297;4.4184
0;7.9505;4.4841;5.6743;4.9732;6.6337;2.3546;8.2839;9.0186;3.671;4.5738;4.3634;2.78;3.566;8.7503;4.4658
0;6.9937;4.1724;5.7225;4.5598;6.4919;2.1595;7.7624;8.8711;3.0782;3.9102;3.7865;2.4471;3.3956;7.8169;3.9515
0;6.9028;4.1252;5.433;3.9207;6.1011;2.2798;7.382;9.1567;2.7619;3.3349;3.4279;2.3027;3.3829;7.1071;3.3916
0;6.1588;3.9561;5.1142;3.6101;5.4784;2.3048;7.0766;9.1021;2.2654;3.2457;3.0211;2.0516;3.4193;6.5545;3.5587
0;5.9912;3.6447;4.8103;3.2465;5.198;2.2702;6.8652;8.1556;2.0242;2.9364;3.1279;1.8567;3.2968;6.3884;2.9968
0;5.8953;3.7895;4.571;2.8372;4.5342;2.1989;6.4051;7.2106;1.9033;2.8237;2.857;1.5312;3.1632;6.3222;3.2155
0;5.3431;3.6278;4.0594;2.3234;4.3848;2.2074;6.1137;7.2742;1.6495;2.6527;2.6445;1.485;3.3031;6.1274;2.965
0;4.6181;3.4276;4.0354;2.0915;4.9073;2.1254;5.8253;6.6353;1.4998;2.469;2.4276;1.3104;3.3161;5.5784;3.2487
0;4.2099;3.462;3.7045;2.2138;4.4435;2.0805;5.6329;5.9879;1.3733;2.4033;2.4797;1.2803;3.2151;5.5273;3.0303
0;3.7883;3.1133;3.3152;2.0037;4.0501;2.0473;5.5493;6.3656;1.4188;2.2327;2.4613;0.9559;3.1572;5.4194;2.9048
0;3.4535;2.9139;3.3413;1.5803;3.804;1.9212;5.4855;6.0302;1.2422;2.1796;2.1669;0.9489;3.1894;5.1743;2.8749
0;3.154;2.9943;3.1169;1.5578;4.0775;1.8905;5.423;5.6019;1.3589;2.2139;2.268;1.0011;3.2572;5.0439;2.6428
0;3.1273;2.8693;2.9599;1.648;3.8518;1.6965;5.4303;5.5952;1.2918;2.4664;2.2489;0.8241;3.2166;4.9434;3.2204
0;2.6375;2.7979;2.9144;1.4409;3.8321;1.8442;5.4597;5.7364;1.0883;2.4091;2.4873;0.8399;3.1372;5.1363;2.8565
0;2.7172;2.9081;2.8118;1.4002;3.5205;1.5406;5.2071;5.6432;1.1112;2.514;2.4249;0.7439;2.9994;5.0911;2.8817
0;2.6487;2.6183;2.6064;1.1063;3.8087;1.5341;5.4801;5.8555;1.1122;2.5522;2.2116;0.9201;2.9146;5.2451;3.2029
0;2.5265;2.8491;2.5854;1.1565;3.5164;1.6176;5.3771;6.5602;1.1815;2.7438;2.405;0.8696;2.9494;5.2325;2.976
0;2.2516;2.8765;2.2293;1.2829;3.4538;1.7013;5.2612;6.5775;1.2405;2.5258;2.1598;0.8853;2.9298;5.9516;3.0461
