odour stim;12/11/2020 Female3;12/11/2020 Female4;12/11/2020 Female9;13/11/2020 Male3;13/11/2020 Female4;13/11/2020 Male7;13/11/2020 Female8;13/11/2020 Male9;13/11/2020 Male10;09/12/2020 Female13;11/12/2020 Female1;14/12/2020 Male1;08/02/2021 Female1;09/02/2021 Female6
;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V
0;10.7284;13.164;9.6068;8.8045;17.7904;6.2205;6.8733;8.7418;6.7726;17.7866;14.4918;6.7813;12.411;9.8793
0;11.5119;12.6241;10.0707;10.1813;20.0233;6.536;6.6518;9.1836;6.9256;19.9311;14.1868;6.7656;13.4524;9.2694
0;13.6996;11.595;11.2646;9.9262;20.4729;6.1098;7.0087;9.4579;6.46;20.308;13.7707;6.8604;12.6429;8.4032
0;15.4441;11.0038;11.6655;10.6652;20.4569;7.3867;6.7823;9.6727;7.2851;22.8062;13.3703;6.8421;11.4046;10.1804
0;14.7373;12.0481;10.8653;11.327;22.1695;7.5998;7.7368;10.2347;6.5659;23.3855;13.2177;6.7665;10.939;10.5223
0;15.9638;13.3038;11.3527;11.0572;22.2569;7.3731;7.4738;9.7492;6.2452;24.1533;13.4275;6.8406;10.4707;11.7433
0;15.2762;14.2577;12.0621;10.9945;22.0578;8.8286;6.9859;11.5331;8.8994;24.0711;14.6174;6.6365;12.0489;11.07
0;14.5426;13.4996;11.0226;10.837;22.5787;8.4657;8.3712;10.745;8.5373;23.4753;19.0636;6.5172;11.6169;9.9412
0;13.4233;12.1551;10.0414;11.8813;23.1965;9.9003;7.9458;9.6278;8.2659;25.7814;23.5444;6.7344;10.6237;9.3027
0;13.1982;11.3061;11.3323;11.0855;23.9913;9.9007;6.8424;8.5019;9.4176;23.3765;26.2366;6.7218;10.2002;9.4673
0;13.7571;13.3436;10.8053;11.877;24.6078;10.0029;7.2562;8.2128;8.6191;26.1758;24.8268;6.5948;10.7738;9.0856
0;12.067;13.7537;11.3367;11.0965;22.1842;9.065;6.6542;7.8626;8.0519;24.7977;22.2945;6.7191;10.2484;10.3111
0;14.1051;13.7544;11.2002;11.295;20.2075;8.0751;5.9899;8.469;9.4388;21.0849;20.3126;6.6672;10.6047;11.0547
0;13.9189;12.657;11.4555;12.977;20.2148;8.1312;5.6451;8.7216;9.9238;22.1364;18.6107;6.4706;10.0521;12.5344
0;11.8236;11.2007;10.454;12.2563;19.4139;9.7547;5.2849;8.2004;10.2445;20.0928;17.7561;6.5953;9.6388;11.0248
0;10.7645;10.8932;9.0076;11.9687;19.0935;9.0618;4.8005;7.8688;10.2531;18.1399;18.4813;6.4782;11.4294;11.3594
0;9.9222;10.2416;9.1959;12.3243;21.5207;8.8209;5.0399;7.9508;9.557;15.1097;17.8019;6.4812;10.5765;11.4937
0;8.81;9.6317;9.7628;13.0165;20.6563;8.5601;5.3628;8.4631;8.6342;16.4668;17.942;6.3454;10.2135;10.7478
0;8.5181;12.3829;9.9673;12.9174;18.6512;8.3081;5.849;7.8604;8.9559;13.265;18.0073;6.4252;9.5284;9.85
0;10.2585;11.6178;9.2629;13.0961;18.4495;9.2452;5.9088;7.8239;10.5278;11.3396;17.7434;6.4935;11.0024;8.748
0;11.5846;10.9182;9.0651;11.4411;19.0203;8.9884;5.3712;7.3965;10.6364;11.4816;16.2792;6.3879;10.2838;8.2701
0;11.2802;10.3971;8.5184;11.8763;19.6202;8.5292;5.9121;8.8821;9.4709;10.682;15.3035;6.3451;9.6839;8.1162
0;10.0784;9.6753;7.6125;12.1261;19.441;8.162;5.6613;8.1982;8.6479;9.6446;14.6326;6.4797;8.697;8.0812
0;9.4462;9.7046;8.6692;12.8604;17.3917;7.6861;5.1561;7.3768;8.6936;9.9562;14.1979;6.664;8.2886;9.2167
0;8.8994;10.2434;10.7641;13.9672;16.5632;7.4593;4.7987;6.7619;9.13;9.7295;14.8504;6.3833;7.8946;8.9523
0;9.0006;12.7313;9.6212;12.4644;17.8008;9.601;4.8202;6.4762;10.1118;10.1275;16.2382;6.1965;7.296;8.1032
0;10.3641;11.3808;9.3575;11.8459;18.6086;8.6617;4.4481;6.5905;10.2687;9.5998;19.965;6.2358;8.325;7.4509
0;9.3229;12.27;10.0747;12.0799;19.0979;10.5063;4.3591;6.3142;9.0899;9.9918;18.8511;6.3274;7.8009;7.8811
0;8.912;13.6038;9.3521;10.4642;19.4696;9.1871;4.0195;5.7935;9.6923;11.0411;17.5246;5.9885;7.0308;8.4644
0;9.916;13.1714;8.9043;9.7373;18.0659;8.7712;3.9591;5.6871;10.9178;9.816;16.1804;6.439;6.8465;9.9855
0;9.0403;12.258;10.4164;8.8053;17.4182;8.135;3.9783;5.4295;10.7881;9.0274;15.3844;6.4814;6.5449;9.3327
0;9.2111;12.7641;11.2055;8.0661;18.8667;7.8736;4.4507;4.9749;12.3639;10.8207;14.8439;6.2791;6.3401;9.4759
0.5;9.187;14.6318;11.2394;10.699;17.3273;7.5194;4.3555;4.8273;10.9863;11.3466;13.7666;6.2594;6.9884;8.4839
0.5;8.6371;13.5558;10.0631;9.1102;19.0109;7.3987;4.2464;4.6465;11.5507;11.3359;15.8517;6.2949;6.6305;8.0307
0.5;8.1969;11.946;9.9256;8.6827;16.2851;7.4613;4.756;5.3705;10.4505;10.6438;15.2788;6.0684;6.2311;7.2906
0.5;8.6422;14.3112;9.0073;8.494;18.6899;9.6894;4.7637;5.0663;10.0944;12.0712;16.9792;6.3861;5.871;7.1238
0.5;9.067;13.8826;8.6862;8.5003;18.9424;10.0973;5.3065;4.6172;10.2907;11.729;16.4034;6.2392;5.8383;8.0736
0.5;8.893;13.2581;10.1066;8.9282;18.1507;9.4203;4.9849;4.6461;9.6637;10.7809;15.2885;6.1114;5.9632;9.2342
0.5;9.6063;11.6736;8.8181;9.2128;18.934;9.3903;4.938;4.2509;9.1002;11.2572;14.8269;6.1445;5.5693;9.0652
0.5;8.4487;10.843;8.4984;9.3913;19.1931;10.8531;5.8327;4.3674;9.3793;10.3803;15.9174;6.173;5.4447;8.2257
0.5;8.1334;12.0038;10.2336;9.2408;17.339;10.8311;5.5788;4.0899;10.4845;9.6295;18.0933;5.9613;5.3908;8.8811
0.5;7.9109;13.3494;9.3271;8.2295;17.9081;9.8205;6.3572;4.535;11.1961;8.9243;20.3441;6.1238;5.2101;10.5921
0.5;7.2582;11.9513;8.5291;9.426;14.9417;9.1608;6.0854;5.4214;12.0809;8.6688;18.6137;6.0088;5.2205;10.3236
0.5;8.4439;14.2056;8.1803;9.2659;18.5527;8.4089;6.0663;5.4246;11.1242;10.2902;21.8031;6.2767;6.1975;11.2454
0.5;9.7457;13.6979;8.5629;9.2912;18.8858;8.2105;7.0268;5.6397;11.3524;9.7271;24.5161;5.977;6.7011;9.7947
0.5;10.0883;13.3942;9.4808;10.0578;20.2911;9.3483;7.2394;5.5797;11.1048;9.2066;25.5177;6.0702;7.4961;9.5838
0.5;8.7561;16.0425;9.1974;9.5707;19.5111;9.1475;9.6077;6.2737;9.8852;9.1962;25.6176;6.067;7.0083;12.6144
0.5;7.8281;16.2775;9.3735;8.3971;19.7041;9.4091;9.2762;6.3627;9.3993;9.9089;24.9093;6.102;6.397;12.0751
0.5;8.5294;17.2273;9.1629;8.9851;18.3497;10.221;9.5648;6.1816;11.6902;9.6646;21.7356;6.3414;6.2949;12.3426
0.5;8.3384;17.9143;8.7061;7.922;18.6583;9.6921;10.4321;6.1108;10.9986;9.0422;23.4493;6.3558;5.7844;11.1176
0.5;7.6268;17.1779;10.4088;7.653;18.9609;9.2277;11.1776;6.5002;10.1399;8.5648;21.7739;6.2735;6.521;12.4367
0.5;7.0962;18.3711;9.6317;7.9177;18.5807;8.7454;12.4496;7.2997;10.2519;9.5943;19.6378;6.3022;7.3019;11.6523
0.5;6.5055;17.5505;8.4907;7.8307;19.689;10.971;11.19;7.672;9.2955;8.707;21.9399;6.1784;7.1615;11.0585
0.5;6.6155;16.5689;7.9242;7.8387;18.7606;10.5771;12.7648;7.6985;12.3335;9.9057;19.8928;6.3731;8.0243;12.4938
0.5;6.2525;15.9716;7.3768;8.008;18.044;11.8734;11.6932;8.5559;11.6779;9.2601;22.3801;6.4614;7.814;12.7438
0.5;5.7742;17.5167;8.3896;8.8493;17.6246;10.6841;12.5634;9.3515;10.7124;8.8089;21.6013;6.2867;8.032;12.3582
0.5;6.7007;18.3589;10.2253;8.2412;18.1943;9.6377;11.1886;8.7529;11.2762;9.8516;23.7096;6.4822;7.9298;11.1323
0.5;6.1662;16.4154;10.7762;8.5475;17.441;11.513;11.8686;8.7681;12.6348;10.9755;24.6631;6.2253;7.2313;9.5855
0.5;7.5454;16.5164;9.6205;8.7841;18.0224;10.7727;11.983;9.3141;11.4844;10.6622;27.3942;6.1806;7.5027;9.8709
0.5;6.6948;16.0441;8.5171;8.4749;18.7429;9.932;12.6382;9.5093;8.4468;10.1258;27.1444;6.1749;8.1873;10.589
0.5;6.1771;15.3472;8.9149;8.4804;18.0789;9.4727;14.3608;9.3868;8.0994;10.3003;29.9768;6.4283;7.9072;10.7284
0.5;6.9426;16.4237;8.2518;7.7383;17.5242;10.871;14.4578;10.0082;10.1156;10.1132;30.8706;6.3645;8.3151;11.3976
