odour stim;07/12/2020 Female10;09/12/2020 Male4;09/12/2020 Female11;11/12/2020 Female3;11/12/2020 Male8;14/12/2020 Male3;14/12/2020 Male7;15/12/2020 Male3;15/12/2020 Female8;08/02/2021 Female2;09/02/2021 Female5;10/02/2021 Female2
;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V
0;20.6069;15.2979;6.8179;20.8202;24.1924;16.2847;30.0552;31.2232;21.1481;12.0694;13.5445;9.8457
0;23.7852;16.6017;7.3662;19.8235;24.1695;20.9174;34.4233;35.9933;19.6053;15.469;13.0627;9.9296
0;26.6834;15.8778;7.0437;19.0482;28.5034;22.3509;36.8469;36.6842;17.2725;16.3525;13.2108;10.4928
0;26.9397;19.4595;6.8428;17.6108;30.5261;23.5896;39.6269;45.7106;23.0762;17.2325;12.1311;11.1158
0;29.6326;21.7199;7.1542;20.6937;32.6951;25.972;43.3614;57.6137;26.7774;20.3333;12.9692;13.9606
0;32.7653;23.0401;7.0381;23.6634;34.1619;26.3775;47.8443;64.3374;26.4002;22.3099;13.2325;13.0997
0;32.4372;25.1876;7.4108;23.4796;35.8436;28.5028;46.9538;71.9513;23.7069;23.8166;12.8582;16.7607
0;33.8671;27.9126;7.2203;23.0076;32.2972;27.6176;47.5677;72.981;21.3334;23.7349;12.6866;17.7591
0;32.8191;29.0902;6.8523;28.1336;32.1803;25.1933;48.7792;72.2412;18.9364;22.0285;12.8828;19.0454
0;29.6319;30.2507;7.245;31.8323;29.0908;24.0913;52.4989;72.2933;18.4686;23.2489;14.2742;19.3391
0;29.3431;28.4407;6.916;33.4636;28.6697;24.5841;52.0505;67.3121;16.6815;23.0999;13.8614;19.9451
0;28.5737;27.2236;6.9476;32.4165;28.0021;24.0529;48.6446;65.2084;17.4812;20.7674;13.0378;21.968
0;24.5662;25.7298;6.6817;31.6692;30.314;22.6864;51.3775;61.5777;21.7291;20.0061;13.0169;20.3394
