odour stim;07/12/2020 Female11;09/12/2020 Male5;09/12/2020 Male9;11/12/2020 Female5;11/12/2020 Male9;14/12/2020 Male4;14/12/2020 Male6;14/12/2020 Male8;15/12/2020 Female4;15/12/2020 Male5;08/02/2021 Female3;09/02/2021 Female3;10/02/2021 Female2
;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V
0;12.4415;16.085;10.7026;28.4311;28.6941;23.4685;17.066;34.5072;43.727;24.0617;12.7221;14.6569;6.2432
0;12.4866;15.5994;10.96;28.991;29.0623;27.861;21.9689;39.066;47.9938;22.697;11.8173;15.8549;6.0454
0;12.3253;16.09;9.6314;28.9423;24.3661;27.575;32.0463;44.9938;45.7908;27.0765;12.7432;17.0439;6.2663
0;12.811;17.3083;10.0726;34.1625;30.5451;33.1464;37.0848;47.6324;52.1237;29.9412;14.8651;18.0144;5.6657
0;15.1;20.526;10.1438;38.7733;36.838;38.0768;40.8151;49.5332;56.0658;33.407;16.6231;20.6844;5.653
0;14.5931;21.3879;8.8548;37.9562;31.6024;41.2155;39.9098;52.8457;58.1546;37.6146;20.2271;20.2463;5.7973
0;19.0237;22.1831;9.6167;37.4722;29.5966;42.032;37.4475;51.2186;56.3253;41.231;21.6189;19.9442;5.5622
0;19.4217;22.1496;9.5523;40.7812;24.8173;43.0052;34.4507;50.094;64.5428;42.6955;20.6618;20.501;6.9295
0;18.2517;22.7946;8.686;42.8868;26.757;40.07;35.0882;51.5487;63.7631;42.125;24.1033;19.7459;6.8807
0;17.8249;20.9477;9.3419;40.1708;27.3561;36.5832;35.6504;47.2377;67.6753;42.5084;25.2535;20.9324;6.7674
0;16.6592;18.4402;9.2141;38.6512;28.9048;39.9142;32.3915;45.27;61.7765;41.9222;24.0824;19.5356;6.6507
0;17.2053;20.7873;8.462;41.6498;26.4019;41.1143;31.3236;46.7642;67.64;42.1098;26.154;20.7034;8.0218
0;18.6671;20.6316;8.9655;39.7821;22.6312;41.7574;33.1746;45.4504;64.7724;47.1667;25.555;22.6894;7.546
0;20.3439;17.7171;9.023;35.5299;22.9224;44.4358;30.9075;46.8656;62.376;49.1564;28.2821;23.9132;6.8128
0;19.5566;20.8192;10.1999;37.0564;24.7803;42.5554;31.1046;48.5473;63.6532;51.8507;26.0344;25.8034;6.6907
0;20.3441;19.3201;10.6028;34.9047;23.2742;45.063;29.6116;43.7997;64.5031;50.8822;27.981;24.9142;5.926
0;22.129;16.6637;11.2559;32.7501;24.9561;43.5717;29.6053;42.5045;64.84;50.8511;28.16;23.8095;5.959
0;20.2305;15.8881;10.7627;32.1906;23.4229;44.1084;33.0171;42.0716;66.2385;54.0348;27.0483;20.4313;5.7579
0;18.7002;16.6191;11.6233;35.9652;23.8662;47.7214;34.0291;38.7291;62.8861;49.7413;26.1592;18.2414;6.0119
0;17.5861;18.1861;13.8654;33.4211;21.4634;43.8568;35.6444;40.9522;54.1839;45.0831;25.2925;20.138;5.6531
0;16.7422;17.5781;13.6764;34.3572;24.5313;43.408;33.3156;39.7716;46.9574;46.2083;26.5275;21.4522;5.8228
0;16.2108;17.2068;13.2307;38.0161;19.5506;40.1327;31.8336;38.3619;50.0073;49.5109;25.3851;23.5779;5.5527
0;20.9915;19.5387;12.6211;38.5982;23.3192;39.3169;30.4582;40.3255;51.612;44.4285;27.499;22.3676;5.7184
0;20.073;21.1897;13.0257;38.3587;19.4224;40.3174;32.0108;39.6603;47.8618;43.5089;28.3711;21.8371;5.5876
0;18.508;18.5119;12.7123;35.7295;20.6853;38.5051;30.8964;39.4432;47.9373;41.8394;30.1946;21.1675;5.734
0;17.8231;16.7408;14.2342;35.4219;20.1463;37.4011;29.0478;38.4549;49.3433;38.9647;29.9818;19.3009;5.5105
0;19.2622;17.9458;14.9965;34.7828;19.831;39.4696;28.5624;40.2702;45.5881;37.0578;28.1145;20.8118;5.6192
0;22.9797;18.4648;14.4335;32.5105;20.4568;37.6076;26.3605;40.3599;46.7915;32.9054;25.751;20.9675;5.4395
0;21.105;16.5693;14.517;30.6802;22.753;36.5661;25.6241;38.0354;41.0888;28.5581;25.6236;20.4929;5.6362
0;19.1315;16.3144;13.1149;29.9884;23.343;33.1136;24.2615;33.2807;36.0652;32.6702;24.5564;19.3058;5.657
0;23.4936;17.2623;17.2233;26.3403;22.2387;29.8393;27.1599;31.8106;39.4067;33.1792;26.1557;19.8883;5.3591
0;26.46;15.919;15.9464;24.0789;23.7402;34.0144;25.3147;28.8301;35.0226;30.4409;24.6254;18.9275;5.7922
0.5;23.9;15.2854;18.6724;23.9006;20.9655;36.995;25.0003;31.1831;35.4861;32.235;23.3443;21.1891;5.74
0.5;22.0094;16.854;21.6784;26.7489;19.7221;34.9199;27.2254;34.0123;33.9044;31.2272;21.4105;19.3935;6.7279
0.5;27.9852;15.0167;19.3502;24.3464;20.4573;34.9991;28.5248;36.0721;32.3172;28.5362;20.1058;20.4658;6.1965
0.5;29.1795;14.7396;19.2482;21.6193;22.3293;33.1565;31.7426;34.8821;32.7125;31.1342;20.2361;19.4832;6.2845
0.5;27.5546;14.4761;20.1149;22.5367;22.4401;32.5785;28.9366;32.5197;32.9952;28.6231;19.6722;20.2336;5.6784
0.5;27.3988;13.2274;20.4289;21.4057;22.0321;29.2739;28.4511;30.9255;28.9763;29.3075;19.3496;18.774;5.9246
0.5;27.9857;14.8787;20.0714;22.1843;21.9496;33.7677;30.7008;30.925;29.7212;33.145;20.6045;20.852;5.5595
0.5;25.94;14.5068;21.0507;23.0653;24.3011;31.9131;28.2325;30.9322;29.5448;34.8989;22.3406;20.4177;5.5476
0.5;23.8924;15.0913;20.1018;21.4727;24.6389;31.7022;30.8416;33.0002;29.48;31.6093;23.1115;20.8389;5.8646
0.5;29.4272;17.6328;17.7807;23.3922;23.864;27.9934;29.0654;31.5488;25.7169;28.9831;21.706;21.2871;5.8471
0.5;29.1714;18.744;19.9392;23.9337;21.2359;25.433;30.7831;33.3476;26.1655;27.5559;21.6293;20.5288;6.0901
0.5;37.5851;16.1493;25.497;23.2567;21.251;23.5916;28.4276;35.6927;30.8499;27.9368;21.169;20.6952;7.4474
0.5;43.3104;15.9965;23.4414;20.5062;20.3167;23.1846;29.3714;34.6672;30.2347;27.9026;20.17;23.236;7.2179
0.5;42.509;17.2099;22.8051;20.7358;22.1051;25.3934;28.9493;32.8424;27.1051;26.7525;19.0648;20.5783;6.5371
0.5;42.7023;15.7965;22.0553;22.4885;19.887;24.9029;28.9093;35.0311;27.4036;25.9671;20.4192;19.8502;6.2977
0.5;40.0281;17.8967;20.6556;20.9696;20.0993;26.6063;31.828;34.2341;26.0006;29.3781;20.8088;20.8795;6.3526
0.5;37.2209;17.2522;24.9287;21.5969;20.3344;29.7156;33.885;30.7601;27.3207;30.2722;19.6967;19.2258;6.1987
0.5;34.0107;18.8616;25.1338;20.9444;18.9297;26.9756;34.2319;32.7851;27.4993;28.1651;18.5653;20.6731;6
0.5;33.7177;18.5653;24.4487;21.3905;18.3193;28.1812;34.168;34.4075;25.618;30.213;20.9743;18.5774;6.6922
0.5;34.4466;16.2235;22.5635;22.5165;15.973;25.5626;33.2363;34.7351;23.1917;31.8388;21.1686;19.6457;6.7547
0.5;35.9787;15.7023;21.8351;24.348;14.8269;24.1702;33.4069;30.9259;21.7123;28.5054;20.7522;24.1141;6.2101
0.5;39.3536;16.9413;25.7332;25.7611;13.0587;26.8255;32.7635;30.8359;23.0559;28.4369;19.129;21.5866;6.1294
0.5;39.9422;16.6011;24.9795;23.2123;12.9104;24.678;32.0833;29.3371;24.4394;32.1799;18.6272;18.4205;7.3082
0.5;43.669;17.0958;22.6111;19.8775;14.1574;22.4165;29.6783;32.3467;22.2167;33.1333;21.105;21.7666;7.0129
0.5;44.7256;17.0092;25.6917;17.8811;14.3292;20.1408;31.4644;31.2467;23.2503;31.3963;19.1213;20.1599;6.5014
0.5;38.2325;18.8899;25.9368;19.4247;12.9658;24.9644;32.8133;30.2195;22.0149;29.1678;18.6435;17.7603;5.9427
0.5;35.9566;17.0503;21.5637;17.7748;13.9928;25.7103;31.5966;30.1559;22.5096;26.3878;19.8691;20.0909;6.2217
0.5;37.9677;15.3703;24.7668;19.9116;15.7755;24.4527;31.5413;29.9096;24.8409;23.537;21.2396;20.8721;6.0406
0.5;41.0694;13.721;21.8506;20.7343;16.1351;23.3757;34.136;29.2796;24.0283;27.9051;20.6056;20.721;7.0704
0.5;42.7998;12.2306;21.2651;20.796;16.3843;26.8057;35.4777;29.0297;23.1107;28.8058;21.4575;18.7284;7.4043
0.5;41.7701;11.5425;19.6189;22.6305;15.9706;28.5186;31.9922;29.037;27.9951;29.3633;20.1841;20.2444;5.9232
0.5;37.8314;10.7976;16.8176;20.6449;14.2918;25.491;32.3069;28.8935;27.1979;28.1949;20.4446;22.5173;6.2871
0.5;37.7536;10.8408;17.1177;19.0713;16.1852;26.4474;31.3675;26.5605;31.5076;30.865;20.6696;21.2347;6.2004
0.5;37.9008;11.0721;20.2769;20.2526;13.7775;24.2777;30.8437;29.0587;28.0419;27.3809;22.7997;20.4864;5.7576
0.5;36.4334;9.9783;19.4024;23.7472;17.4742;25.322;33.3811;31.1324;27.3576;24.7389;21.819;18.5704;6.0091
0.5;35.2105;11.0202;21.9247;26.5754;16.7215;25.7724;34.3179;30.4846;25.5467;26.2078;23.5087;18.7345;5.5185
0.5;35.9679;11.8343;19.4419;24.8174;14.771;23.8919;32.8223;32.12;28.8887;27.4374;21.7178;20.0685;5.5287
0.5;34.6232;11.8059;22.0947;21.6949;14.934;21.9805;29.391;29.2337;27.4731;26.0782;22.664;21.2522;5.4621
0.5;40.5268;11.5162;22.9571;22.6476;15.0587;19.7263;29.4897;30.9466;27.4434;26.1394;24.4652;23.9521;5.191
0.5;44.1304;10.286;20.5169;24.4715;13.2051;18.0758;33.9271;27.647;27.9188;25.1551;22.4653;22.6699;5.7363
0.5;46.1157;10.3543;19.7829;24.6218;13.1209;19.9279;33.3636;28.9011;28.7559;27.9974;25.6427;20.7389;5.2507
0.5;40.905;11.3965;17.0095;26.1806;13.6896;18.8928;30.0923;31.3159;28.5994;25.8676;25.103;21.8215;5.4047
0.5;36.3463;11.1916;16.0672;27.4656;13.76;17.9072;33.3295;28.9992;31.9727;27.1559;22.8524;21.2325;5.0607
0.5;31.7022;13.6448;15.1245;26.881;14.883;17.0699;30.1808;29.1305;32.5104;28.0603;24.6131;19.5908;5.4263
0.5;36.598;14.6715;12.9893;23.5284;12.8723;16.0319;30.5871;31.5734;29.4101;25.7977;22.808;21.858;5.592
0.5;40.7763;14.254;13.2104;25.5182;13.9276;15.4285;33.9125;30.3619;25.6524;29.8494;20.6428;20.2369;5.2171
0.5;37.8992;14.5884;12.019;27.7816;13.2436;14.8777;33.3242;28.785;25.2555;26.7604;19.7303;20.5721;6.2703
0.5;32.6611;13.6716;12.2048;28.4938;16.2199;14.6736;35.0115;29.4686;28.1934;27.6506;22.4689;21.6364;5.9487
0.5;38.8522;15.6011;12.2151;29.2982;14.8996;14.0536;36.6375;28.7847;27.5423;28.0222;20.8876;21.6677;5.8266
0.5;43.6442;16.4395;12.6853;27.0222;16.4746;13.6164;34.5475;30.4802;27.72;26.0434;19.4922;21.9497;5.6818
0.5;49.3299;16.8037;12.7946;23.8088;14.5904;12.8692;36.954;27.7285;24.911;22.3019;17.9607;19.2652;5.4296
0.5;44.496;15.5301;12.0209;27.6064;14.4681;13.1151;36.6581;27.2943;22.4851;19.9753;18.4131;17.0091;5.647
0.5;37.3591;14.9749;11.7575;29.3346;17.1209;15.0804;34.9009;27.0081;25.8479;17.5462;18.3751;17.5487;5.1433
0.5;40.6236;17.7599;10.9102;30.8063;15.6128;16.8535;34.3904;26.9751;26.4822;16.7522;19.3729;20.3112;5.3006
0.5;44.5241;17.2772;7.4987;28.3173;17.2131;15.4171;33.6539;24.4274;28.5907;15.7111;20.3507;20.9068;5.4371
0.5;44.0967;19.9272;10.5539;27.1473;16.6349;14.8106;32.7977;26.5506;29.4303;20.2781;19.3582;22.9719;7.0916
0.5;40.6872;19.5713;9.9799;25.004;16.5476;16.4863;35.1566;29.0747;28.0363;19.2125;17.7746;23.5031;6.7781
0.5;35.7457;17.1509;10.3949;24.7055;15.6011;16.828;31.6691;28.3929;24.7108;18.047;18.3291;21.2334;6.3862
0.5;31.5719;16.9247;12.4715;26.048;14.6662;18.9482;30.3406;27.2609;24.8788;16.1967;17.881;20.3882;6.2172
0.5;37.0619;15.8871;11.2922;27.4173;12.7963;17.169;31.1717;26.5283;23.8687;16.7166;15.8988;20.577;5.916
0.5;33.4702;19.3501;10.8649;24.6744;13.8359;15.7051;28.023;29.2092;26.6151;14.8525;15.7845;22.9864;7.7442
0.5;30.9661;19.6967;12.8634;25.4472;14.4745;14.8255;27.6834;26.2013;26.7638;14.3962;14.5013;20.9789;7.8189
0.5;27.7943;17.9519;12.1708;27.1698;12.9571;13.7612;29.1526;26.5073;27.171;13.7771;16.8075;19.9709;7.2457
0.5;34.2845;20.8302;12.1876;24.8423;14.9667;13.3157;28.5026;26.5339;26.7105;13.6213;17.3651;20.3253;7.2668
0.5;33.1154;20.2624;11.4295;23.97;14.3061;12.8479;29.2816;24.0304;24.5515;13.1858;15.9898;18.88;6.372
0.5;32.6273;18.8558;11.4335;23.8799;15.1304;12.349;31.7704;26.7551;27.7986;12.9486;14.7916;19.5381;7.5469
0.5;29.3595;20.1455;10.5668;25.4145;13.743;12.2997;31.14;28.4735;28.0265;14.7565;16.1755;20.5635;6.8038
0.5;24.9616;19.6404;12.4774;23.1044;15.3021;11.9536;32.6489;26.1203;25.5778;15.4345;15.8188;20.2676;7.0079
0.5;23.9645;20.7486;14.6329;21.3016;14.759;14.1601;31.71;27.2389;26.4687;14.8718;15.0007;20.723;6.5129
0.5;25.623;21.2436;16.5105;23.1835;14.0677;13.3064;32.1473;25.2237;30.0782;13.8473;14.2776;20.4357;6.3319
0.5;24.3772;22.1964;15.2961;24.9828;11.6051;13.873;29.5018;28.1517;31.5696;13.6316;17.5329;22.0087;6.3415
0.5;21.1431;24.3963;17.3268;24.8552;15.4157;14.425;30.3267;29.0324;29.9609;13.219;16.5642;22.5786;6.0519
0.5;19.9885;21.6606;17.1587;25.9971;16.0875;14.9361;33.2183;26.7846;26.3561;12.5732;15.2065;20.0077;7.3737
0.5;19.9853;19.987;16.1705;23.4197;15.1796;16.0122;33.0273;26.2756;27.6767;12.3499;14.4029;18.0306;6.6836
0.5;18.9568;19.4964;16.1886;23.3828;14.5969;17.4815;33.894;29.1994;27.7456;12.4188;14.0294;15.9865;6.6493
0.5;18.8123;18.8665;16.168;25.2719;16.0003;16.2977;29.6404;29.7032;30.4448;11.8042;14.484;13.7761;6.2213
0.5;17.6336;20.4445;20.1695;26.8036;15.4074;15.7434;29.4083;32.0655;30.5179;12.2221;13.431;12.9329;6.2525
0.5;16.7712;21.1826;18.2408;25.0777;17.0556;16.274;31.5504;30.8121;30.5186;11.5525;13.1686;11.4621;6.5991
0.5;16.2585;18.1974;17.8895;25.8408;16.8391;18.0507;31.8154;30.5276;30.7836;11.7132;12.5129;10.7242;6.921
0.5;16.638;17.6368;17.501;22.9811;15.2573;20.304;28.864;32.3901;26.9293;11.3335;13.4504;10.2341;7.2177
0.5;16.0683;19.5325;20.3753;21.8741;16.5595;20.0003;31.8915;31.9903;26.7117;12.1611;15.049;10.4402;6.3062
0.5;15.06;18.1358;23.4248;19.884;19.0459;23.6731;32.8435;33.3966;27.9428;13.3517;14.4846;12.3544;6.3207
0.5;15.5007;20.0465;21.4104;22.1924;18.1506;25.2125;31.3209;32.9305;25.402;13.7435;13.9923;11.0064;6.3049
0.5;15.2151;20.0752;19.9577;24.6883;16.7299;24.9049;29.5938;31.2315;25.809;15.1964;14.8496;10.5056;6.3014
0.5;15.06;22.5454;18.3458;24.005;15.7611;23.4443;30.841;34.0369;23.493;14.4737;15.7717;9.8127;7.0422
0.5;14.7539;20.4386;19.7257;20.2422;14.6769;24.8416;32.2131;36.6011;23.5598;13.4886;15.3481;9.1881;7.7642
0.5;14.7693;18.5942;19.6629;18.2663;16.099;26.474;28.7149;35.1053;26.1031;12.5275;13.8069;8.7499;8.0905
0.5;17.7542;20.0515;20.3762;16.306;16.3223;25.0804;26.834;36.2159;23.9443;13.2577;12.8758;8.4483;8.3586
0.5;16.5595;18.3373;20.5043;15.2134;17.239;27.0402;27.787;34.8367;24.5897;18.522;13.0987;7.9509;8.0727
0.5;15.7555;21.2577;20.9814;15.8924;17.9262;27.9734;26.3326;32.8294;23.535;20.2633;11.7925;8.0516;7.2173
0.5;14.7193;18.4729;17.6495;14.8985;17.952;29.5946;28.8399;30.3946;25.254;21.5647;10.8712;9.0665;7.1312
0.5;14.6645;17.0002;18.7135;14.2121;20.9633;28.8449;27.5185;27.8737;26.7253;25.8879;12.9123;8.7906;7.4741
0.5;14.6694;19.027;18.7719;15.1174;19.641;30.3428;24.8965;28.073;24.7007;27.1449;12.1678;9.3702;8.0785
0.5;13.794;18.3477;22.6063;14.8319;18.7863;31.6222;21.8561;28.3897;25.9694;24.3419;11.5608;8.8183;7.8854
0.5;13.8286;17.2248;21.0706;15.0417;18.2828;32.1833;18.5568;28.7018;27.2308;26.8826;14.4342;8.7585;8.1653
0.5;13.2144;17.2627;21.9584;13.894;18.6624;33.6132;18.0394;28.6156;28.6685;23.7202;14.5529;8.4632;8.1375
0.5;13.418;19.1803;21.7831;12.9848;20.4605;29.4213;16.8666;31.0066;26.3796;27.4526;17.0176;8.6056;7.1663
0.5;13.2907;20.8796;23.3916;12.365;18.2549;29.5382;16.8613;29.7834;26.7167;30.8788;17.1531;8.2182;6.8766
0.5;13.3024;18.1648;23.9337;13.2211;18.6594;29.0224;16.3427;34.4661;24.0452;28.8229;16.4108;7.7383;6.7112
0.5;13.8245;17.4576;19.8583;12.3901;15.4018;27.2277;14.7785;33.0367;29.4979;24.3264;17.5397;8.9365;6.4231
0.5;12.9082;16.8983;20.1517;11.5573;15.262;29.7916;14.128;31.7201;30.5063;25.2154;18.2398;9.4452;7.8789
0.5;13.2676;17.7538;21.786;11.7736;15.2976;27.1295;13.5368;35.6743;28.1161;25.6411;16.5703;8.3422;7.1971
0.5;13.4761;17.5903;22.8368;11.7628;18.122;24.9396;16.5852;34.0536;26.4318;29.4558;16.0877;9.5205;6.9129
0.5;13.0454;18.9481;19.656;11.3532;16.0764;23.5193;16.1471;35.2567;28.4968;27.4866;16.6086;10.1673;6.0363
0.5;13.7345;18.519;21.3149;12.992;18.3018;24.2033;15.9302;35.5584;32.0064;29.6934;18.9946;8.9548;7.9321
0.5;13.0339;19.9671;20.1093;13.3336;16.4084;25.2514;15.7588;36.1383;35.1431;26.176;18.4661;8.5447;7.1929
0.5;13.4547;20.1091;21.2541;14.118;14.9224;26.0947;14.3431;35.4563;33.6874;30.4122;17.0654;8.9508;6.9278
0.5;13.349;18.9586;23.5579;14.2607;11.9777;29.3628;15.8838;33.8539;31.2192;26.6873;15.3083;8.3914;6.4372
