odour stim;07/12/2020 Female12;09/12/2020 Female6;09/12/2020 Female10;09/12/2020 Female12;11/12/2020 Female6;11/12/2020 Unknown10;14/12/2020 Male6;14/12/2020 Female10;15/12/2020 Female1;15/12/2020 Male7;09/02/2021 Male4;10/02/2021 Male4
;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V
0;7.5451;8.9478;22.3824;14.6188;24.3936;6.9953;19.9483;7.8481;16.9093;20.6928;9.6944;13.3522
0;7.8612;8.7308;25.7536;15.1875;26.9137;7.2673;26.7527;8.0344;19.9335;21.3004;9.6527;15.2856
0;8.358;9.7217;24.7777;18.304;32.1344;7.7699;35.087;8.227;22.6403;20.4903;12.2277;14.9183
0;8.0309;10.5834;26.9475;20.4304;37.3939;8.526;40.032;9.4233;23.6596;21.3199;12.0136;14.1094
0;9.4122;11.2778;24.6951;21.3302;42.598;8.8105;40.255;10.5374;23.4033;21.689;14.2597;16.6736
0;9.9718;11.0387;27.3332;20.4387;46.2067;9.8939;38.4311;10.5241;21.2329;22.574;13.4776;17.1922
0;11.3372;11.8036;28.1387;21.3986;46.9696;12.7408;39.8092;13.5695;23.7332;22.1774;16.032;17.3922
0;11.2949;12.652;26.6649;23.3549;47.8506;15.3002;42.7168;12.6485;27.0806;22.7117;15.2077;16.5097
0;12.1217;13.9522;28.6187;23.6293;44.6843;15.0999;40.0162;11.6178;30.6355;22.7414;14.7311;15.5176
0;11.4257;14.8269;29.4047;21.4892;46.0119;14.4271;42.2106;11.1529;31.2928;22.3838;15.1646;14.5976
0;10.045;15.6315;27.8338;19.6317;48.1307;14.8747;40.0321;10.0209;33.5353;22.709;14.5064;13.1299
0;12.545;14.7498;27.3108;17.2593;46.8778;15.4299;39.5605;10.4111;31.7052;22.8062;13.6343;16.5221
0;10.334;15.6029;27.1928;17.6637;41.6649;16.1706;36.0676;10.5052;31.3964;22.457;15.2181;15.5837
0;11.3578;15.0531;27.8541;17.1647;43.0166;16.3393;35.1278;11.4331;31.8321;22.4229;15.4845;14.6361
0;13.0873;14.63;26.5222;17.0036;39.4137;16.1591;31.8746;11.2149;33.6597;22.4618;14.292;14.916
