odour stim;12/11/2020 Male5;09/12/2020 Male8;11/12/2020 Female4;11/12/2020 Male7;14/12/2020 Female2;14/12/2020 Female9;08/02/2021 Female4;08/02/2021 Male7;08/02/2021 Female8;09/02/2021 Male2;09/02/2021 Female7;09/02/2021 Male8;09/02/2021 Female9;10/02/2021 Male1
;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V
0;11.0292;10.3297;10.0345;11.8002;23.3612;24.4229;10.138;22.9359;11.1097;8.8458;7.0401;6.1987;12.3572;16.9386
0;10.072;10.257;9.922;18.866;28.2961;25.8665;9.8537;26.9957;11.274;11.1916;8.0722;6.1562;11.2026;15.1078
0;9.8511;9.7453;10.5868;27.9114;32.4988;26.5193;10.2003;31.6911;11.1326;11.0791;8.3628;7.422;13.0227;15.1627
0;10.8286;9.2478;12.5812;46.5288;34.3069;27.3125;11.2764;36.6913;11.9404;13.9495;8.6463;8.3547;16.8549;17.0865
0;10.1168;8.7983;14.166;54.7956;36.2072;32.9612;11.0807;39.5548;12.8067;15.6094;9.3508;8.2142;20.0557;17.9953
0;9.596;9.0228;14.6349;59.2807;36.8057;30.1381;10.2219;42.3311;15.2331;14.9535;8.3123;7.6542;21.1829;17.8161
0;9.21;11.2549;15.789;62.305;37.0225;34.5254;10.9996;42.0867;15.9298;15.4518;8.8863;7.3878;21.9976;20.047
0;9.0959;11.6761;14.9675;60.7765;41.2706;35.6331;11.7491;42.681;14.4794;14.2637;8.5937;7.8871;22.0834;21.9606
0;8.043;11.0494;15.8492;58.7953;42.9066;37.025;12.0889;40.8196;14.8925;15.2576;9.7969;7.3999;20.8433;23.9422
0;7.8445;11.15;17.1733;57.3838;44.0672;36.2516;12.8613;39.9983;13.4905;13.6532;9.9605;7.4718;18.4599;25.4949
0;8.0967;11.7987;16.0884;58.4911;42.2826;35.7295;12.283;41.9889;14.5814;14.2416;10.2792;7.0639;17.3186;25.1883
0;8.8059;12.8865;16.0803;57.2115;41.5181;36.9277;12.9589;45.4992;15.698;15.4566;9.0938;7.4646;15.6586;21.3351
0;8.9537;12.4359;17.5783;54.2494;40.8285;36.4425;12.0349;47.5885;14.8009;14.0236;9.4405;6.6561;15.6174;26.0137
0;8.0813;11.3632;18.3677;53.6733;36.8121;37.4777;11.5235;48.0996;15.7329;13.9861;9.709;7.1345;14.0717;25.7674
0;7.6544;10.3641;16.5427;53.9771;37.1906;36.4457;10.5989;45.0314;15.5429;14.2567;10.7348;7.3919;12.2721;25.6556
0;7.6078;11.4326;14.3413;49.7841;38.849;37.4268;11.099;46.9062;14.199;13.7445;10.2714;6.5415;12.0973;27.1253
0;8.0891;12.6163;14.8142;46.6917;41.5639;33.8326;10.4799;46.5825;12.8658;15.2288;11.3207;5.973;11.0872;27.3964
0;9.5621;12.2155;15.6542;43.6716;41.3166;29.8797;10.8832;43.9118;12.5436;14.7371;13.2616;5.4057;9.9712;26.7309
