odour stim;12/11/2020 Female1;12/11/2020 Female2;12/11/2020 Male7;12/11/2020 Female8;13/11/2020 Female2;13/11/2020 Male1;13/11/2020 Male5;13/11/2020 Male6;13/11/2020 Female11;11/12/2020 Male2;15/12/2020 Female2;08/02/2021 Male6;08/11/2020 Male4
;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V
0;6.4747;5.3307;5.2796;6.771;8.6293;7.3673;10.8756;6.3559;10.2308;16.8204;11.1612;11.9808;9.9628
0;6.5365;5.4789;5.5295;8.161;8.0057;8.983;10.1208;6.9176;11.5679;18.3655;10.5067;15.0335;12.8888
0;6.6684;5.2907;6.1135;9.4344;9.4822;12.4571;7.7317;7.238;12.5896;19.5089;11.5945;17.7804;14.1151
0;7.4386;5.2556;7.8395;9.22;9.5496;12.5837;10.7522;7.6788;11.2791;24.0808;12.7145;19.2172;16.4929
0;7.4193;5.9419;9.7098;10.5127;10.1752;12.1708;11.5952;7.5106;11.1692;26.7198;15.5515;22.5206;18.7727
0;8.2471;6.1623;9.7369;10.4059;10.7909;10.7401;13.9463;8.0693;11.7407;27.0195;15.0014;24.4902;19.6044
0;8.2251;6.1167;11.784;10.236;10.9453;9.1419;13.6289;9.7995;10.9289;26.4751;17.5364;29.2026;21.9481
0;8.0767;5.4438;10.8689;10.2217;13.6673;8.8343;14.8714;10.9041;9.7228;25.5907;16.1478;28.5696;20.3894
0;8.6208;5.3406;10.1834;10.9124;13.004;8.069;13.4395;9.8348;10.6306;27.0396;18.0083;27.1716;20.9404
0;9.2479;5.5165;12.2331;9.8815;11.2779;7.9336;13.3583;10.0673;11.8678;27.2889;19.4257;25.0397;20.8302
0;9.5354;6.1056;13.2191;9.5648;11.002;7.7189;14.2129;11.4722;10.9004;28.6058;19.803;24.8941;21.6791
0;10.2278;6.2941;12.7621;10.0648;9.9458;6.4256;14.2106;11.0653;9.9377;28.581;18.7611;22.7419;22.7354
0;9.7802;6.4688;12.7678;10.5754;11.8434;6.5093;14.6514;9.9497;9.0007;29.0873;19.4988;26.1008;24.2006
0;9.7934;6.3602;12.841;10.2339;11.7548;5.8286;12.9143;9.8448;9.5267;27.7893;16.9964;25.3552;25.2361
0;11.1784;6.7397;14.0843;10.4515;10.4562;5.3256;15.2971;11.0481;11.0291;26.8695;20.7536;22.9556;25.8396
0;10.0065;6.7544;13.9539;9.2283;8.7837;5.1934;13.3116;10.2859;10.9747;27.5771;20.2561;21.0426;23.8139
0;10.0589;6.1698;14.6513;8.8965;7.9944;5.4874;13.0097;8.4458;11.816;28.1754;20.589;19.5616;24.9504
0;10.2477;5.7968;14.0817;9.6172;8.8807;4.9653;11.5695;8.8174;10.5793;25.6175;20.8524;17.5096;25.4383
0;8.9998;5.4325;14.1733;9.4788;8.7406;4.7525;12.3239;9.2306;9.5015;26.5312;20.6541;18.2506;23.7499
0;9.7048;4.6672;14.4739;9.329;7.7854;5.5756;11.36;8.4726;9.6385;23.8559;22.6683;19.7143;25.702
0;8.4793;4.6118;14.4053;9.5143;7.9095;5.4117;11.0873;8.9541;10.6471;22.2754;24.2286;19.2046;24.2137
0;7.606;4.2127;14.6319;9.3435;7.3147;4.8956;10.5709;9.4744;10.0503;22.0984;21.4599;21.3537;24.0928
0;8.87;4.1629;14.5814;8.9891;6.4223;6.6815;10.569;9.8904;10.6271;23.3535;21.086;21.4575;23.0306
0;7.8645;4.6632;15.7354;9.6078;6.6918;5.6026;9.3382;10.0588;10.6216;21.568;20.4089;19.7385;22.9719
0;6.9845;4.8713;15.5269;8.7947;6.2383;5.341;8.3697;9.3547;10.8602;22.0883;21.7339;22.203;21.8371
0;7.8236;4.9807;13.6293;8.7978;5.663;5.2711;7.9668;9.5253;10.6573;21.8506;20.1775;20.1855;23.4751
0;7.7444;4.5673;13.5922;8.0169;5.5487;5.2478;8.8019;9.4963;10.8659;20.276;18.0957;19.2973;23.9114
0;8.3884;4.261;13.6344;7.9528;5.018;6.2866;10.7563;8.5179;11.258;20.472;18.7374;17.6229;23.9257
0;8.3838;4.8025;14.9164;8.1051;4.7339;6.65;11.2889;8.0792;12.2447;18.5009;16.4361;17.3682;24.7742
0;8.3653;4.1662;13.079;8.6892;4.7209;5.925;11.4181;8.284;10.8374;18.2553;18.0103;19.3738;22.3374
0;7.9593;4.2634;12.2814;7.6319;4.5251;7.3001;11.1855;7.9006;10.1779;19.3331;15.9529;18.1822;21.0627
0;7.7136;4.1566;13.6207;8.2564;4.5414;6.3236;9.8607;7.2266;11.262;17.99;15.5091;17.122;21.2862
0.5;7.8259;4.5323;13.5783;7.5815;4.2749;6.0611;8.7345;6.7236;11.6346;17.5466;18.0566;18.6016;21.1024
0.5;9.2411;4.4859;13.473;6.9604;4.3655;5.4081;7.9023;6.3414;10.5552;15.4389;16.532;19.4499;22.0817
0.5;8.6986;4.6537;13.9112;7.2947;4.2486;6.2727;7.9798;6.1496;10.4007;15.7309;19.097;17.2101;20.5868
0.5;7.6021;4.7385;14.4028;6.9056;4.2718;6.619;7.624;6.0406;9.9401;18.3414;18.4675;17.9806;20.1216
0.5;6.9268;5.0436;13.8982;7.4462;4.1337;6.264;6.3689;7.1398;9.8423;16.3563;18.8873;17.8394;19.6993
0.5;7.1119;4.6768;14.3739;8.0243;4.1815;6.2493;6.4942;7.7346;10.7855;15.8342;19.6286;16.8206;22.116
0.5;7.6297;4.2076;13.5068;7.437;4.199;6.4316;5.6721;7.4235;11.2487;15.3284;19.0024;16.288;21.3523
0.5;7.1013;4.2388;12.6444;8.2624;4.0845;5.6958;5.5785;7.0403;12.1508;15.4219;17.2818;19.6874;22.1279
0.5;8.0107;3.5675;12.1776;7.6577;3.9934;7.0159;6.2454;6.3964;11.2161;15.3902;17.6128;20.0566;20.3657
0.5;7.6332;4.6919;12.2567;7.4039;4.0471;6.7884;7.4198;6.4005;9.8817;15.9231;17.8218;17.7214;19.9953
0.5;7.1009;4.9369;12.0517;7.5361;3.9018;6.4167;6.7091;7.9328;10.7855;15.7531;17.1963;16.7009;19.4398
0.5;8.2182;4.9339;12.5941;7.4442;4.0152;6.2411;6.1694;7.3293;12.3535;13.8139;15.3553;17.1739;19.9448
