odour stim,19/03/2021 Female 7,22/03/2021 Male 1,22/03/2021 Male 2,22/03/2021 Male 7,22/03/2021 Female 11,29/03/2021 Female 3,29/03/2021 Female 5,31/03/2021 Female 1,31/03/2021 Female 4,31/03/2021 Female 9,31/03/2021 Female 10,31/03/2021 Female 13,08/04/2021 Female 1,08/04/2021 Female 5,08/04/2021 Female 7,08/04/2021 Female 8,08/04/2021 Female 9,08/04/2021 Female 13,08/04/2021 Female 14,08/04/2021 Female 15,28/06/2021 Male 14,28/06/2021 Male 15,28/06/2021 Male 16,28/06/2021 Male 18,02/07/2021 Male 1,05/07/2021 Male 1
,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT
0,6.6028,5.3157,10.1502,11.3863,7.451,6.64,10.3342,3.4295,15.1155,7.7781,8.4502,1.7133,5.0184,9.7715,6.5511,3.9322,18.6527,9.0899,7.4085,4.3576,4.0511,5.8656,10.8557,5.1978,2.0975,5.7946
0,6.6914,5.4632,10.1933,11.7292,7.1115,6.4518,9.4335,3.3837,14.384,7.0034,8.4391,1.5503,5.0948,10.1827,7.1668,3.4917,17.3109,8.5839,7.6929,4.772,3.8572,6.0263,10.0532,4.9008,2.0131,5.8659
0,6.9225,4.4599,10.0756,10.4141,7.1507,5.8548,9.8986,3.2771,14.0172,6.9061,7.959,1.3688,5.135,10.738,7.9141,3.1731,14.8325,8.0873,7.5858,5.0446,3.5497,5.9414,9.3526,4.5844,1.9844,5.9779
0,7.1074,4.706,9.5456,10.9696,7.1788,5.5598,9.9738,3.2536,14.4942,6.3653,7.5391,1.4176,5.2865,9.5456,5.552,3.5347,14.486,7.524,7.2459,4.9073,3.3902,5.955,8.8498,4.0393,1.5774,5.9411
0,7.3356,4.5597,8.8141,10.5776,7.5607,5.8621,9.6258,3.3984,14.9276,6.4993,6.6355,1.9229,5.5673,10.112,4.9451,3.6767,13.8098,6.48,7.755,4.7753,3.4539,6.6927,8.2826,3.9312,1.7151,6.4089
0,7.5947,4.6369,8.9436,10.4562,7.7813,5.4697,10.5619,3.4776,16.1025,6.0858,6.7387,1.6977,5.4569,10.5268,6.3146,3.6,14.108,6.4658,7.6379,5.274,3.5818,6.5394,8.1377,3.7987,1.7505,6.4966
0,7.9067,4.3518,8.4536,10.1389,8.1342,5.4125,9.3617,3.147,16.0507,5.8764,7.2179,1.6452,4.7757,11.3566,5.1283,4.0612,12.779,6.3185,8.6599,4.5237,3.6941,6.4281,8.0085,3.8324,1.8106,6.7721
0,7.8174,4.3192,8.7246,9.9006,8.0451,4.9031,10.0914,3.3582,16.3323,5.4733,6.0751,1.8255,4.9813,12.6109,6.2249,4.1018,13.4682,6.488,8.0677,4.3162,3.8503,6.7827,8.0229,3.6902,1.7717,6.9966
0,8.3338,4.277,8.8002,9.7363,8.592,4.7636,10.0619,3.7977,16.3588,5.5626,6.4586,1.8083,5.2822,11.9631,6.6449,4.2564,12.6125,6.4197,8.6103,4.6332,3.7144,6.4251,8.8432,3.7537,1.9705,7.3022
