odour stim,19/03/2021 Male 2,19/03/2021 Female 3,19/03/2021 Female 4,19/03/2021 Female 5,22/03/2021 Female 5,22/03/2021 Female 8,22/03/2021 Female 9,22/03/2021 Female 10,22/03/2021 Female 12,22/03/2021 Female 13,29/03/2021 Female 1,29/03/2021 Male 2,29/03/2021 Female 4,31/03/2021 Female 2,31/03/2021 Female 7,31/03/2021 Female 8,31/03/2021 Female 11,31/03/2021 Female 12,08/04/2021 Female 4,08/04/2021 Female 6,08/04/2021 Female 11,28/06/2021 Male 17,02/07/2021 Male 3
,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT
0,16.729,20.781,12.542,4.2147,19.1709,9.3528,16.1506,7.598,9.6709,9.5331,6.8168,5.5604,4.2731,2.1246,1.7736,1.5849,9.7703,3.7764,10.2102,6.869,4.5337,5.9159,2.6329
0,16.2319,19.3837,11.9838,4.4634,18.713,9.2699,15.524,7.3994,9.7163,9.605,6.5661,5.6532,4.3616,2.2167,1.7488,1.7414,11.0638,4.3786,9.2972,7.1632,4.6453,5.766,2.8411
0,16.386,19.6659,11.341,4.8072,17.5995,9.6125,15.9108,6.9668,9.8891,9.3495,7.1605,5.3889,4.1671,2.4085,0.9711,1.8987,11.0996,4.1022,8.3459,7.7813,4.747,5.9881,3.1314
0,16.4087,19.8051,11.1122,4.0257,18.0119,10.143,15.5422,6.7638,9.7557,9.4071,7.326,5.4059,3.9216,2.0831,1.2711,1.5584,12.1402,4.3533,9.3866,7.8077,5.1196,6.2124,3.2438
0,17.1324,17.5944,10.6659,4.43,17.6851,10.3952,15.8544,6.6952,9.0587,9.3562,7.1094,5.4669,4.1581,2.3788,1.3089,1.5931,12.0215,4.2319,8.0421,8.3117,4.8593,6.4991,3.1046
0,17.0746,20.2033,10.986,4.8308,17.7882,10.6127,15.8973,6.5279,9.3073,9.9206,7.2689,5.6333,3.9999,1.8014,1.4045,1.6862,13.3759,4.383,8.3629,8.0965,4.87,6.6606,3.3509
0,17.1423,19.8005,10.6295,4.6516,17.9704,11.2904,15.2986,6.4538,9.7027,10.0006,7.1214,5.0997,3.9066,2.3252,1.386,1.5889,13.6835,4.5449,8.4949,9.2209,5.3273,7.042,3.2441
0,18.0417,18.4332,10.3762,4.4264,17.1851,11.3486,14.1678,6.5239,9.2584,10.1482,7.4707,5.5024,4.0789,2.3343,1.2175,1.6521,14.2856,4.3281,9.0599,9.7224,5.7336,6.8577,3.0453
0,18.7499,20.2803,10.1777,4.2686,17.7235,11.7657,14.4825,7.0579,9.6693,9.8557,7.4334,5.6954,4.4963,2.3079,1.634,1.6734,14.3944,4.942,8.8283,9.2846,5.2705,7.1597,3.3624
0,19.2804,19.4233,10.2498,4.0423,18.1387,12.1568,15.3332,7.0943,9.2468,10.7036,7.1878,6.074,4.1029,2.6799,1.2106,1.7517,14.8728,4.8297,9.2058,9.6698,4.4216,7.2478,3.1795
0,19.6127,18.2397,11.0407,4.9643,18.208,11.8403,14.8558,7.0883,9.4642,11.0711,7.2304,5.0484,4.0476,2.5395,1.4299,1.9145,15.1424,5.1656,8.2969,9.7589,4.0324,7.2974,3.2302
0,19.7705,19.4647,10.7881,4.5547,17.9387,11.7717,15.1518,7.317,8.8599,10.7492,6.9005,6.0101,3.7629,2.1975,1.127,1.8611,15.0897,4.983,9.0075,9.7168,3.9342,6.9287,3.1881
0,19.9372,20.0809,10.7376,4.4218,18.4398,12.0734,14.8908,7.4029,8.8905,10.7906,7.2266,6.0738,3.9194,2.9005,1.1993,1.9951,15.0806,5.2499,9.1891,10.0713,3.8114,7.491,3.1467
0,19.5112,18.2345,11.7332,4.7732,18.3784,12.3578,14.6706,7.5751,8.3367,11.0152,7.2473,5.8525,3.798,2.7032,1.4398,2.117,14.53,5.2141,7.5514,9.5353,4.5002,7.2523,3.2666
0,19.992,20.7369,12.0436,4.435,18.9297,12.1762,14.9252,7.8838,8.6579,10.5938,7.3696,6.1112,4.0884,3.072,1.1923,1.9807,15.5269,5.2729,8.7082,10.0996,4.9328,7.8619,3.2508
0,20.578,19.9847,12.3999,4.834,18.2409,11.8512,14.302,8.5039,8.4727,11.1298,7.2227,5.6649,4.0542,2.6908,1.2238,2.0525,16.2913,5.283,8.3382,10.1486,4.1577,7.905,3.4161
0,20.3897,18.5364,12.9368,4.7054,18.3324,12.0328,14.0907,8.5322,7.8872,10.8212,7.3573,5.4359,4.2652,2.6759,1.2865,2.1811,15.8819,5.2599,7.9326,9.5345,4.2425,7.9287,3.3182
