odour stim,08/06/2021 Male 1,08/06/2021 Male 10,09/06/2021 Male 1,09/06/2021 Male 3,09/06/2021 Female 4,09/06/2021 Male 5,09/06/2021 Male 9,09/06/2021 Female 11,09/06/2021 Male 12,10/06/2021 Male 5,14/06/2021 Female 2,15/06/2021 Female 1,21/06/2021 Female 1,29/09/2021-male1,29/09/2021-male7,30/09/2021-female10,01/10/2021-male8,08/10/2021-female6,13/10/2021-female4
,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT
0,9.0289,2.7639,6.3131,12.2846,10.3436,4.476,10.9616,10.8408,8.4085,4.4114,8.1067,8.4085,3.6612,2.2941,13.0488,12.44,26.9616,32.6527,4.64
0,8.4746,2.523,6.3416,12.721,10.5989,4.4084,10.7893,10.8808,8.2379,4.4491,7.8328,8.2379,3.7804,2.8454,15.7773,12.249,24.1242,34.7466,4.148
0,8.4306,2.556,5.9574,13.5552,11.2841,3.9913,9.9706,10.5481,8.062,4.9524,7.3819,8.062,3.6915,2.4961,18.3438,12.5649,24.0207,33.3473,4.9456
0,8.0155,2.7048,6.4914,12.963,10.8855,4.4705,11.4771,10.7688,7.7498,5.1779,7.0985,7.7498,3.9426,2.4123,18.0639,11.4066,22.0052,33.5901,5.1704
0,7.6436,3.0976,8.1998,13.1244,11.004,4.0281,12.1801,10.3183,7.4783,5.1374,7.5024,7.4783,3.8355,3.0002,21.2673,10.72,21.3139,31.2008,3.7576
0,7.1663,3.2793,8.8016,12.3337,10.9074,4.0252,11.9636,10.5816,7.0976,5.1185,8.2505,7.0976,3.6768,2.4997,21.0048,9.8133,20.7537,32.342,5.1064
0,7.2437,3.9629,8.3676,12.1197,10.7877,4.3564,11.7872,10.3807,7.0576,4.8473,8.9582,7.0576,3.721,5.0789,21.3295,8.8263,21.2152,28.6061,5.7328
0,7.1253,3.5336,8.4657,12.0712,11.1946,3.9735,11.3698,10.4111,7.012,4.8546,9.2336,7.012,3.8945,6.8159,20.6386,8.5392,20.5527,25.1939,4.7128
0,6.4921,3.9961,8.2813,11.2092,12.0653,4.2414,11.9203,10.5397,6.7803,5.0435,8.8415,6.7803,3.78,8.1286,20.6235,8.6881,19.1896,20.7962,5.772
0,7.2503,4.596,7.8588,10.5336,11.9735,3.7821,12.5239,10.869,6.6765,4.954,8.2907,6.6765,3.6977,7.936,22.5977,7.5573,18.0402,18.6954,4.384
0,7.7014,4.9335,8.6261,10.0352,11.9723,3.9444,13.2907,11.9319,6.6023,4.8663,8.5259,6.6023,4.0512,7.7536,24.6395,7.2606,18.1005,19.7618,4.2736
0,7.13,5.0123,7.7457,10.268,13.3273,4.3135,14.8475,13.5303,6.8995,5.5531,8.6996,6.8995,3.91,7.1393,25.6151,7.1243,18.7689,21.2947,3.7552
0,7.6071,4.881,7.4675,10.154,13.7528,4.2411,15.1188,13.3974,6.3085,5.1935,8.2251,6.3085,3.5394,7.146,24.1988,6.6298,17.6188,20.4649,2.4584
0,7.3396,5.1196,7.7817,10.1601,14.4316,3.9972,17.0011,16.5876,6.1808,5.7681,8.0779,6.1808,3.8393,5.6184,24.5169,6.0049,17.1867,20.6237,3.4368
0,7.0667,4.9209,7.6261,10.2943,14.8374,4.186,16.436,17.295,6.419,5.5983,7.4886,6.419,4.0795,5.7109,19.7506,6.0549,16.0721,18.5649,3.6024
0,6.6429,4.7674,7.3647,10.0052,15.0497,3.9656,15.7137,17.2605,6.4217,5.6245,8.0426,6.4217,4.4195,4.9601,21.984,6.0147,17.2089,20.0115,3.124
0,6.9665,5.1935,7.4124,9.5677,13.8084,4.0585,17.1944,20.28,6.2871,5.3994,7.8618,6.2871,4.7955,5.5811,22.3118,5.9471,19.7625,19.6015,3.3504
0,6.6745,5.2566,7.6039,10.28,13.6303,3.8711,17.3865,26.1197,6.3247,5.5066,7.5791,6.3247,4.8401,5.7762,20.798,5.9746,18.2782,20.8405,2.584
0,7.2255,5.185,7.0986,10.1148,12.995,4.2021,17.0016,24.4636,6.426,5.2955,7.5671,6.426,4.5894,5.3985,18.788,5.767,19.7349,19.0405,3.784
0,7.3329,5.3456,6.7106,9.9687,14.2604,3.9672,16.6056,22.1271,6.0939,5.4999,8.0349,6.0939,4.6011,5.5685,19.0793,5.8371,17.8002,18.5824,3.7088
0,7.3686,4.8197,6.7083,9.857,13.6934,3.8261,16.9035,21.7626,6.0799,6.6428,7.4353,6.0799,4.7284,3.6446,15.9858,5.5335,16.5276,18.7771,2.8256
0,7.4632,4.767,6.2766,8.7504,13.8701,3.7554,19.5639,20.5336,6.4737,6.2008,7.5498,6.4737,4.6542,3.3378,17.5243,5.2817,17.0068,18.3863,3.8664
0,7.2898,4.5074,6.1566,9.7055,14.1409,3.546,18.9522,20.0261,6.2529,6.1238,7.7184,6.2529,4.2429,2.968,17.9807,5.2554,16.6151,19.3336,3.9248
0,6.6796,4.3381,5.9285,10.0188,12.9294,3.781,18.4285,19.795,6.3319,5.3688,7.8765,6.3319,4.0652,3.54,19.2052,5.2297,17.2961,19.6092,4.3472
0,7.4773,3.5068,5.4336,9.6241,12.5082,3.5808,18.239,20.717,6.2446,5.2319,8.4339,6.2446,4.383,4.301,19.7853,5.1317,16.2704,18.5733,5.1096
0,7.8033,3.8591,5.7974,10.0532,12.1828,3.6161,18.0643,20.283,6.5997,5.1874,7.6464,6.5997,4.475,3.5136,17.0383,5.0367,16.5819,19.4389,2.9312
0,8.4769,3.7687,5.705,9.8584,11.541,3.7963,17.6319,20.4991,6.8444,5.1413,7.4839,6.8444,4.4133,4.5189,16.9118,5.2303,16.3581,16.8092,5.6288
0,8.513,3.2121,5.8368,9.1042,11.654,3.7836,18.6936,20.0804,6.8348,5.1962,7.7217,6.8348,4.3326,4.5629,14.2429,4.7365,16.475,18.8557,4.9344
0,7.8709,3.3376,5.3434,9.8836,10.9677,3.6473,19.2195,18.3062,6.7095,5.6689,7.6709,6.7095,4.1886,4.1959,14.2948,5.2744,16.4205,18.8458,5.0536
0,8.5324,2.9308,5.737,9.506,11.8755,3.8568,19.531,18.5159,7.2388,5.7014,7.5848,7.2388,4.0551,4.6948,11.6935,4.9443,17.0384,17.4885,6.3984
0,7.6492,3.1211,5.041,9.6898,11.6735,4.1039,22.7885,19.198,6.6949,4.9261,7.9274,6.6949,4.6189,3.2721,10.8051,4.5159,16.2506,21.0664,4.124
0,8.1075,3.1142,5.049,9.9159,11.3051,3.5325,22.8122,21.46,6.6982,5.4927,6.9518,6.6982,3.9864,4.154,10.6578,4.9577,16.0696,17.2634,5.8992
0,7.8108,2.7543,5.2611,9.4244,11.1804,3.6959,24.6811,20.5202,6.8994,5.2827,7.1638,6.8994,3.844,4.3685,9.1515,4.8745,17.035,19.2267,6.9832
0,7.9019,3.085,5.4678,9.2874,10.8247,3.4574,24.1727,21.3693,6.4158,6.0926,7.4198,6.4158,3.9853,3.7118,9.2855,4.5095,16.2635,18.8855,5.588
0,8.1212,2.8054,4.8806,9.5284,10.8899,3.7692,23.292,22.0564,6.3497,5.8842,7.5444,6.3497,4.1079,4.0334,8.2618,4.9975,17.9748,17.7893,6.2936
0,9.1444,2.8101,4.8316,10.2097,10.4888,3.5616,21.8973,24.5708,6.1489,5.5798,7.6182,6.1489,4.4187,3.2858,8.6554,4.5357,17.4728,18.2641,4.9696
0,8.6974,3.0317,4.8943,9.5698,10.4909,3.8106,20.3086,24.7496,5.9995,5.8062,7.6753,5.9995,4.0869,3.5177,8.0134,4.5212,16.9318,17.1107,6.788
0,8.2704,3.0636,5.0229,9.6523,10.1625,3.7031,18.7019,23.9363,5.7791,5.2706,7.9848,5.7791,3.9635,4.7164,8.9171,4.6146,15.9111,17.3534,7.3368
0,7.478,2.5485,4.9998,9.4794,10.699,3.5544,17.8143,21.456,5.8939,6.0811,7.5498,5.8939,4.057,2.9812,7.277,4.5551,15.4527,17.1313,5.4104
0,7.1782,2.7535,5.0714,9.8848,10.5222,3.7361,17.0686,19.7402,6.5919,6.5358,7.8717,6.5919,3.6267,2.9324,7.4173,4.7385,16.2636,16.7779,7.064
0,6.6359,2.6934,5.0186,9.9405,10.4052,3.4091,16.0944,16.8896,6.089,5.9693,7.3931,6.089,4.1455,3.8292,7.2483,4.2639,15.3461,16.9496,5.1632
0,6.191,2.9124,4.6114,9.7753,10.4288,3.459,16.8408,16.9048,6.1178,6.4216,7.3172,6.1178,3.9957,3.498,6.7496,4.5643,16.0884,17.7504,6.6264
0,5.7541,2.7751,4.7588,9.9953,10.1198,3.5155,16.1004,15.3341,5.8616,5.0289,8.2405,5.8616,4.2433,3.4006,7.0238,4.2477,15.5831,22.9817,7.4704
0,5.5068,2.6574,4.6419,9.9211,10.6147,3.249,16.9274,14.2532,5.979,5.0105,7.9375,5.979,4.6577,4.707,6.1602,4.4205,16.0174,21.8305,6.6096
0,5.2463,2.8572,4.6571,10.2216,10.6499,3.0381,16.6066,13.6065,6.2798,4.8291,7.7282,6.2798,4.7971,4.2534,7.5428,4.3248,16.4683,21.7305,7.5064
0,5.0822,3.1202,4.1164,10.0805,10.463,2.957,16.7168,12.5546,6.5287,4.7725,8.2493,6.5287,4.9499,3.5499,5.9084,4.311,14.422,21.0145,4.1256
0,5.2186,2.8969,4.2961,10.3427,10.6543,3.6144,16.1631,12.2954,5.915,4.9395,7.8424,5.915,4.5693,4.3719,7.4843,4.0233,16.6711,19.3931,7.5744
0,4.949,2.4775,4.489,10.1868,10.9421,3.1282,15.9039,12.2675,6.3179,5.6682,8.0924,6.3179,5.0861,3.4701,5.903,3.6955,15.8614,18.7878,7.86
0,5.2773,2.744,5.0959,10.0376,11.1133,3.462,15.7723,13.2462,6.3389,5.274,7.6454,6.3389,5.2809,3.3286,5.2982,3.913,16.0544,16.8008,6.308
0,4.8985,3.1863,5.8303,9.907,10.9139,3.3714,14.3829,13.5005,6.6002,5.6971,7.5891,6.6002,5.09,3.4477,6.0508,3.7859,15.5448,17.313,7.8008
0,4.8479,2.6445,8.0887,9.8693,10.8026,3.1413,15.4991,13.2839,6.8821,5.0341,7.8369,6.8821,5.7668,3.806,5.2892,3.9097,13.4984,17.4618,4.1952
0,4.9994,2.9201,7.9915,10.2632,10.1828,3.4615,17.3818,13.4262,6.8317,5.476,7.3147,6.8317,6.4249,3.8826,7.3764,4.0643,13.8809,18.642,7.0456
0,4.9113,2.6905,7.3472,10.1283,10.7715,3.3837,17.4375,12.5762,7.3759,5.0793,7.0686,7.3759,6.917,3.1461,5.3286,4.0834,12.6781,18.174,7.4912
0,4.7772,2.5665,6.7478,9.7833,10.7909,3.6067,16.3247,12.1022,6.5523,5.465,7.4108,6.5523,6.527,3.224,5.4982,4.1326,12.5189,16.2344,6.732
0,5.0797,2.3627,5.9991,10.299,11.1034,3.2933,15.0149,11.3487,6.8706,6.6505,7.5805,6.8706,6.4785,3.3523,5.1924,4.8529,12.2782,17.3176,7.8896
0,4.5906,2.701,5.7041,9.8529,10.9636,3.4989,15.0443,11.1557,6.4702,6.6318,7.3929,6.4702,6.0547,3.0765,6.0368,6.0936,13.2024,15.9076,4.7792
0,4.5896,2.6201,5.3803,9.9564,10.2915,3.3126,16.0156,10.6844,6.5374,5.696,7.3498,6.5374,6.402,2.6685,7.5561,7.5565,13.715,17.2542,6.664
0,4.6866,3.0141,5.0564,10.0309,10.9888,3.3662,15.7326,11.0386,6.4324,5.6022,7.821,6.4324,6.4963,2.8368,6.2338,7.6384,12.3676,16.4977,6.3832
0,4.5436,2.4784,5.2215,10.0975,10.4594,3.274,14.852,10.6774,6.2502,5.0984,7.4911,6.2502,7.7284,3.0785,9.1039,6.892,12.713,16.8443,6.3528
0,4.6072,2.7407,4.7958,10.2656,10.4774,3.1551,14.0109,10.158,6.6644,5.5452,7.6148,6.6644,8.3093,2.3185,10.9748,6.4547,12.4707,16.6687,7.4472
0,4.6013,3.0141,5.0296,9.9273,10.6406,3.4679,14.8189,10.9622,6.3072,5.0339,7.6608,6.3072,7.917,2.5186,13.7549,5.8219,12.4159,16.4008,4.496
