odour stim,26/05/2021 Female 3,01/06/2021 Male 4,02/06/2021 Male 2,02/06/2021 Male 3,04/06/2021 Male 4,04/06/2021 Male 7,08/06/2021 Male 5,08/06/2021 Male 11,09/06/2021 Female 10,10/06/2021 Male 2,29/09/2021 Male 4,29/09/2021 Male 5,29/09/2021 female 10,30/09/2021 Male 1,30/09/2021 female 2,30/09/2021 female 3,19/10/2021 male4,19/10/2021 female7,27/10/2021 female 4,,
,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,,
0,5.0789,1.3402,3.7526,6.6138,5.4783,11.9008,5.462,20.8745,4.5831,9.7273,11.0652,8.4442,4.4494,9.9367,9.6404,7.5143,6.7091,10.6103,12.4912,,
0,4.9268,1.4718,3.9829,6.0928,5.1939,11.2464,5.2788,20.4854,4.606,9.9331,10.8857,9.0757,4.3991,8.5021,9.2815,7.0229,6.5933,9.433,15.6636,,
0,5.1096,1.1327,3.6228,6.3514,5.2252,10.7524,5.169,19.4661,4.7687,9.8222,10.6298,7.6128,4.6116,10.0904,9.6432,7.2929,6.7143,9.4852,15.9602,,
0,5.3593,1.4712,3.6021,6.243,5.4341,10.118,4.7207,19.1489,4.5649,9.8492,10.6932,8.8577,4.6545,9.6837,9.9067,6.7378,6.2329,8.6357,11.4887,,
0,5.1665,1.4923,3.6041,6.0483,5.2335,9.8438,5.2645,17.8823,4.4002,10.04,10.479,8.4233,4.4758,7.428,8.3011,7.6992,6.5714,9.1698,17.3994,,
0,5.2184,1.483,3.6347,5.6668,5.2069,9.5385,5.1479,18.1819,4.3654,9.9547,10.4126,7.8241,4.6881,8.8537,9.0403,7.5543,6.3018,9.0928,17.0116,,
0,5.0776,1.4177,4.1946,6.9116,4.9775,8.9194,5.2498,19.5671,4.5703,10.017,10.8368,8.5391,5.3535,8.1664,8.9832,8.1302,6.5103,8.7533,12.4715,,
0,5.1319,1.1919,3.6054,6.2385,5.1253,9.0397,5.7481,20.0473,4.6079,9.773,10.4716,7.9969,5.0038,6.2229,9.1111,8.3052,5.74,8.5656,18.4912,,
0,5.3186,1.415,4.6252,5.8251,5.0168,8.9075,5.8924,19.4073,4.7083,10.0715,10.5527,8.855,5.227,9.7635,10.2295,8.452,6.6551,7.8199,18.0061,,
0,5.2555,1.6064,4.8962,5.8906,4.8603,8.6688,5.289,19.3627,4.4487,9.9812,10.8363,8.2361,5.4055,8.9451,9.41,8.9323,6.9801,8.2763,10.6878,,
0,4.9917,1.6816,6.4196,6.1059,5.118,8.7175,5.526,19.5374,4.1817,9.807,11.2243,7.6458,4.6349,7.6813,10.1269,8.7504,6.8642,8.0021,13.1094,,
0,5.1975,1.3554,7.0074,5.9324,5.3526,9.3336,5.5619,19.4686,4.1798,10.0305,11.3405,8.5003,5.4732,8.5622,8.9724,9.198,6.6306,8.178,14.3641,,
0,5.6608,1.4798,6.6011,6.4161,5.1085,8.8921,5.3518,18.1914,4.2662,10.0907,11.1361,8.6462,6.2432,6.4684,9.9623,7.5033,6.8069,7.8488,9.7685,,
0,5.3636,1.3636,6.0082,6.2956,5.1658,8.3737,5.3814,17.6313,4.5351,10.2709,11.594,7.7335,5.3911,7.5053,10.0149,8.9391,6.6506,7.7979,14.35,,
0,5.4745,1.6796,6.6448,6.5758,4.7501,8.5053,5.4745,21.0832,4.3685,10.9384,11.4406,8.7533,5.9609,7.5599,9.738,8.4356,6.5386,7.699,11.7176,,
0,5.3821,1.7486,6.7207,6.3314,4.7966,9.0422,5.3872,24.6973,4.5238,10.4798,11.6034,8.5721,6.6051,5.6989,10.1705,8.6701,6.9974,6.9718,14.1326,,
0,5.3617,1.4857,6.1505,5.7832,5.1105,8.6257,5.2855,29.4714,4.4568,10.7312,11.81,8.1612,5.2647,6.9053,8.0807,8.8636,6.8578,7.0914,10.9677,,
0,5.465,1.4351,5.9196,6.2687,5.0814,8.591,5.7017,28.9243,4.8284,11.0336,13.7279,7.8713,5.7757,7.0903,10.0262,9.2309,7.3842,7.6076,15.1367,,
0,5.4624,1.6453,6.3164,6.4777,5.0012,8.0893,5.359,27.4801,5.174,11.7712,14.3698,8.232,7.0298,5.8145,8.6195,8.8211,7.2239,7.1938,15.7322,,
0,5.4118,1.6338,6.6329,6.7954,5.0735,8.4092,5.7916,25.9205,4.5862,11.1112,14.2623,8.3043,7.9588,6.5587,9.3033,8.6854,6.7889,6.9869,15.8608,,
0,5.7343,1.5999,5.9278,6.766,5.243,8.2022,5.6047,26.0563,4.1437,10.9193,13.467,8.6558,8.0572,6.3238,9.2187,8.7795,6.3539,7.6151,10.1957,,
0,5.2716,1.5249,5.6593,7.256,4.5455,8.8937,5.7298,26.1199,4.4134,10.4982,12.6494,8.3371,7.7026,5.7812,9.6339,8.654,6.5566,7.7443,14.0116,,
0,5.4997,1.5942,5.228,7.3165,5.0606,8.364,5.4598,26.3419,4.5668,10.6533,13.2991,8.9411,7.4119,6.1761,10.3811,8.6856,6.9601,8.1024,17.1669,,
0,5.4198,1.4278,5.118,7.2318,5.0036,8.4615,5.5668,25.0686,4.1627,10.7001,12.4132,8.8617,7.3144,4.9498,9.0954,8.6595,6.7239,9.1464,18.3757,,
0,5.0211,1.364,5.3447,6.7018,5.1541,8.611,5.3575,23.9443,4.4169,11.0181,12.8721,8.3769,7.1448,4.814,9.4607,9.3254,6.9196,8.5704,17.8502,,
0,5.3092,1.4233,5.1517,6.8651,4.9878,8.6814,5.364,23.1114,4.0601,10.5754,11.9272,9.1437,8.1166,5.2687,7.4382,9.1633,7.0965,9.0289,14.178,,
0,5.5966,1.4631,4.4056,6.8056,5.259,8.5247,4.8061,22.2857,4.9899,10.579,12.2026,9.1509,8.9615,4.3699,8.9891,9.4821,7.2709,8.2488,16.9738,,
0,5.424,1.5811,4.4547,6.5181,5.1992,8.5728,5.226,28.6542,4.5165,11.8141,11.6376,9.3529,10.3147,5.1961,8.3734,9.1417,6.7239,7.8076,18.2451,,
0,5.436,1.5723,4.3234,6.8919,4.924,8.8974,5.5362,36.6691,4.8466,11.3927,12.1757,8.9748,9.6167,5.6682,8.6662,9.5093,7.0714,8.2206,16.0368,,
0,5.872,1.5654,4.475,5.8469,5.3041,9.4124,5.7829,35.5874,4.3867,11.2946,11.1647,9.409,9.7156,5.7823,8.4923,10.8919,6.9054,8.0007,17.3696,,
0,5.3795,1.5776,4.3147,6.2246,6.5848,10.3138,5.0569,32.6589,4.3712,11.0513,10.8598,9.207,9.7001,6.2339,7.4459,15.9231,7.0264,8.1162,18.3853,,
0,5.6577,1.5625,4.1195,5.3396,6.0206,12.8334,5.414,32.1617,4.63,11.2744,10.8544,9.1592,8.9622,5.5646,8.2468,23.0068,6.8983,8.0935,16.6485,,
0,5.9727,1.5755,4.3186,6.4125,5.9305,13.593,4.9984,33.2415,4.876,10.9341,10.4908,8.9131,9.0836,5.8863,8.4857,24.6306,6.9485,8.5546,17.9097,,
0,5.8149,1.6369,4.5543,5.9231,5.8073,16.6462,5.0507,30.5306,4.9438,10.5358,11.1618,9.7981,8.7054,5.9429,8.3459,25.7483,7.0772,8.211,17.5416,,
0,6.3153,1.4334,4.0663,6.4179,5.8069,18.4991,5.1596,29.5991,4.7272,10.9345,11.2608,9.9278,8.5549,5.35,8.0916,23.4395,7.0026,8.4804,17.4418,,
0,6.3737,1.1427,4.2316,6.3902,5.737,19.3481,5.3078,27.7334,4.8028,11.0457,11.8265,9.8217,7.9438,6.4593,6.7084,21.2298,6.7349,8.1595,17.9163,,
0,5.9245,1.4184,4.0758,5.4337,5.463,20.3423,5.5246,27.0428,4.8136,10.9111,11.9891,10.8414,6.7259,5.5169,8.3461,17.1155,6.6094,7.8859,15.9909,,
0,6.4176,1.2339,4.5824,5.6121,5.7985,18.7612,5.7913,25.9645,4.9082,11.0984,11.7443,9.7358,6.1163,6.2205,8.0261,17.7551,6.8533,7.8206,16.0045,,
0,6.4382,1.373,4.5688,6.0643,5.3731,19.4396,5.7192,24.1036,5.1356,10.9345,12.1042,10.0476,5.7293,6.1578,7.9632,16.4822,7.0283,8.068,17.3928,,
0,6.9606,1.5064,4.137,5.3823,5.5828,17.5007,7.0447,20.5125,4.7993,11.0793,12.0318,9.3511,5.0216,5.8662,8.2923,21.7857,6.6358,7.5251,16.0136,,
0,6.6501,1.5033,4.27,6.3711,5.2104,18.3637,7.7016,20.6961,5.0736,11.1126,11.4499,9.7996,6.3345,6.3786,6.3255,25.5307,6.796,7.4763,13.178,,
0,6.2482,1.5336,4.0822,6.276,5.3549,17.6596,7.7265,21.1649,4.7621,10.5457,11.6615,9.7392,5.3161,5.4588,8.2829,25.4678,6.9871,7.5416,15.4685,,
0,6.7875,1.5437,4.0704,6.1991,5.3622,16.4568,7.7667,24.8967,5.2022,10.8031,11.4767,8.8446,6.6766,6.1876,8.008,24.4753,6.3378,8.0722,15.649,,
0,6.8506,1.2323,3.9238,5.8098,5.4485,15.7604,9.5128,24.7223,5.0477,11.4568,11.8013,10.1355,6.702,6.5299,6.8191,23.7909,6.619,7.6584,13.7368,,
0,6.8507,1.5499,4.0384,6.086,5.3125,16.6372,10.7421,25.1959,4.8485,11.5457,11.3861,9.5752,6.2687,6.4385,8.2745,24.345,6.769,8.0667,14.0091,,
0,6.7232,1.4903,4.1464,6.796,5.3485,17.3007,12.1477,22.8962,4.6362,10.9695,11.3797,9.2882,6.8444,6.9984,7.8896,25.5123,6.6377,7.91,13.7242,,
0,6.5791,1.5024,4.0283,6.3892,5.1657,19.3713,12.2326,21.5775,4.5254,10.9331,11.3171,9.3433,6.8422,5.8807,7.5991,24.9562,6.5309,8.1271,15.939,,
0,6.6734,1.4333,3.7649,6.6383,5.4817,22.6544,11.084,20.3752,4.7431,10.7093,11.3374,9.51,7.1107,6.2716,7.3597,22.7843,6.4363,8.2241,14.8598,,
0,6.6671,1.2674,4.0281,6.4498,5.2965,23.3998,9.6832,20.1363,4.4866,10.7227,10.9088,9.2708,7.2324,5.7269,6.5019,23.4124,6.4505,8.5533,14.2466,,
0,6.9311,1.148,3.8046,6.1054,5.3873,22.8021,9.7901,20.5138,4.8969,10.881,11.1424,8.0664,7.2423,6.0068,6.815,20.1007,6.0952,9.1918,15.4644,,
0,6.5839,1.3971,4.0947,6.6969,5.1568,21.7152,10.5781,19.8125,4.9465,10.812,11.2935,9.42,7.4528,6.1143,5.6838,23.5836,6.6133,9.9931,12.999,,
0,6.7671,1.5085,4.3146,6.5537,5.2628,19.5636,11.5975,20.0876,4.8365,10.7298,11.0762,8.8756,7.358,4.6513,4.3413,21.3297,6.1937,10.9368,13.3394,,
0,6.1928,1.281,4.0116,5.8672,5.1562,17.9523,11.5125,19.6132,4.8353,10.8842,11.1215,10.0859,6.4389,5.5858,5.8259,24.2764,6.6802,11.279,14.0358,,
0,6.3791,1.4519,4.0159,5.6433,5.2166,16.2383,10.9628,18.6204,4.7137,11.5234,11.732,10.3261,6.3657,5.4468,6.1143,23.9946,6.4228,11.0694,13.8674,,
0,6.1419,1.669,4.0982,5.8439,5.138,16.0176,11.7276,18.72,4.7699,11.2975,11.8794,10.5595,6.4277,5.1762,6.8791,24.6638,7.0109,11.0027,12.9642,,
