odour stim,29/04/2021 Female9,30/04/2021 Male1,30/04/2021 Male3,30/04/2021 Male5,30/04/2021 Male8,30/04/2021 Female9,30/04/2021 Male11,03/05/2021 Female1,03/05/2021 Male3,03/05/2021 Female4,03/05/2021 Male7,03/05/2021 Female9,05/05/2021 Female1,05/05/2021 Male4,05/05/2021 Female5,05/05/2021 Female6,07/05/2021 Female1,07/05/2021 Male5,19/07/2021 Male1,20/07/2021 Male1,22/07/2021 Male1
,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT
0,6.4084,1.306,8.0211,5.6339,5.7949,4.0845,2.3279,5.7956,3.5732,3.6437,5.9923,4.3953,3.3632,3.1259,2.0215,3.0466,3.7544,2.6882,7.4388,2.8912,8.3034
0,6.6054,1.2224,7.5543,5.5169,5.805,3.8629,2.0546,5.7277,3.5708,3.618,6.2946,4.4367,3.0517,2.9805,1.7714,2.8865,3.8553,2.5261,7.0775,2.6141,7.741
0,6.1834,1.3922,7.4983,5.7018,5.4588,3.8213,2.2062,5.7068,3.466,3.3707,6.038,4.3418,2.9973,3.1083,1.8108,2.8118,3.8427,2.5607,7.2779,2.5391,7.5683
0,6.2573,1.675,7.431,6.1404,5.2686,3.7366,2.1949,5.5753,3.4198,3.5141,5.7223,4.3828,2.9046,3.0372,1.7544,2.776,3.7141,2.5592,7.2698,2.5446,7.8968
0,6.3834,1.7678,7.4896,6.088,5.2543,4.0443,2.1495,5.8097,3.6833,3.4809,5.7745,4.776,2.747,3.1257,1.9915,2.8962,3.8875,2.7286,7.617,2.5749,7.6778
0,6.5749,1.938,7.5409,6.4632,4.788,3.7615,2.2658,5.6105,3.666,3.5269,5.5267,5.0302,2.7218,3.1445,1.8707,2.8263,3.963,2.6581,7.5122,2.6675,8.0353
0,6.4547,2.2398,7.4159,6.0264,4.8229,3.8403,2.3625,5.5585,3.347,3.3376,5.6003,5.0914,2.7558,3.196,2.0201,3.0397,3.9824,2.5608,7.3483,2.5676,8.3977
0,6.7632,2.4414,7.9266,6.1887,4.3549,3.8588,2.4798,5.6397,3.5578,3.4976,5.4097,5.4269,2.443,3.3665,2.0518,2.8721,4.0421,2.626,7.3711,2.4601,8.1333
0,6.6573,2.4361,7.8245,6.4083,3.9549,4.0341,2.3348,5.6363,3.6895,3.623,5.3189,5.4002,2.6997,3.2566,2.2221,3.0516,4.3763,2.7931,7.6295,2.4585,8.2903
0,6.3701,2.3078,7.8548,5.9741,4.1211,3.8347,2.2345,5.4026,3.6732,3.7416,5.2237,5.8791,2.67,3.3483,2.1762,3.2733,4.2186,2.7956,7.4506,2.6368,8.3706
0,6.5499,2.3442,8.0626,6.9527,3.7749,3.9308,2.2005,5.5859,3.7317,3.6172,5.1447,5.9969,2.5799,3.5586,2.2722,3.3254,4.0493,2.7081,7.5149,2.5483,8.282
0,6.3358,2.4481,7.7192,6.2185,3.9618,3.8825,2.422,5.3391,3.5559,3.4744,4.8496,6.0136,2.7572,3.5167,2.2881,3.3272,4.2142,2.5659,7.5883,2.596,8.5629
0,6.1681,2.4595,7.6624,6.4366,3.6033,3.9324,2.3525,5.4787,3.7488,3.5411,4.9901,5.6911,2.7746,3.5759,2.2118,3.1228,4.2261,2.5764,7.7248,2.5051,8.4418
0,6.6806,2.4075,7.3709,7.0409,3.5567,4.1894,2.3696,5.5039,3.7409,3.4626,5.3097,6.1895,2.5216,3.6216,2.3513,3.2691,3.8867,2.4711,7.7731,2.4699,8.9277
0,6.088,2.5109,7.3375,6.8073,3.3387,4.1783,2.187,5.349,3.7614,3.5157,4.9187,6.0286,2.3674,3.6247,2.337,3.2059,4.3169,2.4058,7.9974,2.4864,8.8361
0,5.832,2.429,7.5731,6.4167,3.3558,4.0935,2.1316,5.2984,3.644,3.6519,5.1147,6.0206,2.5542,3.6026,2.4642,3.2394,3.9395,2.6927,8.2599,2.3379,9.1128
0,6.5546,2.3351,7.676,6.7678,3.6247,4.151,2.1382,5.4192,3.5254,3.4077,4.8353,6.2199,2.2513,3.7489,2.4503,3.1528,4.1714,2.1909,8.6021,2.3202,9.147
0,6.0356,2.5252,7.3852,7.0647,3.4183,3.983,1.7975,5.4771,3.7123,3.653,4.788,6.0767,2.2621,3.5749,2.4685,3.1356,3.8271,2.2124,8.5592,2.306,9.4731
0,5.9686,2.5757,7.3939,6.4048,3.2188,3.7161,1.5043,5.5108,3.5288,3.5538,4.8642,6.0752,2.4141,3.4483,2.3585,3.1512,3.5963,2.2273,8.4434,2.3542,9.4305
0,6.4649,2.5043,7.4052,7.0541,3.0865,3.9015,1.4358,5.2579,3.5086,3.4934,4.7697,5.996,2.4499,3.4489,2.3336,3.0912,3.5428,2.4044,8.0789,2.3036,9.2374
0,6.1742,2.4451,7.6333,6.6837,3.0719,3.798,1.4091,5.3338,3.3956,3.4783,4.7364,6.0287,2.1807,3.4093,2.3675,3.3258,3.8342,2.4036,8.3856,2.3325,9.0868
0,6.051,2.477,7.2181,6.5123,2.9058,3.9016,1.3595,5.3745,3.7874,3.715,4.9409,6.0848,2.3526,3.5466,2.2636,3.2047,3.7276,2.7868,8.2972,2.2272,8.614
0,6.149,2.5377,7.5383,6.5757,2.9685,3.6635,1.4616,5.2013,3.629,3.5791,4.8941,5.6012,2.3074,3.6053,2.1964,3.1598,3.9841,2.8049,8.2221,2.2484,8.1548
0,5.9285,2.5418,7.5574,6.8686,3.0082,3.6789,1.6955,5.2326,3.6222,3.5168,4.8587,5.6082,2.1386,3.6173,2.282,3.5155,4.5594,2.7434,8.2866,2.0801,8.164
0,5.7791,2.4399,7.8885,6.7042,3.0374,3.5711,1.4759,5.4522,3.661,3.5034,5.3527,5.6812,2.227,3.6866,2.2647,3.4191,4.9702,2.5598,8.455,2.1333,8.0357
0,6.0881,2.4696,7.8168,6.7708,2.8497,3.6896,1.5899,5.2615,3.5747,3.4251,5.1594,6.0927,1.9584,3.4132,2.1995,3.2991,4.623,2.5673,8.1434,2.0962,8.1757
0,6.0465,2.5288,7.9941,6.817,2.7562,3.6379,1.8305,5.2845,3.5916,3.3592,5.1109,5.8286,1.9982,3.8085,2.0655,3.1847,4.7943,2.4551,8.362,2.1968,8.2304
