odour stim,29/04/2021 Male6,29/04/2021 Female10,30/04/2021 Male2,30/04/2021 Female4,30/04/2021 Male6,30/04/2021 Female7,30/04/2021 Male10,30/04/2021 Female12,03/05/2021 Female5,03/05/2021 Female6,03/05/2021 Female8,03/05/2021 Male10,05/05/2021 Male2,05/05/2021 Female3,07/05/2021 Male2,07/05/2021 Female3,07/05/2021 Female4,07/05/2021 Male6,07/05/2021 Female8,19/07/2021  Male2,22/07/2021  Male4
,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT
0,7.0101,6.052,4.9805,5.0646,3.5157,6.3608,3.7742,2.6683,3.4679,3.0518,7.9234,5.3087,3.7156,2.4854,3.5249,2.8254,3.659,3.5398,2.5047,2.7539,13.8192
0,6.7038,5.9921,4.8849,5.0168,3.2557,6.3976,3.3942,2.4416,3.148,2.3993,7.4702,5.7408,3.8816,2.3037,2.3057,2.7681,3.5123,3.5714,2.3848,3.015,13.0944
0,6.4873,5.7379,4.7683,5.1616,3.5812,6.5157,2.9288,2.2255,3.0761,2.8684,7.4499,5.8708,3.7544,2.3358,1.8109,2.9131,3.2183,3.4102,2.5125,3.2082,12.4171
0,6.4545,5.6865,4.9464,4.6941,3.8541,6.5734,2.9471,2.6205,3.2742,3.1251,7.5894,5.8719,3.9548,2.4228,2.3854,2.9098,3.0659,3.3631,2.3723,3.4641,12.5796
0,6.19,5.7806,5.1083,4.6465,3.5772,6.4504,2.6566,2.4438,3.1485,3.266,7.5623,6.1387,4.2524,2.3551,3.033,2.7991,3.0695,3.3011,2.3563,3.3176,12.6185
0,5.7914,5.5695,5.285,4.5585,3.6424,6.8163,2.7019,2.3568,3.2374,3.3246,7.57,6.5105,4.1139,2.2149,2.2571,2.9805,2.9096,3.2961,2.1902,3.2868,12.8014
0,5.8505,5.5089,5.5984,4.4175,3.6169,6.8364,2.5603,2.4367,3.2729,3.5043,7.8088,6.3493,4.244,2.3185,3.2272,2.85,3.1171,3.2623,2.1887,3.6152,12.2563
0,5.8444,5.233,5.1527,4.4031,3.7904,7.0142,2.5774,2.4981,3.4963,3.4109,7.9349,6.2464,4.4025,2.2337,3.6062,3.0606,3.2088,3.3181,2.1825,3.425,12.3069
0,5.8208,5.3132,4.7033,4.6434,3.6479,7.0961,2.5848,2.4076,3.5902,3.9937,7.6215,6.5595,4.5294,2.449,3.2717,2.9964,3.3659,3.1754,2.1541,3.5806,12.3189
0,5.5294,5.4135,4.7594,4.4021,3.5756,7.3119,2.5216,2.3855,3.4639,3.9256,7.5014,6.6425,4.3761,2.349,4.0471,2.9595,3.22,3.4826,2.0796,3.4686,12.1125
0,5.8072,5.2544,4.8816,4.5432,3.6049,7.0505,2.4782,2.5199,3.4609,3.9486,7.2681,6.7202,4.3636,2.1901,3.7813,2.8909,3.0751,3.4119,1.9391,3.7094,11.6468
0,5.5304,5.5741,4.7566,4.3253,3.4527,6.9963,2.4108,2.7262,3.5524,4.0173,7.3111,6.248,4.5148,2.07,3.7311,2.8554,3.2728,3.4861,1.8909,3.677,11.8429
0,5.3015,5.5167,4.8052,4.1364,3.467,6.9021,2.305,3.4361,3.3104,4.3353,7.159,6.4627,4.8003,2.1825,3.2029,2.6026,3.1939,3.5316,1.844,3.808,11.7657
0,5.3032,5.6445,5.2497,4.2441,3.577,6.7602,2.0326,4.523,3.4905,4.377,7.1075,6.3467,4.6269,2.3656,1.9819,2.7937,3.0205,3.5215,1.859,3.8147,11.8226
0,5.2566,5.6575,5.1063,3.7892,3.3167,6.6658,2.2338,4.0318,3.3419,4.4206,6.8743,6.2423,4.4602,2.4416,1.6949,2.4884,3.0215,3.5348,1.7366,3.9513,11.9971
0,5.0955,5.6779,5.319,4.0783,3.3603,6.4853,2.257,3.9969,3.0853,4.6396,6.6931,6.0022,4.3472,2.5208,2.0825,2.6387,2.8367,3.2377,1.6635,3.6922,12.2038
0,5.0933,5.7947,5.2722,3.9469,3.5852,6.5474,2.4335,4.5077,3.2978,4.8116,6.5407,5.8079,4.3773,2.5099,3.325,2.5808,2.7277,3.4229,1.7126,3.5379,11.9629
0,4.7815,5.7406,5.0401,3.9147,3.3627,6.4762,2.3215,4.2271,3.1808,4.1999,6.6056,5.7621,4.0653,2.5424,1.0158,2.4574,2.7683,3.4975,1.6256,3.3006,12.2755
0,4.8,5.5951,5.057,3.8242,3.2396,6.1606,2.4312,4.1517,3.4288,4.657,6.5754,5.9102,4.1376,2.5882,1.0586,3.3217,2.7108,3.3832,1.6004,3.4029,11.2789
0,4.8115,5.6827,4.9642,3.7556,3.3126,6.4167,2.7153,4.7126,3.3191,4.5027,6.1163,5.7387,4.1885,2.5083,3.1703,2.3477,2.5319,3.333,1.6671,3.3247,11.3961
0,4.9646,5.8416,4.7309,3.834,3.5611,6.4183,2.5113,4.261,3.3219,4.9306,6.3968,5.4091,3.9296,2.622,2.9927,2.1557,2.7628,3.3124,1.6497,3.3803,11.5283
0,4.8236,5.401,4.8126,3.6213,3.4609,6.2445,2.4478,4.2079,3.3654,4.8585,6.1643,5.6364,3.8466,2.57,2.696,2.1562,2.7048,3.1734,1.7534,3.0774,11.7749
0,4.7634,5.5993,5.0471,3.6235,3.4012,6.0052,2.6148,4.6255,3.2731,5.17,5.9744,5.388,3.8848,2.581,2.726,2.9481,2.5366,3.0681,1.9404,2.9964,11.8235
0,4.9449,5.2533,5.3464,3.1523,3.3793,5.8358,2.271,4.338,3.3833,5.0062,5.9934,5.4097,3.7249,2.4925,2.572,3.0317,2.6398,3.1024,1.8982,2.7402,11.9177
0,4.8368,5.3925,5.5718,2.9897,3.6483,5.8181,2.2649,4.1358,3.5423,4.6903,5.97,5.6469,3.7625,2.5721,2.7404,2.931,2.6683,3.0254,2.0141,3.1034,11.629
0,4.9727,5.0627,5.7481,3.1401,3.213,5.6847,2.2544,4.385,3.5031,5.0624,6.0029,5.3726,3.8407,2.5369,2.8242,2.8946,2.5895,2.966,1.9449,3.1054,11.8307
0,5.115,4.9196,5.8827,2.9858,3.3786,5.7484,2.229,4.0903,3.5381,4.9113,5.8401,5.623,3.8753,2.4836,2.7798,2.7106,2.5189,2.9129,2.0429,2.9318,11.3117
0,4.8677,4.8497,5.9026,2.838,3.509,5.6006,2.344,3.9488,3.2947,4.7708,5.5847,5.4558,3.7544,2.6956,2.626,2.7884,2.5634,2.7551,1.8855,2.9597,11.2882
0,5.0016,4.7488,6.1495,2.7685,3.1446,5.1544,2.1095,4.158,3.4333,5.0073,5.9267,5.4189,3.7387,2.9915,2.4399,2.8289,2.2695,2.7269,2.3152,2.8931,11.3091
0,5.1122,4.8653,6.2005,2.8198,3.246,5.4014,2.1812,3.8556,3.3712,5.0637,5.5496,5.2543,3.8137,3.1168,2.8569,2.6971,2.4985,2.8795,2.3547,3.1624,11.5507
0,4.6493,4.9929,6.0193,2.729,3.0792,5.4641,2.3123,4.0655,3.7569,4.4999,5.7217,5.6538,3.685,2.6679,2.5712,2.6825,2.4581,2.6307,2.3952,3.087,11.8279
0,4.5039,4.8182,6.1667,2.7256,3.4403,5.342,2.1945,4.1107,3.3498,4.6531,5.8075,5.6069,3.4675,2.5481,2.2721,2.6046,2.4984,2.8516,2.456,3.1675,11.7653
0,4.9561,4.9531,6.4531,2.6219,3.2877,5.5604,1.9961,3.9203,3.5744,5.0032,5.7672,5.2404,3.5804,2.5276,2.4378,2.6431,2.3825,2.5943,2.3276,3.2322,11.5103
0,4.6819,5.1527,6.0921,2.6547,3.4566,5.4052,2.1476,4.2315,3.4344,3.6809,5.8921,5.6868,3.5492,2.6789,2.3739,2.6637,2.3549,2.7483,2.2959,3.0843,11.6678
0,4.8043,4.865,6.5229,2.4788,3.6846,5.4824,2.0528,4.1096,3.5172,4.2483,5.5367,5.5122,3.4728,2.5285,2.3073,2.5921,2.4259,2.5938,2.4513,3.1383,11.3872
0,5.0519,4.928,6.2307,2.6303,3.6634,5.1089,2.047,4.0681,3.2145,4.839,5.7049,5.1827,3.302,2.3913,2.3245,2.3604,2.482,2.7444,2.4868,3.3539,10.502
0,4.9154,4.6579,6.3042,2.7513,3.5959,5.0712,1.8901,4.2018,3.5734,4.5986,5.5937,5.6866,3.7315,2.5755,2.4417,2.3775,2.4581,2.5381,2.5378,3.1841,10.3355
0,4.7794,4.5596,6.3153,2.6729,3.9512,5.0178,1.8898,4.1763,3.4765,3.8521,5.7204,5.4012,3.7313,2.6312,2.4088,2.2909,2.4653,2.7543,2.6034,2.9541,10.412
0,4.9342,4.5536,6.129,2.8008,4.0859,5.1737,1.9749,4.15,3.7381,4.0163,5.7674,5.7205,3.9327,2.4797,2.4828,2.2795,2.478,2.5801,2.5194,3.1825,10.7144
