odour stim;16/11/2020 Female2;17/11/2020 Male1;17/11/2020 Male7;18/11/2020 Female1;19/11/2020 Female1;20/11/2020 Female1;20/11/2020 Female6;23/11/2020 Female1;25/11/2020 Female1;16/01/2021 Female1;16/01/2021 Female2;17/02/2021 Female1;17/02/2021 Male4
;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V;0V-90V
0;11.9511;7.0236;12.5383;11.0253;22.1144;11.4831;16.8753;10.6099;6.4993;19.0052;25.0041;13.1253;30.3756
0;11.7968;7.0555;12.6619;11.0647;23.4543;12.8247;16.425;9.4169;5.7128;19.1573;24.1474;11.9401;28.7257
0;11.0499;6.5093;11.4254;9.3935;22.4785;11.1739;16.0901;8.1585;5.0534;17.9945;23.4663;11.5075;28.8719
0;10.6618;5.7638;11.291;7.576;22.9985;9.9446;15.3079;6.9527;4.5979;18.2096;20.9301;10.6358;30.0571
0;10.2484;5.1408;11.056;6.3054;21.6528;9.957;13.7711;6.2461;3.7012;19.0213;20.0207;9.6033;27.1424
0;8.2988;4.4021;10.5112;5.2375;23.5704;10.9175;13.3619;5.6731;3.3065;17.2688;18.1909;9.2464;25.1497
0;8.7774;5.0122;11.0413;4.6648;23.047;11.2897;13.3965;5.2413;2.8459;18.148;16.8003;9.6566;24.5324
0;8.2495;4.9507;11.2882;3.9229;22.4663;10.5609;13.5257;4.7827;2.5133;16.9986;15.9034;10.79;26.0521
0;7.78;4.8544;12.4912;3.5297;22.0673;10.2207;14.2373;4.3419;2.4751;16.6985;14.361;9.2869;25.9734
0;7.6204;6.2578;11.1729;3.2463;20.6524;9.8145;14.4198;4.0825;2.2611;16.3002;14.9187;9.6331;22.8282
0;7.7592;7.9091;9.4567;3.2407;21.7717;9.397;14.3783;3.9755;1.8883;16.4706;14.4866;9.4933;19.7556
0;6.7734;10.0613;10.0492;3.039;23.1248;9.5284;14.7744;3.2907;1.8006;17.2101;13.4795;7.975;20.2067
0;6.8253;11.0486;9.0531;2.8723;23.6281;9.5696;13.1773;3.2658;1.9966;16.2398;12.9139;8.7505;21.2593
0;5.895;11.8608;9.6785;2.8429;25.0432;9.1908;12.6898;3.2964;2.094;16.7081;11.7774;8.693;22.7692
0;5.2273;11.4497;9.8808;2.6846;24.788;8.7292;12.4923;3.2178;1.8756;16.8429;10.7988;9.6845;23.3998
0;5.215;12.1291;9.8324;2.8132;24.6652;8.9576;12.1403;3.049;1.9998;16.0617;11.4023;10.2792;23.4132
0;5.2054;11.8656;8.5366;2.6938;24.7339;8.7647;10.5088;3.0735;1.8606;16.5285;12.357;10.4906;22.8036
0;5.5812;13.1242;8.4634;2.8799;25.7642;8.4751;9.8124;2.8396;2.3699;16.0722;12.3732;11.1775;23.3204
0;5.4741;13.3239;8.4818;2.7304;24.1244;8.8778;9.9173;2.8487;2.7309;15.0366;11.251;11.1591;22.497
0;5.6247;12.4287;8.6199;2.6963;22.7418;8.1641;9.4948;2.7101;2.9664;16.0832;11.3833;10.9944;22.3635
0;5.9028;13.0646;7.8893;2.721;24.2372;8.8059;8.7976;2.6435;2.8687;16.5629;11.5431;11.8151;23.2879
0;6.3759;13.7531;7.3453;2.7557;24.711;8.9541;10.5677;2.7183;2.962;17.2066;10.2587;11.9262;24.8049
0;6.3466;14.8463;7.1354;2.3223;24.7365;9.2698;10.3496;2.6858;3.3717;16.4229;10.684;12.3428;25.6039
0;5.9364;15.84;7.8984;2.1891;25.3348;7.8835;9.5735;2.6187;3.2538;15.5329;9.5954;13.7427;27.4947
0;4.8077;15.1516;8.7355;2.1069;26.1021;7.0133;10.2038;2.5315;3.5329;15.9154;8.6757;13.0276;28.2116
0;5.1127;14.3574;8.7965;1.9818;26.5993;8.6274;10.2441;2.5456;3.7414;15.1996;8.2288;12.4571;30.312
0;4.543;14.6629;5.1807;2.2485;26.0392;8.9346;8.9724;2.4992;4.0016;15.5059;7.7897;12.586;30.9271
0;3.9439;14.1287;5.5141;2.0382;23.2954;8.5996;8.9433;2.4667;3.829;16.4525;7.5608;13.0085;29.0795
0;4.6758;13.539;5.9395;1.9446;24.8447;8.7793;9.7108;2.9459;3.9368;15.1722;7.1399;14.243;24.9605
0;4.1826;12.1791;5.1811;2.0702;24.9102;9.3388;9.8378;2.9331;4.1371;14.8763;7.0878;14.3854;22.7363
0;5.408;13.2047;5.9304;2.0978;23.7735;10.4195;9.5313;2.6004;4.7947;16.2071;6.4909;14.4269;20.7811
0;5.7105;12.4905;5.4465;2.2216;23.7175;10.401;10.1129;2.5796;4.5762;15.3611;6.9027;14.9691;20.0477
0.5;5.58;12.7272;5.9545;1.8856;23.4174;11.883;10.0871;2.5361;5.6448;16.0818;6.8022;15.4807;20.2249
0.5;6.1411;13.0813;5.6544;2.1469;24.6252;11.645;10.2957;3.2815;6.1083;15.298;7.1758;14.6912;18.2056
0.5;5.9795;12.0108;5.9988;1.862;23.7991;10.3818;10.4726;3.1418;7.0197;14.2192;7.3021;14.4871;18.2016
0.5;4.9556;11.8315;6.5871;2.1776;23.4437;10.2539;9.9617;2.948;6.3787;16.0705;6.6418;14.0567;18.4018
0.5;5.0141;13.7909;7.2918;2.006;22.1791;9.6227;10.2857;3.0095;6.7941;18.2609;6.1876;14.3816;18.3691
0.5;5.3257;15.1357;7.4139;2.0429;22.0582;8.0414;10.1883;2.7109;6.4;17.4841;5.9435;14.0427;18.0129
0.5;5.7498;15.3287;7.9869;2.0148;23.0833;7.1668;10.036;2.8654;6.5896;17.6067;6.5874;14.2194;19.3446
0.5;5.8706;13.5676;5.5623;2.6151;21.2258;5.9789;9.0991;2.7012;6.8726;15.1078;6.4385;13.1775;19.6604
0.5;6.1043;12.2398;5.5545;2.2814;22.0671;5.7019;8.454;2.9862;7.2257;15.9455;6.5225;11.3051;18.5295
0.5;6.5745;11.4488;5.6314;2.0971;24.4463;5.3806;9.6768;3.2677;7.5032;16.2093;6.3538;10.3751;17.9883
0.5;6.7723;12.4657;5.8657;2.0557;26.0846;4.6525;8.9298;3.6346;7.083;15.7361;6.0252;9.8199;18.128
0.5;6.7919;11.8206;4.9737;2.0835;25.685;4.6802;9.7448;3.3267;7.8381;16.6069;5.9517;8.9911;18.3052
0.5;6.2563;12.836;6.0241;2.0243;26.7685;4.9934;9.5545;3.2067;7.8832;15.5662;6.2804;8.6299;18.2679
0.5;6.1953;14.2553;5.3555;2.2602;26.3236;4.626;9.441;3.41;8.5394;16.2079;6.5587;8.1195;19.0467
0.5;6.176;14.0534;6.0369;2.1188;25.8105;4.2032;8.9189;3.5572;9.1005;15.8938;7.179;7.3991;18.4784
0.5;6.6009;12.767;5.9794;2.2641;26.4303;4.4413;8.8545;3.2016;9.0324;15.9193;8.4203;6.4104;19.3568
0.5;6.91;11.9168;6.0523;2.1929;25.5629;4.3249;8.5845;3.7311;8.1426;15.6743;6.92;6.4332;19.3265
0.5;6.673;12.0895;6.24;2.2575;25.5871;4.8679;8.452;3.6127;8.1648;16.6625;7.2992;6.9978;20.024
0.5;6.4743;11.8371;8.3839;2.1964;25.6858;4.252;8.5166;3.1329;8.5965;15.031;7.1904;8.0337;18.2978
0.5;6.7702;11.2584;9.2834;2.5998;26.5276;4.1935;9.1928;3.5274;7.9366;16.4249;6.3841;8.0188;18.3899
0.5;6.7281;11.7546;8.4792;2.2213;26.6193;3.9609;8.9324;3.5581;7.7809;16.3658;7.3615;8.2042;18.2464
0.5;6.6871;12.7387;6.9123;2.9085;27.6736;4.1989;10.0442;3.5348;7.2146;18.2408;6.9403;8.7804;17.4305
0.5;6.665;12.6693;7.0173;2.4929;28.1909;4.1476;10.1127;3.6706;7.7962;17.3933;7.481;9.4016;17.7257
0.5;5.7119;13.3254;7.1324;2.6928;27.3888;4.0846;10.0049;3.9123;7.611;16.0488;7.1804;9.2403;18.8748
0.5;5.1937;12.8812;7.6846;2.6852;26.6767;3.887;9.6305;3.7008;8.1346;15.1746;5.8713;10.7065;18.679
0.5;4.9503;11.7976;7.7272;2.643;26.3244;3.6595;10.118;3.851;7.8473;15.6222;6.0054;11.5516;18.0534
0.5;5.044;11.7251;6.759;2.6584;27.4294;4.0494;10.277;4.4108;7.9886;16.554;6.4021;11.9636;18.1741
0.5;5.0455;11.6111;6.1816;2.7413;25.8665;4.1257;10.6195;3.7689;8.2337;16.9801;5.8023;13.3572;17.5046
0.5;4.8344;12.0134;6.5211;2.9447;26.8009;4.3941;10.4323;4.1518;7.5235;17.2692;6.1434;14.4954;18.7657
0.5;4.5641;12.3264;7.0525;2.6837;27.3949;4.3208;10.5984;3.6188;6.8956;15.6358;5.4108;14.9067;17.7998
0.5;4.7767;12.6947;6.3147;2.4381;26.2864;4.3815;10.092;3.4137;6.238;16.4698;6.1692;14.0802;18.5229
0.5;4.7611;10.1287;6.0351;2.9756;26.3964;4.3695;10.1108;4.0076;5.2836;15.636;7.3642;14.2602;20.1645
0.5;5.0273;9.3566;7.3904;3.3487;26.062;4.7622;10.2604;4.3745;5.4628;15.1942;12.0591;13.5453;19.7359
0.5;4.6461;8.6821;8.7147;3.4063;25.3673;4.5488;9.5747;3.893;5.6482;16.1077;16.3222;14.5116;17.4808
0.5;4.9072;9.3734;6.3752;3.1687;23.9954;5.1802;10.2851;3.6599;5.4236;16.6937;19.3586;15.6623;17.4313
0.5;5.1062;9.3397;5.425;3.9058;23.3134;5.0047;10.0473;4.8876;5.3179;16.4385;21.3794;14.7224;17.2775
0.5;4.74;8.5647;5.5232;4.2013;24.0844;5.009;9.9636;4.6638;4.5789;16.0746;23.303;13.5466;16.9656
0.5;4.7462;9.0764;6.1441;3.85;23.4754;5.3924;10.4581;4.0926;3.9491;17.1178;20.141;14.2527;16.7645
0.5;4.1814;9.5477;6.0498;3.2739;23.1371;4.9052;10.7934;4.9939;4.0788;17.808;18.4493;15.448;15.2717
0.5;3.8319;9.9721;5.6284;3.5882;23.9086;5.1585;9.8294;5.382;3.9326;16.3915;17.2348;15.7237;15.6665
0.5;3.9569;10.6828;5.5925;4.0129;23.785;5.1339;9.7056;5.6812;3.7332;15.4139;16.9884;16.4732;16.4336
0.5;3.9797;9.5253;5.3692;4.6016;23.8949;4.7996;10.119;5.5816;3.7422;14.5293;17.9319;16.6477;16.2545
0.5;4.0693;8.4173;5.0882;4.9497;23.0651;4.8168;10.6422;5.6726;3.3917;15.5806;16.8333;17.1101;15.8164
0.5;4.0305;9.2448;5.0801;5.086;23.8677;4.4945;11.116;5.2402;3.988;15.0217;14.5459;18.106;16.0421
0.5;4.2963;9.7239;5.4254;5.6847;23.6542;4.8627;10.9395;6.214;4.0742;14.234;13.2515;17.9444;15.8174
0.5;4.9016;10.5206;5.8155;4.4424;18.4987;5.2488;11.0383;6.3615;3.5697;15.6935;11.4408;17.8648;15.6321
0.5;4.5111;10.1292;7.0915;4.6298;17.3608;5.4847;11.1998;6.0507;3.7742;15.5066;12.1881;16.2625;15.3181
0.5;4.1932;11.0542;6.621;4.9166;16.6268;5.5248;9.7807;6.389;3.6605;15.3926;13.3931;15.208;15.9867
0.5;4.8125;11.0322;6.5197;5.7424;16.1564;5.4661;11.1339;7.5119;3.5945;13.3902;13.8464;13.7088;17.3878
0.5;4.072;10.7405;5.3339;5.2199;16.506;5.618;10.9222;7.0216;3.5823;15.0398;12.6028;14.8533;17.6811
0.5;4.787;10.2169;5.5791;5.5994;16.5123;5.9233;11.6796;7.6942;3.7681;15.6409;15.2502;16.0339;16.9763
0.5;5.3922;10.8219;5.7143;6.4243;17.7612;5.5704;10.5462;7.0028;3.8332;15.5853;14.9568;15.9634;18.7372
0.5;4.4968;11.3109;5.7026;5.8214;18.0627;5.5496;9.4736;6.053;4.4111;15.1993;13.0399;16.3255;18.136
0.5;4.0445;11.0009;5.0531;5.8235;18.2165;5.1181;10.7246;7.048;4.2423;14.0346;14.0766;16.5681;18.9708
0.5;5.1418;11.4066;5.9801;5.8315;18.4686;5.1236;10.5573;7.7872;4.0569;14.9398;13.6912;14.7329;16.9579
0.5;4.9439;12.1693;5.5246;4.9254;18.815;5.857;11.0368;8.2292;5.1105;16.4828;15.3464;14.5759;16.0099
0.5;4.9138;11.5975;5.7365;5.0416;17.0616;7.7899;12.2623;8.971;5.5517;16.215;14.2032;15.2075;16.4567
0.5;5.0723;11.3897;6.4047;4.6392;16.8575;8.8469;12.8518;9.3388;4.9731;15.8829;14.8031;15.0921;17.505
0.5;5.0313;11.2492;6.3701;5.4012;15.9682;8.9802;12.2335;9.6789;5.5376;17.5478;16.4316;13.8634;17.5189
