odour stim;16/11/2020 Female3;17/11/2020 Female3;17/11/2020 Female8;17/11/2020 Male13;18/11/2020 Male2;18/11/2020 Male7;19/11/2020 Unknown6;20/11/2020 Male4;20/11/2020 Male10;23/11/2020 Female6;23/11/2020 Female10;23/11/2020 Male11;16/02/2021 Female5
;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V;15V-30V
0;3.3311;18.1393;30.0846;8.6659;34.6911;9.3349;35.6321;11.5405;18.0143;36.6252;7.1811;36.0997;13.2944
0;3.4952;17.6187;29.7529;8.9656;33.6205;10.8744;34.8851;16.2177;18.6124;34.5412;8.0902;34.732;14.3872
0;3.8154;16.1996;28.5956;8.4563;33.6269;10.6018;33.6859;14.6496;18.961;32.966;7.3494;30.8681;13.4447
0;3.9205;14.6922;26.1703;8.9067;29.5246;10.1366;32.9168;12.8027;18.7406;32.0487;6.6081;29.0385;13.6168
0;3.4966;13.8479;25.0295;8.8254;26.318;9.1263;29.7668;13.7252;18.3463;31.948;5.5547;30.8442;11.5372
0;3.5378;12.2321;26.3725;9.0028;25.907;8.4588;29.6249;13.5153;18.0499;30.0273;5.4146;28.8575;11.6409
0;3.6789;11.791;25.6805;8.8703;26.1705;8.2578;28.7853;12.1974;18.3326;30.3017;5.0305;30.0496;12.072
0;3.205;11.071;23.7395;9.0598;25.0236;6.7883;28.157;14.0136;18.5585;30.4294;4.7762;28.5435;11.3301
0;3.2017;10.7522;21.6299;8.4584;25.4447;6.5459;24.4697;15.3692;17.9306;27.9822;4.719;27.5162;10.9867
0;2.8137;10.5303;21.1956;7.5356;22.9039;6.2557;22.8871;14.9502;17.5629;26.5597;4.2083;29.0799;11.1655
0;3.1771;9.5424;18.8725;7.8622;19.9919;6.0221;22.6741;14.9162;17.555;28.1397;4.4072;29.9882;10.1101
0;3.0038;9.4302;17.2043;7.8127;17.8929;5.4105;21.7601;13.8784;16.7145;25.8754;4.1269;28.4215;10.7382
0;4.0218;9.751;16.5444;8.257;21.8678;5.2924;21.5205;14.6519;16.9762;22.0351;3.8172;27.086;10.7549
