odour stim;16/11/2020 Male4;16/11/2020 Female10;17/11/2020 Female3;17/11/2020 Female9;18/11/2020 Female3;18/11/2020 Female8;19/11/2020 Male5;19/11/2020 Female10;20/11/2020 Male10;23/11/2020 Male5;23/11/2020 Female9;25/11/2020 Female4;16/02/2021 Male6
;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V
0;4.158;8.3558;16.5346;8.7448;34.5753;11.3843;7.691;38.0012;10.6734;4.2577;8.7426;16.1133;16.1536
0;4.8351;7.0769;16.0997;9.6486;33.1938;15.1279;8.4384;40.0222;11.6217;5.3129;10.1395;16.5762;16.4171
0;5.4964;6.4761;15.2891;8.7924;31.7585;15.0696;8.3427;35.218;10.9609;5.1569;11.2103;16.5388;15.5707
0;6.0011;5.7707;15.6614;7.9935;28.5483;13.1418;8.1955;32.3674;11.4706;4.2519;10.6661;16.5152;13.2613
0;5.7213;4.8872;15.1369;7.7192;27.844;11.335;8.7037;32.8409;13.3603;4.7078;10.7164;15.6126;13.8718
0;5.9106;4.4898;14.5441;7.43;25.7812;10.4493;8.4489;30.9851;14.003;4.1505;10.0917;15.6271;11.8587
0;5.703;4.1413;14.0505;6.3925;21.0371;9.967;7.8511;28.563;12.5049;4.0023;10.1972;15.3063;11.1843
0;5.7891;3.4416;13.5869;7.0194;19.5655;10.4499;7.6079;23.8867;12.8406;4.0547;10.4991;14.9676;9.6768
0;5.956;3.5308;13.091;7.2315;18.3966;10.1089;7.8818;21.128;12.7122;2.8818;9.4144;15.7181;9.7807
0;6.4555;3.8552;13.2195;7.4993;18.6729;9.3972;7.2116;18.3416;12.2945;3.4237;8.6475;15.2883;10.2913
0;6.7893;4.2704;12.8439;7.0762;19.319;10.314;7.4341;15.5706;11.8069;3.294;8.7969;15.2153;8.5199
0;6.3242;4.7964;12.4504;6.6989;17.9913;9.7276;7.112;14.5795;12.4212;2.1381;8.2368;16.9062;7.3288
0;6.2148;4.3104;12.0504;6.5535;17.6645;10.4818;7.6887;16.1719;11.786;3.0304;8.3128;15.9841;5.996
0;5.655;4.1824;11.5151;6.7149;15.3152;10.7666;6.8087;14.9889;11.7585;2.2226;7.5024;16.0877;5.8388
0;5.2514;4.4185;11.3443;6.318;14.3867;9.0938;6.9359;16.0396;10.8039;2.5219;7.7938;14.4638;5.8323
0;6.0291;4.08;11.073;5.8635;13.7751;8.8884;7.087;15.6913;12.5263;3.0243;7.372;12.2098;5.1504
0;4.7836;4.2364;11.287;5.7284;11.7788;8.1167;7.0402;15.4863;12.9326;3.1474;7.7537;10.9396;4.7153
0;5.3215;3.5912;11.5102;6.0081;13.3137;8.5123;6.7916;13.238;11.0648;3.4015;7.642;10.57;4.205
0;5.5827;4.2716;10.8192;5.6189;14.2031;7.887;6.22;13.9514;12.812;3.7593;7.1883;11.6938;3.5924
0;5.1657;5.2135;11.0722;5.4623;12.6274;8.0281;7.1668;15.8432;11.6072;3.7263;6.6145;11.6668;3.6338
0;4.7593;5.5279;11.4645;5.1196;11.5903;8.678;7.3812;16.1662;11.3979;4.1561;5.992;11.5501;4.3147
0;3.7917;5.3212;10.8135;5.1227;13.092;7.7558;7.3291;15.9796;12.1689;4.3336;5.5115;11.2406;4.5742
0;3.5375;4.4639;10.7806;5.8876;13.4339;7.0011;6.5676;15.1099;11.5443;4.357;5.6376;11.4041;4.181
0;4.4308;4.3986;10.6748;5.4537;13.1357;7.3052;6.8603;15.6566;12.1878;4.5909;5.0996;13.2504;4.5352
0;3.7582;5.1318;10.8414;5.2754;13.8272;7.801;6.1311;15.9168;12.6482;4.2213;6.0677;14.2609;4.9243
0;3.4307;5.4214;10.8187;5.9697;14.3845;8.3761;7.8019;16.1509;10.7279;4.0988;5.7128;14.898;4.2125
0;3.364;5.3993;11.2154;5.5332;14.4713;7.699;9.5859;16.733;10.6519;4.3271;5.5401;15.7321;4.3179
0;3.4155;5.0722;11.0164;5.3831;13.6646;6.1583;9.6436;19.251;11.2217;5.3996;5.3353;16.0625;4.7884
0;3.9508;4.7022;11.0684;4.1364;13.1594;7.2553;9.1149;19.7535;10.9085;5.9558;5.096;15.3123;4.6032
0;4.8501;5.1087;11.0225;4.7463;13.9635;7.1763;9.2368;20.8807;12.8302;6.3542;4.5598;16.0651;4.4321
0;5.4806;5.0234;11.1837;4.8266;14.2538;6.6097;9.3004;20.9222;14.8705;5.8633;4.3572;17.8568;4.3633
0;5.3381;4.6655;11.4968;4.6195;14.8819;6.9696;11.3751;23.1516;13.6455;5.8768;4.9494;18.5913;4.5826
0.5;5.5878;4.3321;10.9825;6.0068;14.3364;5.8445;10.9432;21.9548;12.7925;6.3518;4.6989;18.7883;4.9669
0.5;4.7599;3.4743;11.1094;6.3181;12.0728;5.2896;13.1883;20.9945;12.875;6.5889;4.8325;18.4833;4.9575
0.5;4.9196;3.2291;10.9667;5.8403;11.0291;5.3133;14.7242;23.599;14.2608;7.1356;4.8541;19.0837;5.0431
0.5;4.3392;2.9164;10.6645;5.5739;10.6881;5.786;17.8039;22.8898;13.5572;5.3999;5.1258;18.0689;4.7967
0.5;4.4533;2.5408;10.9537;6.2835;9.5789;6.4305;18.8966;24.333;12.5761;4.4575;4.7367;17.3849;5.2721
0.5;4.2245;2.3297;11.7215;5.2972;10.4478;6.2655;22.1378;25.6166;11.2368;4.5328;5.256;17.0926;5.3868
0.5;3.8489;2.6218;12.5434;5.7835;10.0355;7.3982;24.3072;26.5824;9.4725;4.1605;4.8088;17.0716;5.5301
0.5;4.5266;2.4969;11.4568;5.933;10.9928;7.0303;25.858;24.6434;8.4806;3.6526;3.8901;16.6093;5.0351
0.5;5.4333;3.0432;11.5035;6.002;13.7847;6.9399;24.2776;23.3847;7.8305;3.6125;4.2528;16.0984;5.1099
