odour stim;16/11/2020 Female5;16/10/2020 Female10;17/11/2020 Male10;18/11/2020 Female4;18/11/2020 Male9;19/11/2020 Male5;19/11/2020 Male9;20/11/2020 Male8;23/11/2020 Female4;23/11/2020 Female8;25/11/2020 Female5;16/02/2021 Male4;17/02/2021 Male3
;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V;45V-90V
0;4.358;16.9793;11.905;14.5683;7.811;11.75;19.5069;17.1458;10.0749;13.7467;22.934;13.5392;15.6613
0;4.5584;17.3472;10.4625;15.6804;7.7104;12.3817;22.8293;19.1525;10.7396;16.0084;20.5981;14.577;15.2553
0;3.9717;15.4948;10.5247;15.0359;8.4214;11.4478;20.7587;17.423;10.8223;16.6993;19.3003;16.9485;14.412
0;3.2002;15.3554;9.2738;14.2686;7.6397;10.0227;17.3654;15.4286;10.5593;15.3596;16.8841;17.9955;14.0493
0;3.3598;14.3759;8.9327;12.7534;8.1421;11.3378;15.2014;14.7991;10.1284;15.9328;15.7706;17.6835;14.8532
0;3.5154;13.02;9.6037;12.4688;7.4391;9.7471;15.1084;14.1414;9.2452;14.6492;16.3204;16.1446;14.7977
0;2.9578;12.5166;10.0585;12.3903;7.1496;9.9652;14.5413;13.1306;8.8617;14.0457;16.3208;15.3202;14.3383
0;2.7247;12.6124;9.5231;12.8954;7.064;9.8842;13.1763;13.9759;8.0154;13.9385;15.0999;14.6279;13.0783
0;3.02;10.8095;9.8177;11.4173;5.9951;10.0264;12.5952;14.3038;8.1699;12.3425;14.7103;14.927;13.0693
0;2.6949;9.2835;10.1929;10.8679;5.6182;10.1582;13.8012;15.2413;8.1275;12.5791;14.6482;14.4437;12.8781
0;2.9442;7.6494;10.9302;11.2429;6.4631;8.8814;15.5124;15.9807;7.6791;12.0958;14.8158;14.7612;12.4176
0;2.7088;8.6718;10.5771;9.5758;6.5071;9.2016;16.7867;15.2627;7.3745;10.359;12.6715;14.5136;14.5983
0;2.8709;9.1224;10.2789;9.7546;5.5516;10.1772;17.606;14.9426;6.66;8.935;12.4582;14.2662;13.9394
0;3.0089;9.2403;10.4775;10.6989;5.2904;9.5809;17.8541;16.019;6.4689;7.5668;11.9781;13.1856;13.106
0;2.9132;9.6957;10.7694;9.9039;6.0427;11.3464;14.4498;15.129;6.3602;6.5741;12.4118;12.4385;12.7563
0;2.7478;9.8509;10.6069;9.4283;5.6034;10.8575;12.6624;15.2303;7.0562;5.8557;11.518;12.9517;12.5689
0;2.6968;10.1675;10.7516;8.3177;6.1024;10.1119;12.2833;13.7017;7.2294;5.5749;10.2621;11.4168;11.8938
0;2.6818;10.1485;11.0379;8.3866;5.973;9.3784;10.829;13.5809;6.9609;6.6733;9.3819;11.0719;11.8633
0;2.6791;9.918;10.0593;9.3772;7.1425;9.2683;9.8776;13.9343;7.0777;6.1992;9.1184;9.8246;11.5527
0;2.862;10.0852;9.017;9.2372;6.8227;9.6248;9.8206;14.1913;7.248;6.5674;8.3285;9.6155;11.3439
0;2.9469;10.1567;9.955;7.7753;5.9965;9.6656;9.8329;13.7529;6.9506;6.0619;7.5346;9.0231;12.4649
0;2.9208;9.8899;9.812;7.8102;6.0448;9.7451;10.1146;15.517;6.7264;5.4835;7.3756;8.2168;12.3862
0;3.2393;10.0262;9.1805;6.6536;5.7276;9.4038;8.77;15.218;6.2867;4.8495;7.3434;7.5998;12.4213
0;3.1819;9.6315;9.7886;7.4393;6.2908;10.3028;9.0437;15.5393;5.9987;5.0704;7.1085;7.9668;12.397
0;2.9355;9.7147;9.867;7.08;6.2663;9.5874;10.2421;14.8273;6.0355;4.3482;7.0683;7.5141;11.7918
0;2.8598;10.0527;10.8197;6.7767;6.0608;9.692;8.5318;14.4075;6.2947;4.5018;7.4802;8.0506;11.4367
0;2.901;10.3812;8.0411;7.6524;5.0901;10.3964;9.2009;13.8962;6.4766;5.0182;7.5709;7.6612;11.2989
0;2.4773;11.2295;7.1742;7.6433;5.2858;11.1056;9.0065;14.1943;7.1773;4.9773;7.6657;7.263;11.0992
0;3.2977;11.3799;7.864;7.535;5.5168;11.7163;8.4836;13.2018;6.6169;5.0704;7.6278;7.2819;11.3147
0;3.1376;10.9954;8.4211;8.4489;5.2976;11.2444;8.2924;14.1738;6.6272;5.3217;8.295;7.1196;12.3118
0;3.2548;11.6388;8.0855;7.9929;6.5103;10.3017;7.4537;13.9344;6.4026;5.514;7.5525;6.9365;12.0122
0;2.9246;12.0689;7.924;7.4736;5.8464;11.1661;6.5311;15.256;6.6703;5.4572;8.1092;7.742;11.4032
0.5;2.363;10.6889;7.9902;8.0191;5.4872;12.2788;5.7517;14.2913;6.1263;5.468;7.9758;8.057;11.0267
0.5;2.7455;10.5143;7.4272;8.2603;4.7525;10.4211;6.1028;13.9276;6.4465;6.9882;7.9592;7.8105;11.1175
0.5;2.6645;10.6328;8.4143;8.2417;4.774;10.3601;6.032;13.2093;7.3348;6.3938;8.3283;6.832;10.5547
0.5;2.6925;10.1482;9.5187;7.0803;4.5908;11.0193;6.1845;12.5186;7.3715;7.4526;8.1017;7.4075;10.7292
0.5;3.1472;8.4719;9.612;7.9693;5.1457;10.766;5.4051;12.3897;7.1344;7.7396;8.4615;6.9828;10.4527
0.5;2.8033;7.875;9.071;9.2384;4.7343;10.5645;5.7872;12.0191;7.4132;7.834;8.5326;7.3538;10.0026
0.5;2.7144;7.0953;9.8171;9.053;4.7479;10.6861;5.6106;12.929;6.853;7.982;8.6735;7.7977;10.5099
0.5;2.8199;7.6861;8.2426;9.363;4.1926;10.6974;5.9215;13.6196;6.9357;8.3985;8.5271;7.1694;11.8066
0.5;2.7427;7.4486;7.1822;9.835;4.4262;10.4409;5.4191;12.7901;7.1847;9.1309;8.6528;7.6377;11.207
0.5;3.0014;7.5687;8.0406;10.1546;4.7543;9.7967;4.921;14.6509;7.1536;8.6744;8.363;7.0963;10.6347
0.5;3.1494;6.6793;7.5589;10.3274;5.798;9.7114;5.6109;15.9906;6.945;8.4826;8.445;6.3094;10.639
0.5;2.9793;6.2539;7.5512;10.2405;5.7893;8.9531;5.4942;16.1745;6.8713;8.8565;8.4866;7.3477;10.212
0.5;3.1859;6.476;8.7343;10.6283;5.8799;9.2877;5.9224;16.9649;7.0574;7.7042;8.8868;7.2318;10.2663
0.5;2.7833;6.7058;10.1527;10.3141;5.846;9.5015;5.8638;16.9425;6.7004;7.4578;8.9295;7.1874;9.7435
0.5;3.297;6.4033;10.9467;9.6604;5.2155;8.7041;5.3202;17.0748;6.9477;7.2243;8.7369;6.7596;11.4591
0.5;2.9174;6.6571;10.8512;11.4987;6.165;8.0913;6.2226;16.3556;6.8515;6.7342;9.341;7.076;11.2627
0.5;3.0864;7.0226;11.6635;11.3552;5.7625;8.4107;6.6356;15.8921;6.4634;6.3329;9.2548;8.0946;10.8625
0.5;2.9874;6.8888;11.3697;11.1124;7.2479;7.4034;7.0875;16.8853;6.6024;5.4793;8.6922;7.3434;10.8053
0.5;3.1944;6.677;11.6189;10.0336;6.4645;7.932;7.1022;17.3347;7.0798;6.4437;8.9118;7.6558;10.6518
0.5;2.8726;6.418;11.4887;9.7333;6.357;8.6367;6.8124;16.5494;6.9071;6.538;9.5816;7.6657;10.1991
0.5;2.9873;6.2315;10.5642;9.7983;6.3171;9.3006;6.7296;14.9769;6.8118;6.5257;9.0712;7.6046;10.7176
0.5;3.4126;6.6669;11.674;10.4169;6.5879;9.9141;6.9689;15.273;6.8214;6.8179;8.7556;7.3038;10.862
0.5;3.2272;5.9786;11.8732;9.6564;5.4062;10.7828;6.6202;15.7476;6.4609;7.6687;8.8729;6.9683;10.595
0.5;3.0009;6.5606;11.7853;11.3391;5.8578;9.5997;6.2358;15.0052;6.9664;8.126;9.031;7.943;10.9231
0.5;3.5812;6.5612;11.1622;11.4662;6.6445;10.4035;6.0661;14.5009;7.0085;8.6906;9.5503;8.493;11.6616
0.5;3.4576;6.705;11.0451;11.0222;6.1423;11.5013;6.6118;13.8864;7.1176;9.7096;9.5615;7.6833;11.5515
0.5;3.1033;6.5124;11.0218;9.3509;7.1335;10.6234;6.9678;14.5462;6.7713;8.975;9.1267;7.2329;10.9557
0.5;3.1308;6.5809;12.6256;10.1943;6.0828;10.4228;7.4175;15.4016;7.666;9.3494;9.8736;7.9722;10.6372
0.5;3.2129;6.752;12.5098;9.8755;4.9192;10.5598;6.8302;14.8631;7.7976;9.3176;9.5082;7.213;11.0935
0.5;3.3276;6.6108;12.3754;9.6754;5.2872;11.8106;6.7485;15.3108;7.7556;9.099;10.3982;7.5776;10.7883
0.5;3.3671;6.4927;12.7673;10.3904;5.8446;12.181;6.5789;15.3304;8.0563;8.4048;9.6621;8.1445;11.4881
0.5;4.0778;6.5219;10.9298;9.6913;5.7294;11.8813;6.0216;15.0446;8.0694;11.2533;9.3175;8.5097;11.1493
0.5;4.3364;6.8033;12.0906;10.0066;4.24;10.8308;5.8208;16.3207;8.1758;11.884;9.8679;8.2653;12.4884
