odour stim;16/11/2020 Female6;16/10/2020 Male8;17/11/2020 Male5;17/11/2020 Female11;18/11/2020 Female5;19/11/2020 Male3;19/11/2020 Female8;20/11/2020 Female2;20/11/2020 Male7;23/11/2020 Female3;23/11/2020 Male7;25/11/2020 Female3;16/02/2021 Female7
;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V;60V-30V
0;6.8365;3.3346;38.5648;22.9836;7.8182;7.1532;18.0571;20.6402;11.973;8.5019;14.9349;11.0817;6.2967
0;7.4023;3.795;33.6044;18.9386;8.8317;8.7207;21.4367;20.6926;11.6749;10.2465;19.5405;11.1329;5.8251
0;6.4171;3.2361;30.4521;15.7176;8.4818;8.4483;21.0779;19.9525;10.5508;9.6565;18.1805;12.0454;5.7528
0;6.8263;3.1727;29.4451;12.5128;9.5566;7.3516;19.1345;17.7765;9.1429;8.5136;18.3403;12.1994;6.3428
0;6.8329;2.8649;32.3497;10.717;9.7722;8.8033;16.0371;16.6586;8.4997;7.5629;18.1554;11.9444;6.3759
0;6.4626;2.4061;32.3145;8.9616;8.6307;10.6599;16.2948;16.0153;8.9014;7.7403;17.8707;11.2112;6.3685
0;6.2515;2.5142;28.79;7.8461;8.9567;11.5185;14.14;14.6737;7.7307;6.8923;17.8722;10.7339;5.7098
0;5.7364;2.5894;27.3856;6.8875;8.3291;10.5801;12.1726;14.4275;7.0645;7.1988;17.64;11.2538;5.2016
0;5.5253;2.1757;26.6935;6.3958;8.6446;9.449;10.0757;14.6561;6.5389;6.1477;17.9659;10.9017;5.0073
0;5.06;2.227;24.2467;6.0799;7.3663;9.9929;9.5809;14.4593;6.1146;6.0952;19.5219;10.5092;5.1433
0;5.2325;1.9641;21.8965;5.4465;6.8129;10.6403;11.457;14.6848;5.8272;6.268;18.9382;11.22;4.9082
0;4.8981;2.1475;19.7488;5.1864;6.9171;11.9858;10.4697;15.7174;5.4468;6.156;17.939;11.62;4.0652
