odour stim;16/11/2020 Male1;16/11/2020 Female7;17/11/2020 Female6;17/11/2020 Female12;18/11/2020 Male6;19/11/2020 Male2;19/11/2020 Male7;20/11/2020 Female3;20/11/2020 Female5;20/11/2020 Female11;23/11/2020 Female2;25/11/2020 Female2;16/02/2021 Female3
;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V;90V-45V
0;6.7453;4.3114;15.1135;9.0126;15.9029;13.4874;9.6412;14.5506;14.3935;12.0355;23.2135;17.8293;5.6149
0;8.2433;4.7905;15.5151;10.9866;14.0002;14.0509;9.6498;17.1465;16.118;15.0037;22.6028;19.6659;6.7969
0;8.491;4.8658;15.5506;9.9575;13.3555;13.3941;9.0909;14.5751;14.999;15.1604;21.61;19.4724;6.6637
0;8.3334;5.2362;14.1741;9.4324;12.9528;11.8235;9.5513;13.2037;12.81;15.1408;21.2308;18.4234;6.9118
0;8.756;4.8949;14.2266;8.0709;13.6958;11.0805;9.3988;11.4793;11.1796;13.3579;20.9871;18.6512;6.2207
0;8.9968;4.7035;12.5808;8.0436;13.9623;11.8585;9.2856;12.2546;10.279;13.5563;19.7928;17.6934;6.1713
0;9.2324;4.626;14.5118;7.8025;12.0751;11.8855;8.9452;10.5016;11.4701;13.4525;20.2013;17.5115;6.0842
0;9.5416;3.7989;15.6666;7.2992;10.6841;10.9396;9.1576;9.7786;12.2497;12.8328;20.9252;16.167;5.983
0;9.5589;3.2166;15.1193;6.2137;9.9456;10.852;8.7531;9.9499;12.4153;12.479;20.8858;14.8151;5.6314
0;9.418;2.964;14.7351;5.8735;8.5079;9.6957;8.6039;10.0253;13.1111;12.4275;20.5062;13.845;5.6279
0;9.288;2.6416;14.148;5.321;8.2879;9.6466;8.9643;10.1312;12.4739;10.0616;19.4111;13.8967;5.8716
0;8.684;2.3994;13.6571;4.9991;7.463;8.8629;8.7162;10.4099;12.005;9.0958;18.7388;13.1992;5.2394
0;8.5244;2.0312;12.6524;5.5514;6.2225;7.9542;8.5933;9.6669;11.1148;9.1778;19.717;13.1663;5.6015
0;7.9652;2.2525;12.3439;5.0578;5.4343;7.1644;8.6724;8.009;11.0157;9.4099;19.0129;12.6345;5.1292
0;7.2325;2.0185;11.5064;5.1857;6.6341;5.4516;8.3493;8.9296;11.4053;10.887;17.9956;12.7634;5.0757
0;8.0333;2.2466;9.7813;4.8178;7.81;6.2209;8.4103;8.5402;10.3677;11.0912;17.6793;12.3931;5.2597
0;8.0674;2.3703;10.1041;5.6361;7.4017;6.2641;8.4815;7.8762;9.3865;10.5658;17.5999;11.2215;5.2601
0;8.084;2.7295;9.6321;5.4157;7.8089;6.3502;8.5079;7.7064;8.128;11.5279;18.2795;10.8631;4.8698
0;7.3241;2.8593;10.247;5.4977;7.1374;7.0772;7.9962;8.3102;8.5854;12.3007;17.9684;10.8794;4.3781
0;6.5649;2.8081;8.3502;5.8388;6.8528;6.5429;7.9391;8.8433;8.1167;12.196;15.5522;11.0673;4.1958
0;7.6908;2.6713;9.7234;5.8737;8.0517;6.7712;8.1449;8.0902;8.1104;12.6783;16.1739;10.7541;4.6304
0;7.439;2.5614;9.2073;5.3361;7.9927;6.8826;8.2213;8.7979;7.4088;12.6774;16.0156;9.4032;4.4045
0;6.9206;2.6406;9.5248;5.153;8.1722;6.5096;7.9546;9.26;6.8436;12.2123;15.5092;8.8123;4.1337
0;6.9965;2.3346;9.6971;5.433;8.2659;7.7715;7.781;9.3652;6.4923;12.0951;15.0013;9.3219;4.0508
0;6.1749;2.7945;10.3367;5.2663;7.6649;6.5127;7.8669;9.1574;7.3793;12.4783;15.2415;10.1535;3.6198
0;6.6404;2.7226;10.1448;5.3331;7.1462;6.165;7.517;9.4714;7.2766;11.6782;15.9394;9.4927;3.558
0;7.8213;2.7639;10.4356;5.5838;6.2121;6.7753;7.5169;9.1535;7.2289;10.2709;16.5754;9.9921;3.6318
0;7.6652;2.4121;9.7488;5.7415;6.6934;6.593;7.7537;9.0415;7.9122;11.1024;16.41;10.9368;3.5501
0;9.2363;2.3364;8.8736;5.9146;6.5871;6.3036;7.6979;8.79;8.023;10.1474;15.9006;11.5778;3.8382
0;8.4327;2.0657;9.6382;6.2578;7.3316;6.3379;7.7168;9.04;7.2618;11.9159;16.7636;10.8981;3.7622
0;9.4413;2.017;9.533;5.8196;8.7483;7.0616;7.4397;9.0613;7.324;10.0125;18.4523;11.8233;3.6349
0;9.4352;1.9929;8.6248;6.7253;8.9361;6.539;8.1347;9.2497;6.8396;10.3713;18.9756;12.4104;3.7654
0.5;9.6504;2.257;9.458;7.2511;8.7829;6.4982;7.673;7.8848;7.121;11.0537;18.692;12.7516;3.4564
0.5;11.29;2.6408;9.3016;6.8332;8.7135;7.3025;7.5607;8.667;7.2611;10.9802;20.3433;12.9868;3.7624
0.5;10.445;2.2603;9.2051;6.7918;7.5458;6.3472;7.691;9.9749;7.2365;12.193;20.5633;12.7869;3.9218
0.5;9.9044;2.0832;10.3974;7.8211;8.1884;6.7251;7.6378;10.8537;7.3859;12.6713;19.7622;13.8231;4.1968
0.5;10.1862;2.6578;10.5563;7.7441;9.2933;6.4066;7.7589;12.4967;7.3464;12.2789;20.0009;14.4875;3.6086
0.5;11.3361;2.5122;9.0632;7.3548;9.014;4.1284;7.4977;12.4085;8.0875;12.6449;20.5192;14.3875;3.4176
0.5;12.4043;2.2119;10.6002;6.8888;9.4104;3.9015;7.6982;10.386;8.2364;13.0956;18.4317;14.6699;3.3478
0.5;12.6007;2.4906;9.0921;7.1084;9.4773;3.0254;7.6675;11.5214;7.8134;13.9675;17.5511;14.8866;3.4533
0.5;13.0631;2.3105;9.5225;6.7327;8.7288;4.1591;7.4764;11.167;7.5698;12.9948;15.3884;14.727;3.5223
0.5;13.149;2.3119;8.9514;6.7459;8.8288;6.2024;7.5577;11.1463;8.0851;12.352;14.902;13.7805;3.2722
0.5;13.2645;2.2984;10.4427;6.7031;9.3345;6.4722;7.8126;10.6561;8.0933;12.9781;15.5757;13.8251;3.2719
0.5;12.9691;2.2277;10.6989;6.3007;10.1451;6.7408;7.5582;10.0552;7.5553;13.732;15.1028;13.8313;3.3955
0.5;13.8877;2.0687;11.0229;7.2615;8.0328;6.4325;7.8051;9.8347;7.779;12.7476;14.1113;13.9661;3.225
0.5;14.311;1.9876;10.8481;6.716;8.0507;5.8001;7.6999;10.3371;7.6496;13.5018;14.1615;13.3852;3.527
0.5;15.7287;2.1654;9.1656;6.3446;10.8447;5.9732;8.0571;9.4401;8.1081;13.2345;12.7917;13.6615;3.856
0.5;16.5418;1.8886;8.2147;6.0803;11.3483;6.759;7.9229;10.0627;8.7654;14.1533;12.1793;12.881;3.3816
0.5;16.8061;2.0145;7.9415;7.2458;11.2703;7.6987;7.7603;11.3793;7.6514;13.3304;11.3783;12.7534;3.1593
0.5;17.3088;2.1425;8.4089;7.1262;11.4982;7.0173;7.7286;11.2248;7.6944;15.0939;11.7824;13.2252;3.3789
0.5;16.8431;1.937;7.7158;6.6417;11.6162;7.26;7.9239;11.0741;8.025;17.054;12.8198;13.9179;3.8976
0.5;16.5376;2.0265;8.6056;7.1944;12.9872;7.3009;7.616;11.5822;7.8513;20.0374;12.6941;14.0595;3.5364
0.5;16.1275;1.8998;9.4354;6.6193;9.4491;7.2589;7.6666;10.6408;7.9812;22.0002;11.6683;13.3601;3.6615
0.5;15.4063;2.2041;10.3734;6.9882;11.7733;7.8528;7.6289;11.0953;7.2079;23.5037;11.4155;12.917;3.6279
0.5;15.8843;2.354;10.5044;7.7408;13.1208;7.8146;7.8949;10.8375;8.1015;24.7387;11.493;13.3214;3.7293
0.5;15.3404;2.4322;10.0299;8.3101;12.8133;7.9274;7.6434;11.2776;8.3195;24.3457;10.2497;12.2402;3.9076
0.5;15.6144;2.301;9.3346;7.5959;13.2118;7.5515;7.722;10.6558;7.8524;20.8744;9.0149;11.5561;3.8899
0.5;15.1186;2.1504;7.8416;8.1791;12.8094;8.5363;7.6554;10.9872;7.8249;22.6653;10.257;10.6376;4.1844
0.5;14.2059;1.9131;8.0423;8.8154;10.3792;7.1426;7.7483;11.8119;8.6322;23.6026;9.0778;11.2978;4.0693
0.5;14.6918;1.818;8.9278;8.1893;8.9958;6.4332;7.472;12.051;8.2318;23.5166;8.3589;9.818;3.7388
0.5;16.5794;2.1385;9.7105;7.3032;9.4562;7.6059;7.6458;11.7584;8.2486;22.218;8.097;9.3419;3.9617
0.5;16.2522;1.854;8.3738;7.1535;8.2903;6.8347;7.6676;12.5144;8.3732;20.6881;8.2079;9.334;4.5318
0.5;16.044;2.1256;7.5984;7.5825;8.1406;6.3707;7.7018;12.8319;8.5932;20.5436;8.6996;8.3213;4.3206
0.5;17.5281;2.1916;8.8832;7.5843;7.3707;6.0503;7.6767;11.1938;8.7662;19.9228;10.0086;8.6254;4.8052
0.5;18.3764;2.2032;9.9245;8.0383;7.4621;6.1747;7.6637;11.5831;8.6305;19.5401;10.5674;7.8856;4.4383
0.5;17.3062;2.2208;9.6792;7.5002;7.549;7.3469;8.1857;11.7177;9.2814;18.6342;9.8651;8.2173;4.1959
0.5;16.9389;2.2811;9.8926;7.8468;7.3571;6.6347;7.7501;12.028;10.174;20.0131;10.8116;8.3244;5.1682
0.5;15.975;2.3973;9.034;8.5291;8.371;5.8934;8.1256;13.3191;9.9332;20.1594;11.4429;7.7777;5.032
0.5;15.8408;2.2681;9.7588;7.1694;8.8912;6.4839;7.7272;12.599;9.6435;21.5936;12.0088;8.1295;5.1477
0.5;15.432;2.2527;10.9123;7.3348;9.0027;6.345;8.1097;12.5887;9.6249;22.8567;14.3348;8.207;5.0109
0.5;15.5959;2.3858;9.0563;7.7783;8.517;6.4595;8.1218;13.6749;9.6772;22.5523;16.5317;7.946;5.2775
0.5;17.353;2.5045;10.2284;6.8778;9.1743;7.1619;8.272;13.3051;9.309;23.0342;18.0398;8.1721;4.7687
0.5;17.1319;2.6352;8.7401;7.2063;9.5248;7.2207;7.9592;12.575;9.3352;23.692;19.3974;7.9465;4.7278
0.5;15.3635;1.98;9.2221;7.3897;10.1449;7.045;7.8462;11.6893;11.0586;23.6504;17.798;7.0263;5.5315
0.5;14.4621;1.7593;8.2971;7.2309;9.7707;7.109;7.9344;14.2423;10.15;24.1587;17.5449;7.875;4.9583
0.5;15.6353;1.8732;8.5749;7.5735;8.8218;6.8005;8.2576;13.5805;10.5646;23.9773;18.2433;7.9393;5.1717
0.5;16.3704;2.3694;9.0731;6.8386;8.9688;7.0242;7.8732;12.6136;9.8022;23.0814;17.5621;7.458;5.1488
0.5;16.506;2.4565;8.2773;7.5001;8.8717;7.5834;7.8604;12.4525;9.4918;21.8437;16.7222;8.3675;4.9475
0.5;17.105;3.5345;8.829;7.447;9.4251;8.5103;7.7272;12.9088;9.9023;23.9308;16.6735;8.4908;4.9709
0.5;17.0522;3.6974;10.1566;6.7997;9.0501;9.2555;8.0946;13.1423;10.2457;23.6507;16.4813;8.4425;5.0783
0.5;16.5222;3.1141;11.4007;6.5793;9.1283;8.4958;7.5882;13.0262;11.1717;22.729;16.3299;8.1769;5.1198
0.5;15.1958;3.1781;11.7627;7.9851;10.0114;8.0751;7.627;12.6062;10.5081;19.3028;14.0639;8.0121;5.0817
0.5;15.0917;3.9114;10.0174;8.3101;8.4237;8.9168;7.9624;12.4792;9.9751;21.5276;12.7056;8.545;4.7043
0.5;15.3999;3.9592;8.72;7.9935;6.2457;8.9437;7.7889;12.7466;10.5444;23.9518;12.426;9.2328;4.8885
0.5;15.6035;4.8602;8.2115;7.0573;7.2679;7.779;7.7749;12.6905;10.3302;26.0203;12.8089;8.7064;4.7486
0.5;15.6428;5.7082;8.1095;7.9922;9.2882;7.6446;8.0249;12.7641;10.4193;27.338;12.6528;8.5083;5.2052
0.5;14.9916;6.6564;9.2796;8.7298;9.9072;8.3059;7.9965;12.2534;9.9369;28.5548;11.8625;7.9586;5.6303
0.5;14.5551;7.1158;9.6967;7.944;10.0636;7.6387;7.8346;12.2313;11.2798;30.1172;11.7643;8.5888;5.3397
