odour stim,09/04/2021 Male 1,09/04/2021 Male 3,16/04/2021 Female 5,21/04/2021 Female 1,21/04/2021 Female 4,21/04/2021 Female 11,22/04/2021 Female 1,22/04/2021 Female 8,22/04/2021 Female 13,23/04/2021 Female 4,23/04/2021 Female 6,23/04/2021 Female 7,23/04/2021 Female 10,23/04/2021 Female 11
,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT
0,4.748,17.8389,13.8366,7.7767,19.0257,10.0254,2.7846,7.2811,5.972,3.2791,3.8144,3.818,8.425,3.231
0,4.7842,17.3329,13.7024,8.4726,16.2659,10.401,2.8259,7.2077,6.0008,3.1934,3.8441,3.9046,8.5434,3.4594
0,4.6515,17.6836,12.8825,8.5213,16.0499,8.3484,3.1503,6.8933,5.6617,3.438,4.7358,3.3719,8.1762,3.8686
0,4.8279,18.2431,12.9795,8.1021,13.8113,8.8581,3.0794,6.8088,5.1882,3.7408,4.3481,3.18,8.4191,3.7902
0,5.0434,17.1657,13.0694,8.5973,12.1505,8.6279,2.9036,6.5601,4.9921,3.9448,4.6211,3.2717,8.9793,4.1952
0,5.3059,15.7824,13.5305,8.7267,11.2983,8.8328,3.1028,6.4861,4.8248,4.1636,5.0737,3.4514,8.8949,4.3118
0,5.3484,15.8898,13.8512,9.0648,11.8142,9.0931,2.8336,6.607,4.5602,4.1626,4.8332,3.3261,8.2485,4.8528
0,5.066,15.7991,14.5137,9.0689,13.6106,10.0663,2.9245,6.551,4.5494,4.2462,4.5382,3.5272,9.0021,4.7781
0,5.7256,16.0457,14.3285,9.2707,13.1243,9.4965,2.9888,6.2896,4.5834,4.2835,4.8683,3.0823,8.2486,5.092
0,5.7547,15.7582,15.6157,8.8419,13.7165,8.9929,2.6423,6.4,4.4986,4.2777,5.3404,2.9844,8.025,4.7216
0,5.7927,15.7184,15.8843,9.1747,12.85,9.6559,2.9882,6.5064,4.6408,4.2832,4.7731,3.2529,8.2413,4.5515
0,5.5266,15.5692,14.3876,8.8907,14.0378,8.8974,2.7304,6.1952,4.5177,4.3778,4.8379,3.2342,8.1953,4.4301
0,5.7642,14.9618,13.8283,9.4081,12.7085,8.5316,2.6189,6.4664,4.5363,4.0306,4.6579,3.2271,8.6135,4.8676
0,5.5385,13.3702,14.2447,9.2752,14.1312,8.5502,2.2994,6.3025,4.683,4.1437,4.4797,3.2869,8.3166,4.1074
0,5.3432,13.5672,14.8721,9.0115,14.2653,9.1234,2.5044,6.1114,4.7961,3.9409,4.6894,3.2897,8.4544,4.4888
0,5.4902,14.3493,15.6507,8.9184,13.3267,8.3352,2.5868,6.374,4.6341,3.7325,4.3399,3.0833,7.739,4.5837
0,5.2676,14.0625,15.6076,8.5917,14.3066,8.7185,2.5862,6.3631,4.3259,3.6756,4.5744,2.9226,7.6506,4.1447
0,5.2426,14.3213,15.3906,8.1701,14.1406,9.3726,2.3881,6.2758,4.057,3.3812,4.6,2.9432,7.7655,4.0842
0,5.1499,14.5427,14.9964,8.3357,14.0013,8.8181,2.2929,6.4269,4.0407,3.2979,4.5095,2.4534,7.2773,4.2417
0,5.1567,14.7656,13.3672,8.0684,12.979,8.5936,2.2246,6.5189,4.0632,3.4498,4.463,2.7573,7.2167,4.2271
0,5.2127,14.7833,12.211,8.349,13.0206,8.0795,2.3488,6.5557,3.9217,3.2973,4.5545,2.6265,6.8141,4.4879
0,4.753,13.2603,13.2745,8.521,12.6392,8.4273,2.3278,6.0664,3.9485,3.3588,4.1877,2.9494,6.875,4.1511
0,4.8468,12.6031,13.9925,8.5542,12.7941,7.8868,2.397,6.4557,3.8679,3.5317,4.2244,2.6054,7.187,3.7619
0,4.8918,12.6393,14.1025,8.0482,12.3491,7.7951,2.2891,6.3309,3.791,3.2445,4.1194,2.7062,6.5355,3.3681
0,4.5768,12.1592,13.9393,8.1666,13.8756,7.1399,2.1909,6.3682,3.6236,3.2676,4.3594,2.362,6.7192,3.1734
0,4.3743,12.9693,14.3044,8.023,14.3254,7.6629,2.0919,6.0882,3.6308,3.2563,4.1104,2.6163,6.7911,3.3974
0,4.5209,12.4533,15.0151,7.4935,15.1686,7.5027,2.0699,6.1861,3.5311,3.2996,3.828,2.7771,6.6759,2.9943
0,4.3163,11.6184,13.6722,7.5887,13.4985,7.3378,2.1116,6.1401,3.652,3.3767,3.5409,2.5903,6.9284,3.0406
0,3.9641,12.1639,14.0531,7.734,14.1951,7.127,2.2279,6.1426,3.581,3.4198,3.4867,2.0993,5.9816,2.9706
0,4.3351,11.4031,13.0822,7.1744,14.2453,7.0911,2.0744,5.8988,3.8325,3.5737,3.4792,2.2985,6.3587,2.93
0,4.3152,11.1961,12.7326,7.3827,14.5881,7.046,2.04,6.2332,3.6083,3.4515,3.492,2.1642,5.9935,2.8435
0,4.0079,11.251,12.9466,7.356,14.7434,7.8053,2.3603,6.0324,3.2883,3.484,3.5323,2.4094,6.025,3.173
0,4.1645,11.2637,13.6316,7.4711,13.3579,7.3879,2.0797,6.2019,3.3237,3.2851,3.7303,2.0104,6.4328,2.8952
0,3.9465,11.1652,13.4244,7.5706,12.6772,6.875,2.1019,5.961,3.5782,3.3434,3.665,1.8616,6.2511,2.6918
0,4.057,11.4763,13.5749,7.2053,11.5006,6.9029,2.0335,5.9235,3.1525,3.3693,3.4819,1.851,6.573,2.7989
0,3.9368,11.6019,13.4503,7.0693,12.0438,7.7527,2.0828,5.9223,3.5636,3.0256,3.4043,1.6934,6.6927,2.5848
0,3.8999,12.1333,13.0103,6.891,13.4112,7.6296,2.1713,6.1871,3.77,3.2986,3.6384,1.9733,6.8193,3.1376
0,4.1449,10.0437,12.6256,6.7272,13.8718,8.5952,2.1881,6.2314,3.4192,2.7773,3.3041,1.8863,7.3799,2.9997
0,3.8132,10.5133,12.6265,6.8804,12.6982,8.5786,2.1684,6.0967,3.5475,2.6537,3.3631,1.3963,7.0574,2.7597
0,3.8793,10.3463,12.6112,6.9087,12.7056,8.0827,2.1761,5.8296,3.6783,2.585,3.4176,1.6205,6.5002,3.166
0,3.9777,10.4108,12.2766,6.5594,11.2872,7.1636,2.0579,5.8724,3.5445,2.6795,3.3479,1.6793,6.689,3.7856
0,3.6268,9.7789,11.3738,7.1721,11.696,7.9652,2.1406,6.0276,3.393,2.6859,3.3803,1.8492,7.0909,3.9561
0,3.8355,9.5773,11.3239,7.1739,12.4365,8.4659,1.9593,6.0576,3.5708,2.8224,3.5879,1.7898,7.3806,4.3747
0,4.0993,10.7534,11.0631,7.0469,12.3741,8.7628,2.3049,5.6598,3.8202,2.9509,3.5675,1.7053,6.6828,4.2152
0,3.7918,11.1611,11.2548,7.2579,13.2755,8.1647,1.9968,5.7317,3.4892,3.1002,3.6101,2.3013,6.637,4.4576
0,4.01,12.1546,11.5603,7.4723,13.8072,8.3952,2.1106,5.5452,3.3666,2.6985,3.8629,2.1762,6.1009,5.24
0,3.8465,12.2766,11.4605,7.7771,13.6315,8.985,2.0377,5.4989,3.3885,2.8424,3.8059,2.5656,6.4702,5.2055
0,3.8147,12.9516,11.2323,7.2456,12.0805,8.2694,2.154,5.5245,3.4954,2.6634,3.7157,2.3293,6.6852,5.285
0,3.652,13.4375,9.9868,7.1107,11.2838,8.1326,2.0961,5.4583,3.4161,2.8843,3.8266,2.2299,6.3472,4.8212
0,3.8228,13.8767,9.4484,7.0552,10.515,9.1344,1.8958,5.2847,3.3685,2.7342,3.5025,2.6371,5.8395,4.5923
0,3.9257,13.697,9.8784,7.1188,10.3361,8.4597,2.0227,5.2371,3.3088,2.8221,3.2399,2.0638,6.0991,4.665
0,3.5715,13.1695,10.7804,6.9634,9.3264,8.6541,2.1409,4.8918,3.4836,2.9637,3.4363,2.5002,6.2263,4.3168
0,3.765,12.4791,10.5518,6.5993,8.4615,9.6381,2.1443,4.8534,3.4569,2.9769,3.4827,2.2239,5.8083,3.9896
0,3.7171,11.8893,10.2688,6.8136,9.2611,8.8424,2.1003,5.0946,3.5461,2.7749,3.1986,2.6842,6.0125,4.1513
0,3.6801,11.1688,10.1527,6.2436,9.6484,8.6012,2.0871,4.9163,3.517,2.7396,3.053,2.2997,6.316,4.4794
0,3.8189,11.266,9.4496,6.1793,9.9257,9.5726,1.7131,4.8761,3.4803,2.7358,3.0083,2.7711,6.5909,4.0926
0,3.7943,11.7903,8.7503,6.169,10.4204,8.6432,1.998,4.9173,3.6992,2.8269,2.9944,2.5774,7.0348,3.7577
0,3.5397,10.8162,9.4063,6.4889,10.2235,8.9267,2.0507,4.6357,3.6554,2.898,3.157,2.5704,6.9985,4.2939
0,3.5948,11.5488,9.5173,6.227,10.6735,8.8684,1.9118,4.6957,3.4938,3.2377,3.1196,2.3684,6.8655,3.6727
0,3.6605,10.8697,9.488,6.2992,9.8801,8.7822,1.9228,4.3865,3.5142,3.4028,3.0933,2.2079,7.31,3.9452
0,3.402,10.8452,10.1357,6.1874,9.746,8.9538,1.9472,4.439,3.4993,3.2677,3.0594,2.1606,7.7973,3.8087
0,3.5639,10.4071,9.286,6.0834,10.3809,8.711,2.0251,4.6584,3.5589,3.151,2.8841,2.2417,7.3803,4.1685
0,3.6592,11.7914,9.7277,6.2918,10.1178,8.0276,2.1422,4.9146,3.5453,3.0094,2.7896,2.0176,6.5803,3.7871
0,3.4851,11.7058,9.8131,5.8501,9.7185,7.7388,2.1528,4.5525,3.4108,3.0429,3.1711,1.983,7.0561,4.2791
0,3.3395,11.3527,9.3984,6.2285,10.0237,7.7877,2.1561,4.5201,3.2738,3,3.196,2.0811,6.7403,5.2022
0,3.509,11.9655,9.8413,6.1567,10.4093,8.5676,2.1473,4.4013,3.3908,3.2192,3.2339,2.1598,6.8338,5.1837
