odour stim,09/04/2021 Female 5,12/04/2021 Female 3,14/04/2021 Female 3,14/04/2021 Female 5,16/04/2021 Female 4,22/04/2021 Female 2,22/04/2021 Female 3,22/04/2021 Female 10,22/04/2021 Female 11,23/04/2021 Female 2,23/04/2021 Female 3
,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT,IAA-MCH-OCT
0,8.1814,10.0234,3.5074,10.2002,10.403,9.4005,6.1444,16.4598,3.3532,4.8229,6.3397
0,7.5347,10.18,3.3031,9.3387,10.2617,8.9237,5.6877,15.4526,3.111,4.2544,5.8806
0,8.232,9.6391,3.7408,10.0139,9.8685,8.3097,5.9562,16.1545,3.1833,4.2596,6.086
0,8.5812,9.35,3.8023,9.0257,9.1414,8.2347,6.5778,15.6402,2.769,5.3661,6.2021
0,9.4135,9.0378,3.8743,9.4375,9.3609,8.258,5.8454,15.4675,3.006,7.6057,6.7768
0,9.0063,9.2392,4.0157,8.5523,8.8321,7.7425,5.6898,15.255,2.9527,10.6602,7.5345
0,9.5353,9.5988,3.7863,8.9094,8.5972,7.9425,6.0755,15.3208,2.8501,11.3258,7.6759
0,9.5436,9.5039,3.6679,9.7993,8.8149,7.8732,5.9782,15.5631,2.5361,11.542,7.5648
0,9.4285,9.7552,4.184,9.9076,8.6496,7.7331,6.1203,15.0681,2.6874,11.2448,8.3355
0,9.6545,10.0914,3.9853,9.7747,8.8914,7.843,6.235,14.8036,2.7022,10.7881,8.4437
0,9.2301,9.7275,3.4602,9.751,8.7053,7.7211,5.7504,14.9968,2.524,9.7769,8.2889
0,9.2941,9.9013,3.6873,9.4271,8.9657,7.0846,5.4501,15.0446,2.6273,9.1744,8.4988
0,8.2197,10.2454,4.2312,9.4766,8.2181,7.2929,5.3166,14.2283,2.6538,8.6946,8.5745
0,7.9928,10.1117,3.5441,9.6971,8.7727,7.7674,5.2764,14.3849,2.3374,7.9695,7.8247
0,7.1455,9.5407,3.5469,10.2046,8.6078,6.9743,5.1872,14.3293,2.6362,7.1094,7.5419
0,6.4332,9.553,4.0284,9.8809,9.146,7.7325,4.9882,14.5315,2.2549,6.7022,7.2798
0,7.2945,9.3542,3.6684,10.4099,8.8193,7.3188,5.3412,14.0972,2.351,6.1485,6.8415
0,7.834,8.9845,3.3792,9.7221,8.7742,7.2865,6.1747,13.8942,2.5034,5.7353,7.181
0,7.0021,8.4256,3.8973,9.9478,8.8476,7.2293,5.5451,14.0924,2.4222,6.5196,7.3174
0,6.3916,8.1913,3.8578,9.4318,9.5291,7.4203,4.7697,14.1636,2.4488,6.1222,7.1508
0,6.1947,8.666,3.6374,9.4092,9.3355,6.9875,5.2413,13.5466,2.2668,6.6298,6.9223
0,5.632,9.4515,3.2105,9.6756,8.8961,6.4302,4.962,13.486,2.2073,5.7783,6.3011
0,5.6853,9.3236,3.8719,8.9621,9.3796,6.7805,4.9758,12.6295,2.497,5.2717,6.2414
0,6.1661,8.4469,3.7836,9.6851,8.9084,6.4073,5.1118,12.8176,2.2634,5.0558,6.3406
0,6.6777,8.6674,3.1851,9.6133,8.6649,6.2407,5.0075,12.4602,2.3838,4.9382,6.9305
0,5.9586,8.5599,3.4429,10.1498,8.3174,6.3881,4.9478,12.669,2.1974,4.916,7.3398
0,5.6828,8.5702,3.6027,9.837,8.6634,6.2594,5.129,12.6204,1.929,5.1096,7.2086
0,5.6484,7.9526,3.2144,9.961,9.0513,6.4232,5.0878,12.0727,2.0355,4.4931,6.853
0,5.7048,8.3687,3.1752,9.9333,8.9247,6.0003,4.9901,11.7088,2.0525,4.8575,6.785
0,4.5953,8.2212,3.2934,10.6934,8.9981,5.9469,5.4647,11.9154,1.9778,4.6322,5.9036
0,5.1878,7.8973,3.2236,10.6478,9.337,6.077,5.1853,11.6547,2.0771,4.4982,5.5968
0,5.884,7.8402,3.4058,9.8731,8.5024,6.3333,5.1852,11.5131,2.0968,4.6982,5.382
0,5.4265,7.9725,3.1479,9.0424,8.7101,6.0959,5.3277,11.7613,2.2565,4.8282,5.7511
0,5.7889,8.6449,3.4298,8.882,8.5297,6.2242,5.4442,12.6735,1.8665,4.7027,5.1247
0,4.9221,8.3562,3.1214,8.218,8.937,6.4318,5.6594,12.0198,1.9855,4.5516,6.3071
0,5.4414,8.8024,2.9365,8.9855,8.8631,6.1269,4.5429,11.7636,1.8822,4.6218,7.3664
0,5.3792,7.8224,2.7557,9.1442,8.0982,6.2975,5.4907,11.8881,2.0145,4.3539,7.271
0,6.1554,8.4424,2.5312,9.1462,7.8672,6.0085,5.2592,10.9698,2.0018,4.0822,7.2764
0,5.2018,7.3324,3.4429,9.1073,7.4347,6.0511,5.0187,11.5324,2.0572,4.2649,7.3921
0,4.9991,7.647,2.5245,9.3207,8.8621,5.495,4.8142,10.9491,2.0352,4.1133,7.9011
0,4.9233,7.8384,3.4268,8.6038,8.2215,5.6795,5.3118,11.0045,1.8852,4.319,8.0832
0,4.4463,7.7133,3.6276,8.9914,7.579,6.1498,5.9749,10.4733,1.7602,4.2378,8.5357
0,4.5253,7.6007,3.3701,8.9919,7.0538,5.8763,5.5114,10.5433,2.0667,4.1031,8.2692
0,4.7193,7.2482,3.2632,9.1388,6.676,5.7563,5.0242,10.42,1.9597,3.9953,8.1008
0,4.6729,7.2775,3.1268,8.9253,6.8501,5.8019,5.4801,10.1004,1.9425,4.1996,8.0891
0,5.5814,7.1596,2.9318,8.1654,6.5004,6.3302,5.7992,10.4837,1.9623,4.1259,7.8585
0,5.3247,7.4114,3.2228,7.687,6.4655,6.1487,4.8503,10.917,1.9746,4.0234,6.9525
0,4.6137,6.9734,3.7247,8.1935,6.4561,6.0176,5.27,11.0046,2.091,4.4023,6.272
0,4.3007,7.9945,3.0666,7.9109,6.6259,5.9381,5.7436,11.1876,2.0785,4.4391,6.3197
0,4.6932,8.7828,3.1809,7.9182,6.9801,6.1627,5.4443,10.7671,2.0437,4.2423,5.9846
0,4.7522,8.4026,2.8394,7.8679,6.4839,5.945,5.2464,10.974,2.1037,4.1799,5.4354
0,4.9259,8.2668,3.0555,8.1233,6.454,5.8541,5.2902,11.7338,2.0021,4.1264,4.8378
0,4.6307,8.0936,3.2686,9.343,6.5549,5.9268,5.0029,10.7406,1.8971,4.1052,5.2266
0,5.4575,8.0791,2.4298,9.235,6.3287,5.9922,5.3991,11.1788,2.0947,4.2106,5.1781
0,6.1236,8.348,2.9997,9.4193,6.6901,6.0639,5.6124,11.1276,2.0464,4.0947,5.196
0,5.6018,8.2246,3.1285,9.475,6.7338,5.8866,5.1721,11.0036,1.8443,3.7071,5.155
0,7.0542,8.1668,3.1526,10.1019,6.3475,6.0392,5.3335,10.8739,1.8996,3.9561,5.0695
0,6.9729,9.1514,3.0143,9.7794,6.76,6.2701,5.3746,11.0969,1.9098,4.1288,5.1483
0,6.7282,9.2146,3.0225,10.664,7.1856,6.3385,6.0055,11.341,1.8338,4.4571,4.557
0,5.4474,9.7449,3.0611,10.507,7.3985,6.0083,5.3796,11.5428,1.9617,4.2597,4.7344
0,5.4837,9.5866,3.3428,9.1817,7.4244,6.3536,5.4072,11.3306,1.8807,4.1822,4.1996
0,5.0909,9.5092,2.5987,9.1019,6.9439,6.1942,5.0273,11.4542,1.8684,4.1135,3.7802
0,5.9233,8.851,2.0614,8.9626,6.7597,6.0337,5.3297,12.1697,1.947,4.2251,4.0664
0,5.5962,8.6839,3.0021,8.4525,6.7349,6.2975,5.4544,11.9909,2.2229,4.2709,3.9785
0,5.3425,8.4031,2.9079,8.2638,6.7256,5.7114,5.2492,12.312,1.8931,3.9868,3.5931
0,6.2571,8.5079,2.9509,8.948,6.9888,5.9613,5.2724,11.6209,1.9175,4.1007,3.5498
0,5.3734,8.2062,2.8039,8.7404,6.6221,5.7494,5.3551,12.1428,1.9752,3.9356,3.7365
0,5.1171,7.2037,3.0938,9.0955,6.4277,5.8414,5.267,12.752,2.1854,4.0582,4.5227
0,5.2564,7.8642,2.9518,9.09,6.2642,5.9361,5.4967,12.6584,2.1912,4.1809,5.2509
0,5.3676,8.2614,1.9924,9.3809,7.02,5.8923,5.0371,12.1746,2.2021,4.0649,5.1392
0,5.6501,8.093,3.3964,9.3422,6.369,5.7995,5.3215,12.4671,2.4526,3.8953,4.572
0,5.1487,8.0565,3.3225,9.0713,6.7697,5.6796,5.8661,11.8505,2.1289,3.7547,4.6137
0,5.2025,8.1565,2.7973,9.3896,6.5066,5.5882,5.2809,11.9272,2.0708,3.7512,4.7106
0,4.7948,8.0742,2.9188,9.1193,6.2627,5.6932,4.9262,11.351,2.2564,4.1788,4.7505
0,5.0383,8.7228,2.8864,9.4849,7.0066,5.3359,5.5038,11.4953,2.2704,4.3336,4.5893
0,4.8425,8.5632,2.6231,10.0165,6.9933,5.7121,5.0925,11.991,2.1981,4.3877,4.6298
0,5.0158,9.3056,3.3672,10.169,6.9605,5.6246,5.4322,12.6369,2.3943,4.4944,4.8114
0,5.285,8.4399,3.2617,9.8977,6.8662,5.4059,5.3299,12.195,2.3151,4.368,5.2147
0,5.685,9.004,2.763,9.4599,7.1888,5.8809,4.7773,12.5761,2.3011,4.5656,5.3509
0,5.9609,8.3205,2.9728,9.2899,7.1005,5.2985,5.7576,12.0492,2.1903,4.8391,5.2698
0,5.5556,8.7389,3.2332,9.0319,7.222,5.5785,4.6781,12.2586,2.2867,4.4551,5.265
0,6.0578,8.4398,3.0912,9.1545,7.5849,5.3747,5.3963,11.4235,2.0931,4.5436,5.2654
0,5.4723,8.3267,3.5497,9.5719,6.8861,5.4371,4.4468,11.3349,1.9942,4.4473,5.8343
0,5.3269,8.6566,2.8544,9.8687,7.6791,5.5622,4.9181,11.4467,2.205,4.2002,5.6324
0,5.6342,8.6964,3.094,9.4302,7.0051,5.9478,5.4022,11.3258,1.9513,3.9228,5.6368
0,5.5974,8.9816,2.9831,9.6981,7.3812,5.7629,5.5511,12.1016,1.9987,4.1635,6.0661
0,4.5049,8.0253,3.6277,9.1581,7.5455,5.3938,5.7226,12.4277,1.8227,4.3763,5.8462
0,4.6988,8.0417,2.2519,9.5166,7.4628,5.4731,5.4266,12.2165,2.0879,4.6366,6.5331
0,5.5021,6.917,3.1638,9.6873,7.2344,5.3933,4.8504,12.1183,2.1993,4.3763,5.7713
0,6.3054,7.6798,3.2278,9.7805,7.664,5.1227,5.5818,12.1562,2.1984,4.5479,6.0172
0,6.0071,8.4865,2.6576,9.2481,7.3812,5.6597,4.8961,12.177,2.2425,4.5431,5.6884
0,6.046,8.1443,3.3136,9.417,6.5903,5.9679,5.4834,11.9025,2.1916,4.7936,6.6734
0,5.6221,8.4347,3.5424,9.0649,6.9786,5.6729,5.6454,12.3112,2.3771,4.341,7.9226
0,4.9775,7.8452,3.3904,9.5114,7.0426,5.3239,5.1322,12.1632,2.2747,4.6482,7.7079
0,4.6908,8.583,3.3882,10.0517,7.2946,5.714,5.0786,12.9496,2.3424,4.7841,7.279
0,4.7569,7.6924,2.8172,9.6024,7.4447,5.8094,5.2928,13.0395,2.4592,4.9467,7.0978
0,4.6468,7.1539,3.1825,10.1141,8.0499,5.8296,5.7806,12.3676,2.3327,4.6481,7.1432
0,4.9433,7.6237,3.2744,11.0273,7.7111,5.558,5.0822,12.3905,2.2292,4.3491,7.1774
0,5.2002,7.8186,3.4353,11.353,7.7984,5.3698,5.3896,12.3281,2.1397,4.4369,6.8959
0,4.7358,7.0573,3.9417,11.7472,7.8862,5.3641,5.7701,11.7621,2.2831,4.0523,6.9663
0,5.3603,7.5249,3.6736,11.788,7.7371,5.7933,6.0116,12.7242,2.1436,4.4993,7.6392
0,5.0952,7.5904,2.9438,11.7533,7.2898,5.8539,5.7627,12.3047,2.2337,5.0587,7.6235
0,5.4242,7.0476,3.8149,11.3967,7.5895,5.5299,5.4648,13.0891,1.9777,6.0235,7.5041
0,4.9985,7.072,4.0304,11.3915,7.3452,5.1331,5.4087,12.5386,2.3165,6.043,6.8374
0,4.4036,6.6709,3.4236,12.0766,7.4264,5.6112,5.9296,12.3443,2.4947,5.7484,7.2402
0,4.9167,6.9501,2.9825,11.8293,7.2269,5.1907,6.022,11.9241,1.9253,5.7436,7.1446
0,5.6149,6.5321,3.1211,11.9054,6.9521,5.5669,5.8005,12.3292,2.2924,4.9229,6.8846
0,5.1289,6.1745,3.5542,11.5435,7.3031,5.2141,6.0166,11.7823,2.3722,4.8432,6.3465
0,5.3629,7.0817,3.1388,11.7069,6.8284,5.557,5.8792,11.986,2.4666,4.6861,6.7571
0,4.7458,6.277,3.3715,11.6743,6.7425,5.4139,6.6122,11.5198,2.1644,4.2886,6.7513
0,5.5381,6.3419,2.8945,11.2824,6.0803,4.9733,6.2907,11.8108,2.2992,3.893,6.4469
0,5.2567,6.2506,3.5584,10.4011,6.4358,5.5262,5.9004,11.9642,2.24,3.9585,6.7784
0,5.0789,6.551,2.7989,9.9288,6.4707,5.4484,6.9196,12.1335,2.0531,3.9421,7.2081
0,5.6232,6.7293,3.0466,9.9003,6.0066,5.425,6.7535,12.805,2.1433,4.139,6.9645
0,5.1037,6.7977,2.8659,9.5867,6.5017,5.7062,6.5905,13.2112,2.1307,4.3482,6.7557
0,4.457,6.1742,2.9935,9.0529,6.6411,5.3257,6.459,13.302,2.2877,4.5237,6.9894
0,5.046,5.8299,2.9757,9.5213,6.5791,5.6554,6.344,13.5691,2.279,4.2641,7.7823
0,5.3854,6.3735,2.9832,8.877,6.6629,5.5037,6.4475,12.8001,2.2986,4.5098,7.2311
0,6.2432,6.7224,2.9897,8.9204,6.4902,5.3695,6.4099,12.9186,2.4425,4.5674,7.5575
0,5.585,6.9856,3.2767,8.9146,6.2197,5.6482,6.5023,13.4839,2.4759,4.6632,7.0718
0,5.5724,6.7495,2.9607,10.1142,5.8643,5.3023,6.1099,12.8374,2.3744,4.5489,7.4611
0,5.4211,6.2831,3.2072,10.509,6.4951,5.5079,5.7761,12.8378,2.4938,4.6595,7.2992
0,5.5742,6.3459,2.56,10.3573,5.9835,5.6893,5.7757,12.6457,2.4096,4.6509,7.1522
0,6.2329,6.141,2.8127,9.8939,6.1925,5.5615,5.6551,12.8335,2.2768,4.8159,6.9819
0,6.7974,6.7029,3.1003,9.4618,6.4375,5.2002,6.1606,12.6033,2.3491,4.4605,6.8001
0,7.1762,6.9035,2.863,8.8754,6.8853,5.7434,5.9021,12.2701,2.13,4.1251,6.6881
